Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,Track_Temp,WindDirection,WindSpeed,Cumulative_Tire_Distance,Driver_Meters,Driver_Ahead,Gap_Ahead,Driver_Behind,Gap_Behind
0 days 00:08:20.562000,VAN,2,0 days 00:01:33.076000,1.0,,,,,0 days 00:00:40.416000,0 days 00:00:22.365000,,0 days 00:07:58.279000,0 days 00:08:20.668000,166.0,182.0,258.0,282.0,False,nan,,True,McLaren,0 days 00:06:47.319000,2018-05-27 13:12:47.349,2,13.0,False,,False,False,25.6,51.6,1015.8,False,33.6,172.0,0.5,0.0,0.0,SIR,0.619,LEC,0.549
0 days 00:09:41.432000,VAN,2,0 days 00:01:20.870000,2.0,1.0,,,0 days 00:00:21.779000,0 days 00:00:37.633000,0 days 00:00:21.458000,0 days 00:08:42.393000,0 days 00:09:20.026000,0 days 00:09:41.484000,176.0,178.0,259.0,283.0,True,ULTRASOFT,1.0,True,McLaren,0 days 00:08:20.562000,2018-05-27 13:14:20.592,21,13.0,False,,False,True,25.700000000000003,51.0,1015.6500000000001,True,33.75,193.0,0.7,3337.0,6674.0,"('SIR',)",-0.05800000000000005,"('LEC',)",-0.11599999999999999
0 days 00:11:01.439000,VAN,2,0 days 00:01:20.007000,3.0,1.0,,,0 days 00:00:21.422000,0 days 00:00:37.315000,0 days 00:00:21.270000,0 days 00:10:02.906000,0 days 00:10:40.221000,0 days 00:11:01.491000,188.0,181.0,267.0,284.0,True,ULTRASOFT,2.0,True,McLaren,0 days 00:09:41.432000,2018-05-27 13:15:41.462,1,13.0,False,,False,True,26.0,50.7,1015.6,True,33.9,181.0,0.6,6674.0,10011.0,"('SIR',)",0.157,"('LEC',)",0.059
0 days 00:12:21.277000,VAN,2,0 days 00:01:19.838000,4.0,1.0,,,0 days 00:00:21.171000,0 days 00:00:37.271000,0 days 00:00:21.396000,0 days 00:11:22.662000,0 days 00:11:59.933000,0 days 00:12:21.329000,194.0,182.0,266.0,277.0,True,ULTRASOFT,3.0,True,McLaren,0 days 00:11:01.439000,2018-05-27 13:17:01.469,1,13.0,False,,False,True,26.0,50.7,1015.6,True,33.9,181.0,0.6,10011.0,13348.0,"('SIR',)",0.046,"('LEC',)",0.817
0 days 00:13:41.057000,VAN,2,0 days 00:01:19.780000,5.0,1.0,,,0 days 00:00:21.136000,0 days 00:00:37.435000,0 days 00:00:21.209000,0 days 00:12:42.465000,0 days 00:13:19.900000,0 days 00:13:41.109000,184.0,182.0,264.0,283.0,True,ULTRASOFT,4.0,True,McLaren,0 days 00:12:21.277000,2018-05-27 13:18:21.307,1,13.0,False,,False,True,26.3,49.45,1015.6500000000001,True,33.75,207.0,1.35,13348.0,16685.0,"('SIR',)",-0.10899999999999999,"('LEC',)",0.077
0 days 00:15:01.260000,VAN,2,0 days 00:01:20.203000,6.0,1.0,,,0 days 00:00:21.058000,0 days 00:00:37.566000,0 days 00:00:21.579000,0 days 00:14:02.167000,0 days 00:14:39.733000,0 days 00:15:01.312000,188.0,178.0,264.0,284.0,False,ULTRASOFT,5.0,True,McLaren,0 days 00:13:41.057000,2018-05-27 13:19:41.087,1,13.0,False,,False,True,26.7,48.3,1015.5,True,33.6,333.0,1.6,16685.0,20022.0,"('SIR',)",0.156,"('LEC',)",-0.478
0 days 00:16:21.520000,VAN,2,0 days 00:01:20.260000,7.0,1.0,,,0 days 00:00:21.154000,0 days 00:00:37.762000,0 days 00:00:21.344000,0 days 00:15:22.466000,0 days 00:16:00.228000,0 days 00:16:21.572000,182.0,182.0,261.0,283.0,False,ULTRASOFT,6.0,True,McLaren,0 days 00:15:01.260000,2018-05-27 13:21:01.290,1,12.0,False,,False,True,26.7,48.2,1015.6,True,34.5,301.0,0.9,20022.0,23359.0,"('HUL',)",0.395,"('LEC',)",0.05
0 days 00:17:39.593000,VAN,2,0 days 00:01:18.073000,8.0,1.0,,,0 days 00:00:20.527000,0 days 00:00:36.754000,0 days 00:00:20.792000,0 days 00:16:42.099000,0 days 00:17:18.853000,0 days 00:17:39.645000,199.0,185.0,257.0,281.0,True,ULTRASOFT,7.0,True,McLaren,0 days 00:16:21.520000,2018-05-27 13:22:21.550,1,12.0,False,,False,True,26.7,47.7,1015.25,True,33.849999999999994,167.0,1.7999999999999998,23359.0,26696.0,"('HUL',)",-1.3820000000000001,"('LEC',)",0.461
0 days 00:18:58.871000,VAN,2,0 days 00:01:19.278000,9.0,1.0,,,0 days 00:00:21.133000,0 days 00:00:37.027000,0 days 00:00:21.118000,0 days 00:18:00.778000,0 days 00:18:37.805000,0 days 00:18:58.923000,185.0,184.0,258.0,281.0,False,ULTRASOFT,8.0,True,McLaren,0 days 00:17:39.593000,2018-05-27 13:23:39.623,1,12.0,False,,False,True,26.7,47.7,1015.3,True,33.8,166.0,1.7,26696.0,30033.0,"('HUL',)",-0.21299999999999997,"('LEC',)",-0.659
0 days 00:20:18.031000,VAN,2,0 days 00:01:19.160000,10.0,1.0,,,0 days 00:00:20.914000,0 days 00:00:37.110000,0 days 00:00:21.136000,0 days 00:19:19.837000,0 days 00:19:56.947000,0 days 00:20:18.083000,194.0,184.0,259.0,282.0,False,ULTRASOFT,9.0,True,McLaren,0 days 00:18:58.871000,2018-05-27 13:24:58.901,1,12.0,False,,False,True,26.8,46.1,1015.3,True,33.8,284.0,1.0,30033.0,33370.0,"('HUL',)",0.212,"('LEC',)",0.164
