Giro,TempoGiro,TempoGiro_sec,Posizione,PilotaDavanti,DistaccoDavanti_sec,PilotaDietro,DistaccoDietro_sec
1.0,0 days 00:01:32.011000,92.011,10.0,NOR,0.498,HUL,0.709
2.0,0 days 00:01:27.837000,87.837,9.0,NOR,0.262,HUL,0.083
3.0,0 days 00:01:27.289000,87.289,9.0,NOR,0.184,HUL,0.071
4.0,0 days 00:01:27.233000,87.233,9.0,NOR,0.164,HUL,-0.03300000000000003
5.0,0 days 00:01:27.015000,87.015,9.0,NOR,-0.127,HUL,0.02
6.0,0 days 00:01:26.711000,86.711,9.0,NOR,-0.08499999999999996,HUL,0.458
7.0,0 days 00:01:26.700000,86.7,9.0,NOR,-0.16400000000000003,HUL,0.765
8.0,0 days 00:01:26.643000,86.643,9.0,NOR,0.015,ALO,0.3
9.0,0 days 00:01:26.756000,86.756,9.0,NOR,-0.137,ALO,0.627
10.0,0 days 00:01:26.995000,86.995,9.0,NOR,0.03,ALO,0.373
11.0,0 days 00:01:27.119000,87.119,9.0,NOR,0.053,ALO,0.224
12.0,0 days 00:01:27.194000,87.194,9.0,NOR,-0.244,ALO,0.145
13.0,0 days 00:01:27.292000,87.292,9.0,NOR,-0.06699999999999995,ALO,-0.134
14.0,0 days 00:01:27.526000,87.526,9.0,NOR,0.048,ALO,0.081
15.0,0 days 00:01:28.085000,88.085,8.0,NOR,0.289,ALB,4.216
16.0,0 days 00:01:27.240000,87.24,8.0,NOR,0.041,ALO,-0.07599999999999996
17.0,0 days 00:01:27.585000,87.585,8.0,NOR,-0.01200000000000001,ALO,-0.42900000000000005
18.0,0 days 00:01:27.279000,87.279,8.0,NOR,0.007,ALO,-0.0040000000000000036
19.0,0 days 00:01:27.449000,87.449,8.0,NOR,0.169,ALO,-0.131
20.0,0 days 00:01:27.830000,87.83,6.0,NOR,0.114,ALO,0.454
21.0,0 days 00:01:27.399000,87.399,4.0,NOR,-0.31899999999999995,VER,18.261
22.0,0 days 00:01:27.154000,87.154,2.0,PIA,-0.265,VER,-1.2690000000000001
23.0,0 days 00:01:27.267000,87.267,1.0,,,VER,-1.108
24.0,0 days 00:01:27.311000,87.311,1.0,,,VER,-0.984
25.0,0 days 00:01:27.791000,87.791,2.0,VER,1.877,SAI,-1.786
26.0,0 days 00:01:27.407000,87.407,2.0,VER,1.621,SAI,-1.571
27.0,0 days 00:01:33.228000,93.228,5.0,PER,6.772,RUS,-7.0440000000000005
28.0,0 days 00:01:45.978000,105.978,10.0,ALO,19.255,LAW,-18.602
29.0,0 days 00:01:25.582000,85.582,9.0,PIA,-0.55,ALO,1.415
30.0,0 days 00:01:26.340000,86.34,9.0,PIA,-0.734,ALO,0.575
31.0,0 days 00:01:26.404000,86.404,9.0,PIA,-0.45599999999999996,ALO,0.444
32.0,0 days 00:01:26.620000,86.62,9.0,PIA,-0.126,ALO,0.127
33.0,0 days 00:01:26.584000,86.584,9.0,PIA,0.139,ALO,0.185
34.0,0 days 00:01:26.236000,86.236,9.0,PIA,-0.481,ALO,0.327
35.0,0 days 00:01:26.016000,86.016,9.0,PIA,-0.261,ALO,0.501
36.0,0 days 00:01:26.205000,86.205,9.0,PIA,-0.43400000000000005,ALO,0.252
37.0,0 days 00:01:25.999000,85.999,9.0,PIA,-0.8069999999999999,ALO,0.381
38.0,0 days 00:01:26.274000,86.274,9.0,PIA,-0.872,ALO,0.3
39.0,0 days 00:01:26.249000,86.249,9.0,PIA,-0.917,ALO,0.458
40.0,0 days 00:01:26.658000,86.658,9.0,PIA,-0.19499999999999995,ALO,-0.04800000000000004
41.0,0 days 00:01:27.501000,87.501,8.0,NOR,0.939,ALO,-0.6859999999999999
42.0,0 days 00:01:26.216000,86.216,8.0,NOR,-0.40700000000000003,ALO,0.187
43.0,0 days 00:01:26.093000,86.093,8.0,NOR,-0.7170000000000001,ALO,0.012
44.0,0 days 00:01:27.152000,87.152,8.0,NOR,-0.839,ALO,-0.997
45.0,0 days 00:01:26.333000,86.333,7.0,ALB,-0.5740000000000001,NOR,1.133
46.0,0 days 00:01:27.193000,87.193,7.0,ALB,-0.05900000000000005,NOR,-0.17600000000000005
47.0,0 days 00:01:26.120000,86.12,6.0,RUS,-0.52,ALB,2.371
48.0,0 days 00:01:25.815000,85.815,6.0,RUS,-0.472,ALB,1.007
49.0,0 days 00:01:25.888000,85.888,6.0,RUS,-0.487,ALB,1.681
50.0,0 days 00:01:25.927000,85.927,6.0,RUS,-0.947,ALB,1.27
51.0,0 days 00:01:26.093000,86.093,6.0,RUS,-0.5349999999999999,ALB,1.34
