Giro,TempoGiro,TempoGiro_sec,Posizione,PilotaDavanti,DistaccoDavanti_sec,PilotaDietro,DistaccoDietro_sec
1.0,0 days 00:01:28.755000,88.755,4.0,VER,0.85,RUS,0.584
2.0,0 days 00:01:26.312000,86.312,3.0,VER,0.149,RUS,0.374
3.0,0 days 00:01:25.719000,85.719,3.0,VER,0.017,RUS,0.457
4.0,0 days 00:01:26.025000,86.025,3.0,VER,-0.025000000000000022,RUS,0.153
5.0,0 days 00:01:26.266000,86.266,3.0,VER,0.09,RUS,-0.017000000000000015
6.0,0 days 00:01:26.483000,86.483,3.0,VER,-0.354,RUS,0.032
7.0,0 days 00:01:26.473000,86.473,3.0,VER,0.105,RUS,0.042
8.0,0 days 00:01:25.972000,85.972,3.0,VER,-0.018000000000000016,RUS,0.622
9.0,0 days 00:01:26.678000,86.678,3.0,VER,0.073,RUS,0.032
10.0,0 days 00:01:26.787000,86.787,3.0,VER,0.184,RUS,-0.132
11.0,0 days 00:01:26.838000,86.838,3.0,VER,0.195,RUS,0.348
12.0,0 days 00:01:26.694000,86.694,3.0,VER,0.252,RUS,0.35
13.0,0 days 00:01:26.557000,86.557,3.0,VER,-0.10899999999999999,RUS,0.405
14.0,0 days 00:01:26.940000,86.94,3.0,VER,-0.08799999999999997,RUS,0.345
15.0,0 days 00:01:27.314000,87.314,3.0,SAI,-0.905,RUS,-0.30900000000000005
16.0,0 days 00:01:27.155000,87.155,3.0,SAI,-0.16800000000000004,PER,-0.33199999999999996
17.0,0 days 00:01:27.670000,87.67,3.0,SAI,-0.051000000000000045,PER,-0.659
18.0,0 days 00:01:27.498000,87.498,3.0,SAI,-0.014000000000000012,PER,-0.733
19.0,0 days 00:01:27.702000,87.702,2.0,VER,1.264,PER,-1.033
20.0,0 days 00:01:31.155000,91.155,3.0,PER,4.646,PIA,-3.409
21.0,0 days 00:01:45.842000,105.842,8.0,SAI,19.696,RUS,-19.386
22.0,0 days 00:01:25.742000,85.742,6.0,SAI,0.184,PER,19.486
23.0,0 days 00:01:25.807000,85.807,5.0,SAI,0.014,PER,-0.243
24.0,0 days 00:01:25.933000,85.933,4.0,SAI,0.031,PER,-0.17400000000000004
25.0,0 days 00:01:26.061000,86.061,4.0,SAI,0.056,PER,-0.05600000000000005
26.0,0 days 00:01:25.763000,85.763,4.0,SAI,-0.07299999999999995,PER,0.121
27.0,0 days 00:01:26.234000,86.234,3.0,SAI,0.069,PER,0.222
28.0,0 days 00:01:25.663000,85.663,3.0,SAI,-0.10699999999999998,PER,-0.07899999999999996
29.0,0 days 00:01:25.814000,85.814,3.0,SAI,0.094,PER,-0.20799999999999996
30.0,0 days 00:01:25.782000,85.782,3.0,SAI,0.281,PER,-0.025000000000000022
31.0,0 days 00:01:26.496000,86.496,3.0,SAI,0.778,PER,-0.08099999999999996
32.0,0 days 00:01:26.869000,86.869,4.0,PER,0.989,RUS,-0.81
33.0,0 days 00:01:25.962000,85.962,4.0,PER,-0.05800000000000005,RUS,0.199
34.0,0 days 00:01:25.851000,85.851,4.0,PER,-0.09699999999999998,RUS,0.268
35.0,0 days 00:01:25.850000,85.85,4.0,PER,0.199,RUS,0.339
36.0,0 days 00:01:25.631000,85.631,4.0,PER,0.004,RUS,0.74
37.0,0 days 00:01:25.671000,85.671,4.0,PER,-0.08599999999999997,RUS,0.326
38.0,0 days 00:01:25.580000,85.58,4.0,PER,-0.0040000000000000036,RUS,0.267
39.0,0 days 00:01:25.629000,85.629,4.0,PER,0.107,RUS,0.581
40.0,0 days 00:01:25.728000,85.728,4.0,PER,0.102,RUS,0.516
41.0,0 days 00:01:26.511000,86.511,4.0,PER,-0.20799999999999996,RUS,0.103
42.0,0 days 00:01:26.448000,86.448,4.0,PER,-0.09099999999999997,RUS,-0.11299999999999999
43.0,0 days 00:01:26.597000,86.597,4.0,PER,-0.027000000000000024,RUS,-0.17100000000000004
44.0,0 days 00:01:26.586000,86.586,4.0,PER,0.257,RUS,-0.25
45.0,0 days 00:01:26.321000,86.321,4.0,PER,-0.252,RUS,0.073
46.0,0 days 00:01:26.580000,86.58,4.0,SAI,-0.723,RUS,-0.122
47.0,0 days 00:01:27.371000,87.371,4.0,SAI,0.275,RUS,-0.731
48.0,0 days 00:01:26.828000,86.828,4.0,SAI,0.028,RUS,-0.5409999999999999
49.0,0 days 00:01:26.633000,86.633,4.0,SAI,-0.137,RUS,-0.258
50.0,0 days 00:01:26.961000,86.961,4.0,SAI,0.185,RUS,-0.08699999999999997
51.0,0 days 00:01:26.783000,86.783,4.0,SAI,-0.261,RUS,-0.15500000000000003
