Giro,TempoGiro,TempoGiro_sec,Posizione,PilotaDavanti,DistaccoDavanti_sec,PilotaDietro,DistaccoDietro_sec
1.0,0 days 00:01:30.315000,90.315,7.0,PER,0.509,ALB,0.47
2.0,0 days 00:01:28.053000,88.053,7.0,ALB,0.986,NOR,-0.478
3.0,0 days 00:01:26.982000,86.982,7.0,ALB,0.404,NOR,0.123
4.0,0 days 00:01:27.004000,87.004,7.0,ALB,0.32,NOR,0.065
5.0,0 days 00:01:26.909000,86.909,7.0,ALB,0.041,NOR,0.233
6.0,0 days 00:01:26.878000,86.878,7.0,ALB,0.217,NOR,-0.08199999999999996
7.0,0 days 00:01:26.940000,86.94,7.0,ALB,0.167,NOR,-0.07599999999999996
8.0,0 days 00:01:26.850000,86.85,7.0,ALB,0.174,NOR,-0.22199999999999998
9.0,0 days 00:01:26.864000,86.864,7.0,ALB,0.026,NOR,0.029
10.0,0 days 00:01:26.823000,86.823,7.0,ALB,-0.482,NOR,0.142
11.0,0 days 00:01:27.217000,87.217,7.0,ALB,-0.17200000000000004,NOR,-0.15100000000000002
12.0,0 days 00:01:27.454000,87.454,7.0,ALB,-0.07899999999999996,NOR,-0.016000000000000014
13.0,0 days 00:01:27.518000,87.518,7.0,ALB,-0.15800000000000003,NOR,-0.15900000000000003
14.0,0 days 00:01:27.371000,87.371,7.0,ALB,-0.352,NOR,0.107
15.0,0 days 00:01:27.738000,87.738,6.0,PER,0.959,NOR,0.058
16.0,0 days 00:01:27.201000,87.201,6.0,RUS,-0.775,NOR,-0.0020000000000000018
17.0,0 days 00:01:27.440000,87.44,6.0,RUS,0.385,NOR,0.157
18.0,0 days 00:01:27.398000,87.398,6.0,RUS,0.015,NOR,-0.126
19.0,0 days 00:01:27.352000,87.352,6.0,RUS,-4.533,NOR,-0.07199999999999995
20.0,0 days 00:01:27.746000,87.746,4.0,LEC,-3.409,NOR,-0.030000000000000027
21.0,0 days 00:01:27.587000,87.587,2.0,PER,-3.347,NOR,0.131
22.0,0 days 00:01:27.419000,87.419,1.0,,,HAM,-0.265
23.0,0 days 00:01:31.866000,91.866,3.0,VER,5.707,SAI,-6.073
24.0,0 days 00:01:46.854000,106.854,10.0,NOR,20.71,ALO,-19.905
25.0,0 days 00:01:26.411000,86.411,10.0,BOT,-6.4030000000000005,ALO,0.488
26.0,0 days 00:01:26.287000,86.287,9.0,NOR,-0.11499999999999999,ALO,0.505
27.0,0 days 00:01:26.248000,86.248,9.0,NOR,-0.237,ALO,0.418
28.0,0 days 00:01:26.611000,86.611,8.0,NOR,0.215,ALO,0.112
29.0,0 days 00:01:26.132000,86.132,8.0,NOR,-0.33999999999999997,HAM,-0.55
30.0,0 days 00:01:27.074000,87.074,8.0,NOR,0.106,HAM,-0.734
31.0,0 days 00:01:26.860000,86.86,8.0,NOR,-0.049000000000000044,HAM,-0.45599999999999996
32.0,0 days 00:01:26.746000,86.746,8.0,NOR,0.16,HAM,-0.126
33.0,0 days 00:01:26.445000,86.445,8.0,NOR,-0.010000000000000009,HAM,0.139
34.0,0 days 00:01:26.717000,86.717,8.0,NOR,0.351,HAM,-0.481
35.0,0 days 00:01:26.277000,86.277,8.0,NOR,-0.18700000000000006,HAM,-0.261
36.0,0 days 00:01:26.639000,86.639,8.0,NOR,-0.42100000000000004,HAM,-0.43400000000000005
37.0,0 days 00:01:26.806000,86.806,8.0,NOR,0.211,HAM,-0.8069999999999999
38.0,0 days 00:01:27.146000,87.146,8.0,NOR,-0.42100000000000004,HAM,-0.872
39.0,0 days 00:01:27.166000,87.166,8.0,NOR,0.374,HAM,-0.917
40.0,0 days 00:01:26.853000,86.853,8.0,NOR,0.092,HAM,-0.19499999999999995
41.0,0 days 00:01:34.520000,94.52,10.0,ALO,7.705,SAR,-7.34
42.0,0 days 00:01:53.593000,113.593,14.0,LAW,27.472,ZHO,-26.922
43.0,0 days 00:01:25.072000,85.072,14.0,LAW,-1.071,ZHO,1.216
44.0,0 days 00:01:25.690000,85.69,14.0,STR,-2.524,ZHO,0.623
45.0,0 days 00:01:26.139000,86.139,13.0,LAW,0.005,STR,2.197
46.0,0 days 00:01:25.732000,85.732,13.0,LAW,-0.28600000000000003,STR,1.421
47.0,0 days 00:01:26.614000,86.614,13.0,LAW,-0.04200000000000004,STR,0.653
48.0,0 days 00:01:26.067000,86.067,13.0,LAW,-0.031000000000000028,STR,1.5230000000000001
49.0,0 days 00:01:25.841000,85.841,12.0,SAR,-1.901,LAW,1.3940000000000001
50.0,0 days 00:01:25.593000,85.593,11.0,BOT,-1.357,LAW,0.843
