Giro,TempoGiro,TempoGiro_sec,Posizione,PilotaDavanti,DistaccoDavanti_sec,PilotaDietro,DistaccoDietro_sec
1.0,0 days 00:01:27.905000,87.905,3.0,SAI,0.788,LEC,0.85
2.0,0 days 00:01:26.163000,86.163,2.0,SAI,0.157,LEC,0.149
3.0,0 days 00:01:25.702000,85.702,2.0,SAI,-0.274,LEC,0.017
4.0,0 days 00:01:26.050000,86.05,2.0,SAI,-0.017000000000000015,LEC,-0.025000000000000022
5.0,0 days 00:01:26.176000,86.176,2.0,SAI,-0.247,LEC,0.09
6.0,0 days 00:01:26.837000,86.837,2.0,SAI,0.222,LEC,-0.354
7.0,0 days 00:01:26.368000,86.368,2.0,SAI,0.01,LEC,0.105
8.0,0 days 00:01:25.990000,85.99,2.0,SAI,-0.23399999999999999,LEC,-0.018000000000000016
9.0,0 days 00:01:26.605000,86.605,2.0,SAI,0.129,LEC,0.073
10.0,0 days 00:01:26.603000,86.603,2.0,SAI,0.092,LEC,0.184
11.0,0 days 00:01:26.643000,86.643,2.0,SAI,-0.04800000000000004,LEC,0.195
12.0,0 days 00:01:26.442000,86.442,2.0,SAI,0.034,LEC,0.252
13.0,0 days 00:01:26.666000,86.666,2.0,SAI,-0.22099999999999997,LEC,-0.10899999999999999
14.0,0 days 00:01:27.028000,87.028,2.0,SAI,0.056,LEC,-0.08799999999999997
15.0,0 days 00:01:26.782000,86.782,1.0,,,SAI,1.437
16.0,0 days 00:01:26.718000,86.718,1.0,,,SAI,0.605
17.0,0 days 00:01:26.733000,86.733,1.0,,,SAI,0.988
18.0,0 days 00:01:26.273000,86.273,1.0,,,SAI,1.2389999999999999
19.0,0 days 00:01:26.438000,86.438,1.0,,,LEC,1.264
20.0,0 days 00:01:30.849000,90.849,1.0,,,PER,-4.34
21.0,0 days 00:01:45.660000,105.66,5.0,HAM,18.261,ALO,-13.283
22.0,0 days 00:01:25.885000,85.885,3.0,HAM,-1.2690000000000001,NOR,5.7620000000000005
23.0,0 days 00:01:26.159000,86.159,2.0,HAM,-1.108,PIA,5.707
24.0,0 days 00:01:26.327000,86.327,2.0,HAM,-0.984,SAI,-0.42500000000000004
25.0,0 days 00:01:25.914000,85.914,1.0,,,HAM,1.877
26.0,0 days 00:01:25.786000,85.786,1.0,,,HAM,1.621
27.0,0 days 00:01:25.501000,85.501,1.0,,,SAI,0.664
28.0,0 days 00:01:25.434000,85.434,1.0,,,SAI,0.336
29.0,0 days 00:01:25.471000,85.471,1.0,,,SAI,0.249
30.0,0 days 00:01:25.398000,85.398,1.0,,,SAI,0.103
31.0,0 days 00:01:25.502000,85.502,1.0,,,SAI,0.216
32.0,0 days 00:01:25.410000,85.41,1.0,,,SAI,0.486
33.0,0 days 00:01:25.240000,85.24,1.0,,,SAI,0.686
34.0,0 days 00:01:25.683000,85.683,1.0,,,SAI,0.443
35.0,0 days 00:01:25.815000,85.815,1.0,,,SAI,-0.026000000000000023
36.0,0 days 00:01:25.598000,85.598,1.0,,,SAI,0.413
37.0,0 days 00:01:25.683000,85.683,1.0,,,SAI,0.203
38.0,0 days 00:01:25.585000,85.585,1.0,,,SAI,0.12
39.0,0 days 00:01:25.486000,85.486,1.0,,,SAI,0.438
40.0,0 days 00:01:25.901000,85.901,1.0,,,SAI,0.221
41.0,0 days 00:01:25.779000,85.779,1.0,,,SAI,0.959
42.0,0 days 00:01:25.912000,85.912,1.0,,,SAI,0.567
43.0,0 days 00:01:25.994000,85.994,1.0,,,SAI,0.595
44.0,0 days 00:01:25.751000,85.751,1.0,,,SAI,0.679
45.0,0 days 00:01:25.916000,85.916,1.0,,,SAI,0.716
46.0,0 days 00:01:26.185000,86.185,1.0,,,PER,-0.587
47.0,0 days 00:01:26.137000,86.137,1.0,,,PER,0.339
48.0,0 days 00:01:27.235000,87.235,1.0,,,PER,-1.127
49.0,0 days 00:01:27.907000,87.907,1.0,,,PER,-1.901
50.0,0 days 00:01:28.393000,88.393,1.0,,,PER,-2.008
51.0,0 days 00:01:27.525000,87.525,1.0,,,PER,-1.6219999999999999
