Giro,TempoGiro,TempoGiro_sec,Posizione,PilotaDavanti,DistaccoDavanti_sec,PilotaDietro,DistaccoDietro_sec
1.0,0 days 00:01:29.345000,89.345,4.0,NOR,0.374,HAM,0.329
2.0,0 days 00:01:25.731000,85.731,4.0,NOR,0.273,HAM,0.312
3.0,0 days 00:01:25.358000,85.358,4.0,NOR,0.248,HAM,0.272
4.0,0 days 00:01:25.086000,85.086,4.0,NOR,-0.08199999999999996,HAM,0.636
5.0,0 days 00:01:25.006000,85.006,4.0,NOR,0.332,HAM,-0.235
6.0,0 days 00:01:24.642000,84.642,4.0,NOR,-0.126,HAM,0.277
7.0,0 days 00:01:24.715000,84.715,4.0,NOR,0.184,HAM,0.49
8.0,0 days 00:01:24.870000,84.87,4.0,NOR,0.196,HAM,0.001
9.0,0 days 00:01:24.774000,84.774,4.0,NOR,0.11,HAM,0.261
10.0,0 days 00:01:24.684000,84.684,4.0,NOR,0.293,HAM,0.225
11.0,0 days 00:01:25.066000,85.066,4.0,NOR,0.618,HAM,-0.128
12.0,0 days 00:01:25.276000,85.276,4.0,NOR,0.621,HAM,-0.344
13.0,0 days 00:01:25.423000,85.423,4.0,NOR,0.064,HAM,-0.09399999999999997
14.0,0 days 00:01:25.234000,85.234,3.0,LEC,-0.372,NOR,4.183
15.0,0 days 00:01:25.183000,85.183,2.0,PIA,0.017,LEC,5.009
16.0,0 days 00:01:25.341000,85.341,2.0,PIA,-4.598,VER,-0.09699999999999998
17.0,0 days 00:01:25.407000,85.407,1.0,,,VER,-0.06699999999999995
18.0,0 days 00:01:25.678000,85.678,1.0,,,VER,-0.20899999999999996
19.0,0 days 00:01:30.388000,90.388,2.0,VER,4.851,PER,-4.705
20.0,0 days 00:01:44.811000,104.811,6.0,LEC,20.985,HAM,-20.171
21.0,0 days 00:01:24.499000,84.499,6.0,LEC,0.619,HAM,0.416
22.0,0 days 00:01:24.226000,84.226,6.0,LEC,0.458,HAM,0.387
23.0,0 days 00:01:24.557000,84.557,5.0,PER,-5.312,HAM,-0.42500000000000004
24.0,0 days 00:01:23.682000,83.682,4.0,LEC,0.042,HAM,0.136
25.0,0 days 00:01:23.687000,83.687,4.0,LEC,0.097,HAM,0.117
26.0,0 days 00:01:23.503000,83.503,4.0,LEC,0.182,HAM,0.17
27.0,0 days 00:01:23.503000,83.503,4.0,LEC,-0.031000000000000028,HAM,-0.008000000000000007
28.0,0 days 00:01:23.751000,83.751,4.0,LEC,0.467,HAM,-0.11099999999999999
29.0,0 days 00:01:23.473000,83.473,4.0,LEC,0.244,HAM,0.034
30.0,0 days 00:01:23.584000,83.584,4.0,LEC,0.225,HAM,-0.139
31.0,0 days 00:01:23.330000,83.33,4.0,LEC,-0.642,HAM,0.03
32.0,0 days 00:01:23.354000,83.354,4.0,NOR,-4.0600000000000005,HAM,-0.026000000000000023
33.0,0 days 00:01:23.412000,83.412,3.0,LEC,0.186,HAM,-0.015000000000000013
34.0,0 days 00:01:23.285000,83.285,3.0,LEC,-0.14500000000000002,HAM,0.246
35.0,0 days 00:01:23.334000,83.334,3.0,LEC,-0.347,HAM,0.044
36.0,0 days 00:01:23.270000,83.27,3.0,LEC,-0.44399999999999995,HAM,0.331
37.0,0 days 00:01:23.290000,83.29,3.0,LEC,-0.26,HAM,5.059
38.0,0 days 00:01:23.551000,83.551,3.0,LEC,-0.07299999999999995,VER,-0.124
39.0,0 days 00:01:23.809000,83.809,2.0,LEC,0.091,PIA,19.629
40.0,0 days 00:01:23.803000,83.803,2.0,LEC,0.113,PIA,-1.539
41.0,0 days 00:01:23.337000,83.337,2.0,LEC,-0.274,PIA,-1.271
42.0,0 days 00:01:23.838000,83.838,2.0,LEC,0.168,PIA,-1.5070000000000001
43.0,0 days 00:01:23.793000,83.793,2.0,LEC,-0.07399999999999995,PIA,-1.701
44.0,0 days 00:01:23.931000,83.931,2.0,LEC,0.501,PIA,-1.303
45.0,0 days 00:01:25.113000,85.113,3.0,PIA,1.438,NOR,-2.715
46.0,0 days 00:01:24.001000,84.001,3.0,PIA,1.464,NOR,-1.96
47.0,0 days 00:01:24.090000,84.09,3.0,PIA,1.837,NOR,-0.238
48.0,0 days 00:01:24.939000,84.939,4.0,NOR,3.115,HAM,-2.145
49.0,0 days 00:01:23.921000,83.921,4.0,NOR,1.4849999999999999,HAM,-1.475
50.0,0 days 00:01:23.769000,83.769,4.0,NOR,0.503,HAM,-1.526
51.0,0 days 00:01:23.754000,83.754,4.0,NOR,1.4849999999999999,HAM,-1.017
52.0,0 days 00:01:23.722000,83.722,4.0,NOR,1.42,HAM,1.9809999999999999
53.0,0 days 00:01:23.219000,83.219,4.0,NOR,1.787,HAM,-1.707
