LapNumber,LapTime_SAI,Team_SAI,LapTime_seconds_SAI,LapTime_PER,Team_PER,LapTime_seconds_PER,LapTime_LEC,Team_LEC,LapTime_seconds_LEC,Event,Session,Year,Reference_Driver
1.0,0 days 00:01:27.117000,Ferrari,87.117,0 days 00:01:29.806000,Red Bull Racing,89.806,0 days 00:01:28.755000,Ferrari,88.755,Italian Grand Prix,Race,2023,SAI
2.0,0 days 00:01:26.006000,Ferrari,86.006,0 days 00:01:26.881000,Red Bull Racing,86.881,0 days 00:01:26.312000,Ferrari,86.312,Italian Grand Prix,Race,2023,SAI
3.0,0 days 00:01:25.976000,Ferrari,85.976,0 days 00:01:26.143000,Red Bull Racing,86.143,0 days 00:01:25.719000,Ferrari,85.719,Italian Grand Prix,Race,2023,SAI
4.0,0 days 00:01:26.067000,Ferrari,86.067,0 days 00:01:26.019000,Red Bull Racing,86.019,0 days 00:01:26.025000,Ferrari,86.025,Italian Grand Prix,Race,2023,SAI
5.0,0 days 00:01:26.423000,Ferrari,86.423,0 days 00:01:26.354000,Red Bull Racing,86.354,0 days 00:01:26.266000,Ferrari,86.266,Italian Grand Prix,Race,2023,SAI
6.0,0 days 00:01:26.615000,Ferrari,86.615,0 days 00:01:26.465000,Red Bull Racing,86.465,0 days 00:01:26.483000,Ferrari,86.483,Italian Grand Prix,Race,2023,SAI
7.0,0 days 00:01:26.358000,Ferrari,86.358,0 days 00:01:26.333000,Red Bull Racing,86.333,0 days 00:01:26.473000,Ferrari,86.473,Italian Grand Prix,Race,2023,SAI
8.0,0 days 00:01:26.224000,Ferrari,86.224,0 days 00:01:26.887000,Red Bull Racing,86.887,0 days 00:01:25.972000,Ferrari,85.972,Italian Grand Prix,Race,2023,SAI
9.0,0 days 00:01:26.476000,Ferrari,86.476,0 days 00:01:26.564000,Red Bull Racing,86.564,0 days 00:01:26.678000,Ferrari,86.678,Italian Grand Prix,Race,2023,SAI
10.0,0 days 00:01:26.511000,Ferrari,86.511,0 days 00:01:26.454000,Red Bull Racing,86.454,0 days 00:01:26.787000,Ferrari,86.787,Italian Grand Prix,Race,2023,SAI
11.0,0 days 00:01:26.691000,Ferrari,86.691,0 days 00:01:27.245000,Red Bull Racing,87.245,0 days 00:01:26.838000,Ferrari,86.838,Italian Grand Prix,Race,2023,SAI
12.0,0 days 00:01:26.408000,Ferrari,86.408,0 days 00:01:26.968000,Red Bull Racing,86.968,0 days 00:01:26.694000,Ferrari,86.694,Italian Grand Prix,Race,2023,SAI
13.0,0 days 00:01:26.887000,Ferrari,86.887,0 days 00:01:27.014000,Red Bull Racing,87.014,0 days 00:01:26.557000,Ferrari,86.557,Italian Grand Prix,Race,2023,SAI
14.0,0 days 00:01:26.972000,Ferrari,86.972,0 days 00:01:27.451000,Red Bull Racing,87.451,0 days 00:01:26.940000,Ferrari,86.94,Italian Grand Prix,Race,2023,SAI
15.0,0 days 00:01:28.219000,Ferrari,88.219,0 days 00:01:26.779000,Red Bull Racing,86.779,0 days 00:01:27.314000,Ferrari,87.314,Italian Grand Prix,Race,2023,SAI
16.0,0 days 00:01:27.323000,Ferrari,87.323,0 days 00:01:26.823000,Red Bull Racing,86.823,0 days 00:01:27.155000,Ferrari,87.155,Italian Grand Prix,Race,2023,SAI
17.0,0 days 00:01:27.721000,Ferrari,87.721,0 days 00:01:27.011000,Red Bull Racing,87.011,0 days 00:01:27.670000,Ferrari,87.67,Italian Grand Prix,Race,2023,SAI
18.0,0 days 00:01:27.512000,Ferrari,87.512,0 days 00:01:26.765000,Red Bull Racing,86.765,0 days 00:01:27.498000,Ferrari,87.498,Italian Grand Prix,Race,2023,SAI
19.0,0 days 00:01:31.912000,Ferrari,91.912,0 days 00:01:26.669000,Red Bull Racing,86.669,0 days 00:01:27.702000,Ferrari,87.702,Italian Grand Prix,Race,2023,SAI
20.0,0 days 00:01:46.762000,Ferrari,106.762,0 days 00:01:26.509000,Red Bull Racing,86.509,0 days 00:01:31.155000,Ferrari,91.155,Italian Grand Prix,Race,2023,SAI
21.0,0 days 00:01:26.146000,Ferrari,86.146,0 days 00:01:30.934000,Red Bull Racing,90.934,0 days 00:01:45.842000,Ferrari,105.842,Italian Grand Prix,Race,2023,SAI
22.0,0 days 00:01:25.558000,Ferrari,85.558,0 days 00:01:45.228000,Red Bull Racing,105.228,0 days 00:01:25.742000,Ferrari,85.742,Italian Grand Prix,Race,2023,SAI
23.0,0 days 00:01:25.793000,Ferrari,85.793,0 days 00:01:25.564000,Red Bull Racing,85.564,0 days 00:01:25.807000,Ferrari,85.807,Italian Grand Prix,Race,2023,SAI
24.0,0 days 00:01:25.902000,Ferrari,85.902,0 days 00:01:25.759000,Red Bull Racing,85.759,0 days 00:01:25.933000,Ferrari,85.933,Italian Grand Prix,Race,2023,SAI
25.0,0 days 00:01:26.005000,Ferrari,86.005,0 days 00:01:26.005000,Red Bull Racing,86.005,0 days 00:01:26.061000,Ferrari,86.061,Italian Grand Prix,Race,2023,SAI
26.0,0 days 00:01:25.836000,Ferrari,85.836,0 days 00:01:25.884000,Red Bull Racing,85.884,0 days 00:01:25.763000,Ferrari,85.763,Italian Grand Prix,Race,2023,SAI
