LapNumber,LapTime_LEC,Team_LEC,LapTime_seconds_LEC,LapTime_PIA,Team_PIA,LapTime_seconds_PIA,Event,Session,Year,Reference_Driver
1.0,0 days 00:01:28.179000,Ferrari,88.179,0 days 00:01:27.623000,McLaren,87.623,Italian Grand Prix,Race,2024,LEC
2.0,0 days 00:01:25.396000,Ferrari,85.396,0 days 00:01:25.116000,McLaren,85.116,Italian Grand Prix,Race,2024,LEC
3.0,0 days 00:01:25.179000,Ferrari,85.179,0 days 00:01:25.261000,McLaren,85.261,Italian Grand Prix,Race,2024,LEC
4.0,0 days 00:01:24.810000,Ferrari,84.81,0 days 00:01:24.695000,McLaren,84.695,Italian Grand Prix,Race,2024,LEC
5.0,0 days 00:01:24.603000,Ferrari,84.603,0 days 00:01:24.660000,McLaren,84.66,Italian Grand Prix,Race,2024,LEC
6.0,0 days 00:01:24.663000,Ferrari,84.663,0 days 00:01:24.603000,McLaren,84.603,Italian Grand Prix,Race,2024,LEC
7.0,0 days 00:01:24.434000,Ferrari,84.434,0 days 00:01:24.418000,McLaren,84.418,Italian Grand Prix,Race,2024,LEC
8.0,0 days 00:01:24.569000,Ferrari,84.569,0 days 00:01:24.570000,McLaren,84.57,Italian Grand Prix,Race,2024,LEC
9.0,0 days 00:01:24.362000,Ferrari,84.362,0 days 00:01:24.375000,McLaren,84.375,Italian Grand Prix,Race,2024,LEC
10.0,0 days 00:01:24.432000,Ferrari,84.432,0 days 00:01:24.077000,McLaren,84.077,Italian Grand Prix,Race,2024,LEC
11.0,0 days 00:01:24.846000,Ferrari,84.846,0 days 00:01:24.247000,McLaren,84.247,Italian Grand Prix,Race,2024,LEC
12.0,0 days 00:01:24.916000,Ferrari,84.916,0 days 00:01:24.748000,McLaren,84.748,Italian Grand Prix,Race,2024,LEC
13.0,0 days 00:01:25.529000,Ferrari,85.529,0 days 00:01:24.670000,McLaren,84.67,Italian Grand Prix,Race,2024,LEC
14.0,0 days 00:01:25.606000,Ferrari,85.606,0 days 00:01:25.048000,McLaren,85.048,Italian Grand Prix,Race,2024,LEC
