LapNumber,Sector,Position,SectorTime,SectorSessionTime,DriverAhead,TimeAhead,DriverBehind,TimeBehind,DeltaToAhead,DeltaToBehind,HalfSecondTimestamp
2.0,1,1.0,0 days 00:00:28.155000,0 days 01:24:18.800000,,,23,0 days 00:00:28.248000,,-0.09299999999999997,0 days 01:24:18.500000
3.0,1,1.0,0 days 00:00:27.933000,0 days 01:25:44.890000,,,1,0 days 00:00:28.097000,,-0.16400000000000003,0 days 01:25:44.500000
4.0,1,3.0,0 days 00:00:28.073000,0 days 01:27:10.749000,40,0 days 00:00:28.037000,77,0 days 00:00:28.114000,0.036,-0.041000000000000036,0 days 01:27:10.500000
5.0,1,5.0,0 days 00:00:28.042000,0 days 01:28:36.743000,40,0 days 00:00:28.039000,1,0 days 00:00:28.155000,0.003,-0.11299999999999999,0 days 01:28:36.500000
6.0,1,8.0,0 days 00:00:28.204000,0 days 01:30:03.171000,24,0 days 00:00:28.146000,31,0 days 00:00:28.228000,0.058,-0.02400000000000002,0 days 01:30:03
7.0,1,4.0,0 days 00:00:28.130000,0 days 01:31:29.580000,40,0 days 00:00:28.085000,14,0 days 00:00:28.135000,0.045,-0.0050000000000000044,0 days 01:31:29.500000
8.0,1,4.0,0 days 00:00:28.002000,0 days 01:32:55.925000,10,0 days 00:00:28,11,0 days 00:00:28.038000,0.002,-0.03600000000000003,0 days 01:32:55.500000
9.0,1,2.0,0 days 00:00:28.037000,0 days 01:34:21.932000,18,0 days 00:00:28.012000,,,0.025,,0 days 01:34:21.500000
10.0,1,10.0,0 days 00:00:28.308000,0 days 01:35:48.881000,11,0 days 00:00:28.302000,1,0 days 00:00:28.315000,0.006,-0.007000000000000006,0 days 01:35:48.500000
11.0,1,10.0,0 days 00:00:28.279000,0 days 01:37:15.639000,1,0 days 00:00:28.233000,31,0 days 00:00:28.301000,0.046,-0.02200000000000002,0 days 01:37:15.500000
12.0,1,6.5,0 days 00:00:28.237000,0 days 01:38:42.435000,,,,,,,0 days 01:38:42
13.0,1,1.0,0 days 00:00:28.136000,0 days 01:40:09.028000,,,24,0 days 00:00:28.148000,,-0.01200000000000001,0 days 01:40:09
14.0,1,5.0,0 days 00:00:28.276000,0 days 01:41:35.725000,11,0 days 00:00:28.229000,18,0 days 00:00:28.293000,0.047,-0.017000000000000015,0 days 01:41:35.500000
15.0,1,8.0,0 days 00:00:28.401000,0 days 01:43:02.790000,63,0 days 00:00:28.352000,24,0 days 00:00:28.406000,0.049,-0.0050000000000000044,0 days 01:43:02.500000
16.0,1,3.0,0 days 00:00:28.242000,0 days 01:44:29.945000,14,0 days 00:00:28.235000,18,0 days 00:00:28.251000,0.007,-0.009000000000000008,0 days 01:44:29.500000
17.0,1,7.0,0 days 00:00:28.308000,0 days 01:45:57.166000,10,0 days 00:00:28.286000,27,0 days 00:00:28.315000,0.022,-0.007000000000000006,0 days 01:45:57
18.0,1,4.0,0 days 00:00:28.199000,0 days 01:47:24.727000,40,0 days 00:00:28.197000,14,0 days 00:00:28.210000,0.002,-0.01100000000000001,0 days 01:47:24.500000
19.0,1,4.0,0 days 00:00:28.304000,0 days 01:48:52.330000,14,0 days 00:00:28.251000,2,0 days 00:00:28.315000,0.053,-0.01100000000000001,0 days 01:48:52
22.0,1,4.0,0 days 00:00:28.116000,0 days 01:53:36.841000,18,0 days 00:00:28.099000,55,0 days 00:00:28.190000,0.017,-0.07399999999999995,0 days 01:53:36.500000
23.0,1,1.0,0 days 00:00:27.984000,0 days 01:55:02.451000,,,18,0 days 00:00:28.004000,,-0.020000000000000018,0 days 01:55:02
24.0,1,1.0,0 days 00:00:27.945000,0 days 01:56:28.219000,,,11,0 days 00:00:28.041000,,-0.09599999999999997,0 days 01:56:28
25.0,1,1.0,0 days 00:00:27.930000,0 days 01:57:54.137000,,,1,0 days 00:00:28.052000,,-0.122,0 days 01:57:54
26.0,1,1.0,0 days 00:00:28.034000,0 days 01:59:20.302000,,,55,0 days 00:00:28.117000,,-0.08299999999999996,0 days 01:59:20
27.0,1,2.0,0 days 00:00:28.016000,0 days 02:00:46.047000,18,0 days 00:00:27.971000,77,0 days 00:00:28.023000,0.045,-0.007000000000000006,0 days 02:00:46
28.0,1,1.0,0 days 00:00:28.012000,0 days 02:02:12.277000,,,11,0 days 00:00:28.034000,,-0.02200000000000002,0 days 02:02:12
29.0,1,8.0,0 days 00:00:28.146000,0 days 02:03:38.074000,55,0 days 00:00:28.136000,1,0 days 00:00:28.149000,0.01,-0.0030000000000000027,0 days 02:03:38
30.0,1,4.0,0 days 00:00:28.142000,0 days 02:05:03.884000,77,0 days 00:00:28.119000,1,0 days 00:00:28.150000,0.023,-0.008000000000000007,0 days 02:05:03.500000
31.0,1,5.0,0 days 00:00:28.063000,0 days 02:06:29.587000,55,0 days 00:00:28.057000,14,0 days 00:00:28.145000,0.006,-0.08199999999999996,0 days 02:06:29.500000
32.0,1,18.0,0 days 00:00:28.786000,0 days 02:07:56.806000,20,0 days 00:00:28.572000,,,0.214,,0 days 02:07:56.500000
33.0,1,5.0,0 days 00:00:28.143000,0 days 02:09:23.032000,1,0 days 00:00:28.057000,4,0 days 00:00:28.159000,0.086,-0.016000000000000014,0 days 02:09:23
34.0,1,3.0,0 days 00:00:28.130000,0 days 02:10:48.981000,1,0 days 00:00:28.111000,14,0 days 00:00:28.146000,0.019,-0.016000000000000014,0 days 02:10:48.500000
35.0,1,7.0,0 days 00:00:28.170000,0 days 02:12:14.872000,40,0 days 00:00:28.105000,1,0 days 00:00:28.179000,0.065,-0.009000000000000008,0 days 02:12:14.500000
36.0,1,1.0,0 days 00:00:27.916000,0 days 02:13:40.468000,,,18,0 days 00:00:28.004000,,-0.08799999999999997,0 days 02:13:40
37.0,1,1.0,0 days 00:00:27.902000,0 days 02:15:06.085000,,,18,0 days 00:00:27.963000,,-0.061000000000000054,0 days 02:15:06
38.0,1,2.0,0 days 00:00:27.994000,0 days 02:16:31.848000,55,0 days 00:00:27.936000,18,0 days 00:00:27.996000,0.058,-0.0020000000000000018,0 days 02:16:31.500000
39.0,1,2.0,0 days 00:00:27.997000,0 days 02:17:57.431000,40,0 days 00:00:27.782000,11,0 days 00:00:28.005000,0.215,-0.008000000000000007,0 days 02:17:57
40.0,1,2.0,0 days 00:00:27.941000,0 days 02:19:23.004000,44,0 days 00:00:27.835000,55,0 days 00:00:28.028000,0.106,-0.08699999999999997,0 days 02:19:23
41.0,1,1.0,0 days 00:00:28.014000,0 days 02:20:48.805000,,,11,0 days 00:00:28.078000,,-0.06399999999999995,0 days 02:20:48.500000
42.0,1,1.0,0 days 00:00:28.005000,0 days 02:22:15.307000,,,1,0 days 00:00:28.057000,,-0.052000000000000046,0 days 02:22:15
43.0,1,9.0,0 days 00:00:28.224000,0 days 02:23:41.974000,44,0 days 00:00:28.191000,55,0 days 00:00:28.243000,0.033,-0.019000000000000017,0 days 02:23:41.500000
44.0,1,12.0,0 days 00:00:28.282000,0 days 02:25:08.629000,63,0 days 00:00:28.274000,44,0 days 00:00:28.286000,0.008,-0.0040000000000000036,0 days 02:25:08.500000
45.0,1,1.5,0 days 00:00:28.007000,0 days 02:26:34.940000,,,,,,,0 days 02:26:34.500000
46.0,1,1.0,0 days 00:00:27.912000,0 days 02:28:01.166000,,,11,0 days 00:00:27.932000,,-0.020000000000000018,0 days 02:28:01
47.0,1,16.0,0 days 00:00:28.486000,0 days 02:29:28.320000,2,0 days 00:00:28.463000,55,0 days 00:00:28.583000,0.023,-0.09699999999999998,0 days 02:29:28
48.0,1,17.0,0 days 00:00:28.441000,0 days 02:30:55.646000,4,0 days 00:00:28.415000,1,0 days 00:00:28.459000,0.026,-0.018000000000000016,0 days 02:30:55.500000
49.0,1,11.0,0 days 00:00:28.284000,0 days 02:32:22.317000,11,0 days 00:00:28.272000,44,0 days 00:00:28.298000,0.012,-0.014000000000000012,0 days 02:32:22
50.0,1,15.0,0 days 00:00:28.367000,0 days 02:33:49.033000,55,0 days 00:00:28.355000,2,0 days 00:00:28.572000,0.012,-0.20499999999999996,0 days 02:33:49
51.0,1,3.0,0 days 00:00:28.122000,0 days 02:35:15.749000,63,0 days 00:00:28.119000,44,0 days 00:00:28.147000,0.003,-0.025000000000000022,0 days 02:35:15.500000
2.0,2,3.0,0 days 00:00:29.728000,0 days 01:24:48.528000,1,0 days 00:00:29.543000,63,0 days 00:00:29.786000,0.185,-0.05800000000000005,0 days 01:24:48.500000
3.0,2,1.0,0 days 00:00:29.256000,0 days 01:26:14.146000,,,1,0 days 00:00:29.320000,,-0.06399999999999995,0 days 01:26:14
4.0,2,2.0,0 days 00:00:29.438000,0 days 01:27:40.187000,55,0 days 00:00:29.335000,1,0 days 00:00:29.474000,0.103,-0.03600000000000003,0 days 01:27:40
5.0,2,2.0,0 days 00:00:29.611000,0 days 01:29:06.354000,1,0 days 00:00:29.514000,55,0 days 00:00:29.622000,0.097,-0.01100000000000001,0 days 01:29:06
6.0,2,4.0,0 days 00:00:29.712000,0 days 01:30:32.883000,63,0 days 00:00:29.707000,4,0 days 00:00:29.732000,0.005,-0.020000000000000018,0 days 01:30:32.500000
7.0,2,3.0,0 days 00:00:29.768000,0 days 01:31:59.348000,1,0 days 00:00:29.751000,31,0 days 00:00:29.794000,0.017,-0.026000000000000023,0 days 01:31:59
8.0,2,2.0,0 days 00:00:29.510000,0 days 01:33:25.435000,1,0 days 00:00:29.432000,55,0 days 00:00:29.541000,0.078,-0.031000000000000028,0 days 01:33:25
9.0,2,4.0,0 days 00:00:29.789000,0 days 01:34:51.721000,81,0 days 00:00:29.742000,55,0 days 00:00:29.820000,0.047,-0.031000000000000028,0 days 01:34:51.500000
10.0,2,4.0,0 days 00:00:29.817000,0 days 01:36:18.698000,1,0 days 00:00:29.780000,11,0 days 00:00:29.828000,0.037,-0.01100000000000001,0 days 01:36:18.500000
11.0,2,1.0,0 days 00:00:29.772000,0 days 01:37:45.411000,,,55,0 days 00:00:29.892000,,-0.12,0 days 01:37:45
12.0,2,4.0,0 days 00:00:29.915000,0 days 01:39:12.350000,10,0 days 00:00:29.851000,63,0 days 00:00:30.143000,0.064,-0.22799999999999998,0 days 01:39:12
13.0,2,2.0,0 days 00:00:29.853000,0 days 01:40:38.881000,24,0 days 00:00:29.593000,10,0 days 00:00:29.892000,0.26,-0.039000000000000035,0 days 01:40:38.500000
14.0,2,2.0,0 days 00:00:30.041000,0 days 01:42:05.766000,81,0 days 00:00:29.990000,10,0 days 00:00:30.051000,0.051,-0.010000000000000009,0 days 01:42:05.500000
15.0,2,3.0,0 days 00:00:30.047000,0 days 01:43:32.837000,14,0 days 00:00:30.043000,10,0 days 00:00:30.093000,0.004,-0.04600000000000004,0 days 01:43:32.500000
16.0,2,11.0,0 days 00:00:30.148000,0 days 01:45:00.093000,4,0 days 00:00:30.068000,14,0 days 00:00:30.255000,0.08,-0.10699999999999998,0 days 01:45:00
17.0,2,16.0,0 days 00:00:30.329000,0 days 01:46:27.495000,4,0 days 00:00:30.325000,31,0 days 00:00:30.381000,0.004,-0.052000000000000046,0 days 01:46:27
18.0,2,16.0,0 days 00:00:30.370000,0 days 01:47:55.097000,63,0 days 00:00:30.340000,31,0 days 00:00:30.459000,0.03,-0.08899999999999997,0 days 01:47:55
19.0,2,16.0,0 days 00:00:30.386000,0 days 01:49:22.716000,31,0 days 00:00:30.382000,18,0 days 00:00:30.608000,0.004,-0.22199999999999998,0 days 01:49:22.500000
22.0,2,2.0,0 days 00:00:29.460000,0 days 01:54:06.301000,55,0 days 00:00:29.222000,1,0 days 00:00:29.546000,0.238,-0.08599999999999997,0 days 01:54:06
23.0,2,3.0,0 days 00:00:29.553000,0 days 01:55:32.004000,55,0 days 00:00:29.449000,1,0 days 00:00:29.638000,0.104,-0.08499999999999996,0 days 01:55:32
24.0,2,5.0,0 days 00:00:29.668000,0 days 01:56:57.887000,55,0 days 00:00:29.514000,63,0 days 00:00:29.873000,0.154,-0.20499999999999996,0 days 01:56:57.500000
25.0,2,5.0,0 days 00:00:29.720000,0 days 01:58:23.857000,55,0 days 00:00:29.643000,4,0 days 00:00:29.752000,0.077,-0.03200000000000003,0 days 01:58:23.500000
26.0,2,3.0,0 days 00:00:29.494000,0 days 01:59:49.796000,55,0 days 00:00:29.485000,81,0 days 00:00:29.601000,0.009,-0.10699999999999998,0 days 01:59:49.500000
27.0,2,5.0,0 days 00:00:29.562000,0 days 02:01:15.609000,11,0 days 00:00:29.542000,63,0 days 00:00:29.571000,0.02,-0.009000000000000008,0 days 02:01:15.500000
28.0,2,3.0,0 days 00:00:29.486000,0 days 02:02:41.763000,55,0 days 00:00:29.476000,11,0 days 00:00:29.580000,0.01,-0.09399999999999997,0 days 02:02:41.500000
29.0,2,7.0,0 days 00:00:29.642000,0 days 02:04:07.716000,77,0 days 00:00:29.576000,4,0 days 00:00:29.731000,0.066,-0.08899999999999997,0 days 02:04:07.500000
30.0,2,4.0,0 days 00:00:29.568000,0 days 02:05:33.452000,63,0 days 00:00:29.436000,44,0 days 00:00:29.728000,0.132,-0.16000000000000003,0 days 02:05:33
31.0,2,11.0,0 days 00:00:30.061000,0 days 02:06:59.648000,81,0 days 00:00:30.047000,20,0 days 00:00:30.072000,0.014,-0.01100000000000001,0 days 02:06:59.500000
32.0,2,8.5,0 days 00:00:29.915000,0 days 02:08:26.721000,,,,,,,0 days 02:08:26.500000
33.0,2,2.0,0 days 00:00:29.653000,0 days 02:09:52.685000,1,0 days 00:00:29.201000,55,0 days 00:00:29.676000,0.452,-0.02300000000000002,0 days 02:09:52.500000
34.0,2,4.0,0 days 00:00:29.667000,0 days 02:11:18.648000,55,0 days 00:00:29.656000,11,0 days 00:00:29.676000,0.011,-0.009000000000000008,0 days 02:11:18.500000
35.0,2,8.0,0 days 00:00:29.626000,0 days 02:12:44.498000,20,0 days 00:00:29.624000,81,0 days 00:00:29.717000,0.002,-0.09099999999999997,0 days 02:12:44
36.0,2,5.0,0 days 00:00:29.701000,0 days 02:14:10.169000,44,0 days 00:00:29.691000,10,0 days 00:00:29.719000,0.01,-0.018000000000000016,0 days 02:14:10
37.0,2,5.0,0 days 00:00:29.633000,0 days 02:15:35.718000,44,0 days 00:00:29.626000,40,0 days 00:00:29.648000,0.007,-0.015000000000000013,0 days 02:15:35.500000
38.0,2,2.0,0 days 00:00:29.492000,0 days 02:17:01.340000,1,0 days 00:00:29.469000,11,0 days 00:00:29.518000,0.023,-0.026000000000000023,0 days 02:17:01
39.0,2,3.0,0 days 00:00:29.531000,0 days 02:18:26.962000,11,0 days 00:00:29.530000,10,0 days 00:00:29.667000,0.001,-0.136,0 days 02:18:26.500000
40.0,2,6.0,0 days 00:00:29.673000,0 days 02:19:52.677000,10,0 days 00:00:29.656000,24,0 days 00:00:29.731000,0.017,-0.05800000000000005,0 days 02:19:52.500000
41.0,2,11.0,0 days 00:00:30.072000,0 days 02:21:18.877000,23,0 days 00:00:30.008000,77,0 days 00:00:30.082000,0.064,-0.010000000000000009,0 days 02:21:18.500000
42.0,2,13.0,0 days 00:00:30.118000,0 days 02:22:45.425000,18,0 days 00:00:30.109000,77,0 days 00:00:30.159000,0.009,-0.041000000000000036,0 days 02:22:45
43.0,2,14.0,0 days 00:00:30.135000,0 days 02:24:12.109000,23,0 days 00:00:30.083000,11,0 days 00:00:30.205000,0.052,-0.06999999999999995,0 days 02:24:12
44.0,2,12.0,0 days 00:00:29.969000,0 days 02:25:38.598000,11,0 days 00:00:29.943000,44,0 days 00:00:29.995000,0.026,-0.026000000000000023,0 days 02:25:38.500000
45.0,2,12.0,0 days 00:00:30.103000,0 days 02:27:05.043000,63,0 days 00:00:29.972000,55,0 days 00:00:30.144000,0.131,-0.041000000000000036,0 days 02:27:05
46.0,2,18.0,0 days 00:00:30.545000,0 days 02:28:31.711000,2,0 days 00:00:30.541000,,,0.004,,0 days 02:28:31.500000
