LapNumber,Sector,Position,SectorTime,SectorSessionTime,DriverAhead,TimeAhead,DriverBehind,TimeBehind,DeltaToAhead,DeltaToBehind,HalfSecondTimestamp
3.0,1,2.0,0 days 00:00:24.007000,0 days 01:39:24.207000,81,0 days 00:00:23.960000,55,0 days 00:00:24.363000,0.047,-0.356,0 days 01:39:24
4.0,1,13.0,0 days 00:00:21.892000,0 days 01:40:46.716000,63,0 days 00:00:21.853000,22,0 days 00:00:21.941000,0.039,-0.049000000000000044,0 days 01:40:46.500000
5.0,1,1.0,0 days 00:00:21.314000,0 days 01:42:08.763000,,,81,0 days 00:00:21.435000,,-0.121,0 days 01:42:08.500000
6.0,1,4.0,0 days 00:00:21.568000,0 days 01:43:30.812000,81,0 days 00:00:21.409000,24,0 days 00:00:21.728000,0.159,-0.16000000000000003,0 days 01:43:30.500000
7.0,1,4.0,0 days 00:00:21.370000,0 days 01:44:51.759000,55,0 days 00:00:21.283000,1,0 days 00:00:21.383000,0.087,-0.013000000000000012,0 days 01:44:51.500000
8.0,1,3.0,0 days 00:00:21.250000,0 days 01:46:12.619000,55,0 days 00:00:21.208000,4,0 days 00:00:21.342000,0.042,-0.09199999999999997,0 days 01:46:12.500000
9.0,1,2.0,0 days 00:00:21.092000,0 days 01:47:33.491000,4,0 days 00:00:20.935000,81,0 days 00:00:21.181000,0.157,-0.08899999999999997,0 days 01:47:33
10.0,1,1.0,0 days 00:00:21.036000,0 days 01:48:53.549000,,,4,0 days 00:00:21.081000,,-0.04500000000000004,0 days 01:48:53.500000
11.0,1,3.0,0 days 00:00:21.279000,0 days 01:50:14.567000,55,0 days 00:00:21.233000,4,0 days 00:00:21.308000,0.046,-0.029000000000000026,0 days 01:50:14.500000
12.0,1,2.0,0 days 00:00:20.949000,0 days 01:51:35.283000,4,0 days 00:00:20.747000,55,0 days 00:00:20.951000,0.202,-0.0020000000000000018,0 days 01:51:35
13.0,1,2.0,0 days 00:00:20.818000,0 days 01:52:55.404000,81,0 days 00:00:20.677000,1,0 days 00:00:20.858000,0.141,-0.040000000000000036,0 days 01:52:55
14.0,1,4.0,0 days 00:00:20.847000,0 days 01:54:14.450000,18,0 days 00:00:20.801000,1,0 days 00:00:20.849000,0.046,-0.0020000000000000018,0 days 01:54:14
15.0,1,1.0,0 days 00:00:20.763000,0 days 01:55:34.279000,,,4,0 days 00:00:20.813000,,-0.050000000000000044,0 days 01:55:34
16.0,1,8.0,0 days 00:00:21.139000,0 days 01:56:54.493000,24,0 days 00:00:21.128000,44,0 days 00:00:21.278000,0.011,-0.139,0 days 01:56:54
17.0,1,3.0,0 days 00:00:20.925000,0 days 01:58:14.435000,44,0 days 00:00:20.869000,1,0 days 00:00:20.952000,0.056,-0.027000000000000024,0 days 01:58:14
18.0,1,2.0,0 days 00:00:20.612000,0 days 01:59:34.401000,77,0 days 00:00:20.228000,4,0 days 00:00:20.673000,0.384,-0.061000000000000054,0 days 01:59:34
19.0,1,2.0,0 days 00:00:20.806000,0 days 02:00:54.175000,77,0 days 00:00:20.158000,81,0 days 00:00:20.809000,0.648,-0.0030000000000000027,0 days 02:00:54
20.0,1,1.0,0 days 00:00:20.573000,0 days 02:02:12.784000,,,4,0 days 00:00:20.623000,,-0.050000000000000044,0 days 02:02:12.500000
21.0,1,3.0,0 days 00:00:20.609000,0 days 02:03:31.544000,55,0 days 00:00:20.528000,4,0 days 00:00:20.637000,0.081,-0.028000000000000025,0 days 02:03:31.500000
22.0,1,1.0,0 days 00:00:20.591000,0 days 02:04:49.998000,,,81,0 days 00:00:20.647000,,-0.05600000000000005,0 days 02:04:49.500000
23.0,1,3.5,0 days 00:00:20.638000,0 days 02:06:08.665000,,,,,,,0 days 02:06:08.500000
24.0,1,2.0,0 days 00:00:20.436000,0 days 02:07:26.921000,81,0 days 00:00:20.402000,55,0 days 00:00:20.629000,0.034,-0.19299999999999995,0 days 02:07:26.500000
25.0,1,1.0,0 days 00:00:20.408000,0 days 02:08:45.618000,,,4,0 days 00:00:20.520000,,-0.11199999999999999,0 days 02:08:45.500000
26.0,1,1.0,0 days 00:00:20.305000,0 days 02:10:04.488000,,,55,0 days 00:00:20.525000,,-0.21999999999999997,0 days 02:10:04
