TimeStamp,Year,GP,Session,Length_Track,Total_Laps,Temperature_Track,Air_Temperature,Compound,LapTime,Driver
0 days 01:23:49.801000,2023,Monza,R,5793,53,42.5,29.2,MEDIUM,0 days 00:01:27.905000,VER
0 days 01:25:15.964000,2023,Monza,R,5793,53,43.2,29.3,MEDIUM,0 days 00:01:26.163000,VER
0 days 01:26:41.666000,2023,Monza,R,5793,53,43.2,29.4,MEDIUM,0 days 00:01:25.702000,VER
0 days 01:28:07.716000,2023,Monza,R,5793,53,43.1,29.5,MEDIUM,0 days 00:01:26.050000,VER
0 days 01:29:33.892000,2023,Monza,R,5793,53,43.3,29.5,MEDIUM,0 days 00:01:26.176000,VER
0 days 01:31:00.729000,2023,Monza,R,5793,53,43.4,29.7,MEDIUM,0 days 00:01:26.837000,VER
0 days 01:32:27.097000,2023,Monza,R,5793,53,43.6,29.7,MEDIUM,0 days 00:01:26.368000,VER
0 days 01:33:53.087000,2023,Monza,R,5793,53,43.6,29.7,MEDIUM,0 days 00:01:25.990000,VER
0 days 01:35:19.692000,2023,Monza,R,5793,53,43.9,29.8,MEDIUM,0 days 00:01:26.605000,VER
0 days 01:36:46.295000,2023,Monza,R,5793,53,43.9,29.9,MEDIUM,0 days 00:01:26.603000,VER
0 days 01:38:12.938000,2023,Monza,R,5793,53,43.3,29.9,MEDIUM,0 days 00:01:26.643000,VER
0 days 01:39:39.380000,2023,Monza,R,5793,53,43.1,29.8,MEDIUM,0 days 00:01:26.442000,VER
0 days 01:41:06.046000,2023,Monza,R,5793,53,43.7,29.9,MEDIUM,0 days 00:01:26.666000,VER
0 days 01:42:33.074000,2023,Monza,R,5793,53,43.7,30.0,MEDIUM,0 days 00:01:27.028000,VER
0 days 01:43:59.856000,2023,Monza,R,5793,53,43.5,30.0,MEDIUM,0 days 00:01:26.782000,VER
0 days 01:45:26.574000,2023,Monza,R,5793,53,43.7,29.9,MEDIUM,0 days 00:01:26.718000,VER
0 days 01:46:53.307000,2023,Monza,R,5793,53,43.5,29.8,MEDIUM,0 days 00:01:26.733000,VER
0 days 01:48:19.580000,2023,Monza,R,5793,53,43.6,29.8,MEDIUM,0 days 00:01:26.273000,VER
0 days 01:49:46.018000,2023,Monza,R,5793,53,44.3,29.9,MEDIUM,0 days 00:01:26.438000,VER
0 days 01:51:16.867000,2023,Monza,R,5793,53,44.3,30.0,MEDIUM,0 days 00:01:30.849000,VER
0 days 01:53:02.527000,2023,Monza,R,5793,53,44.0,30.0,HARD,0 days 00:01:45.660000,VER
0 days 01:54:28.412000,2023,Monza,R,5793,53,43.7,29.9,HARD,0 days 00:01:25.885000,VER
0 days 01:55:54.571000,2023,Monza,R,5793,53,43.6,29.9,HARD,0 days 00:01:26.159000,VER
0 days 01:57:20.898000,2023,Monza,R,5793,53,43.5,29.9,HARD,0 days 00:01:26.327000,VER
0 days 01:58:46.812000,2023,Monza,R,5793,53,43.6,29.8,HARD,0 days 00:01:25.914000,VER
0 days 02:00:12.598000,2023,Monza,R,5793,53,43.4,29.9,HARD,0 days 00:01:25.786000,VER
0 days 02:01:38.099000,2023,Monza,R,5793,53,43.0,29.9,HARD,0 days 00:01:25.501000,VER
0 days 02:03:03.533000,2023,Monza,R,5793,53,43.3,29.9,HARD,0 days 00:01:25.434000,VER
0 days 02:04:29.004000,2023,Monza,R,5793,53,42.5,29.7,HARD,0 days 00:01:25.471000,VER
0 days 02:05:54.402000,2023,Monza,R,5793,53,42.5,29.7,HARD,0 days 00:01:25.398000,VER
0 days 02:07:19.904000,2023,Monza,R,5793,53,42.6,29.8,HARD,0 days 00:01:25.502000,VER
0 days 02:08:45.314000,2023,Monza,R,5793,53,42.6,29.9,HARD,0 days 00:01:25.410000,VER
0 days 02:10:10.554000,2023,Monza,R,5793,53,42.5,29.8,HARD,0 days 00:01:25.240000,VER
0 days 02:11:36.237000,2023,Monza,R,5793,53,42.6,29.8,HARD,0 days 00:01:25.683000,VER
0 days 02:13:02.052000,2023,Monza,R,5793,53,42.6,29.8,HARD,0 days 00:01:25.815000,VER
0 days 02:14:27.650000,2023,Monza,R,5793,53,42.5,30.0,HARD,0 days 00:01:25.598000,VER
0 days 02:15:53.333000,2023,Monza,R,5793,53,42.5,30.1,HARD,0 days 00:01:25.683000,VER
0 days 02:17:18.918000,2023,Monza,R,5793,53,42.8,30.0,HARD,0 days 00:01:25.585000,VER
0 days 02:18:44.404000,2023,Monza,R,5793,53,42.6,30.0,HARD,0 days 00:01:25.486000,VER
0 days 02:20:10.305000,2023,Monza,R,5793,53,42.9,30.1,HARD,0 days 00:01:25.901000,VER
0 days 02:21:36.084000,2023,Monza,R,5793,53,42.9,30.2,HARD,0 days 00:01:25.779000,VER
0 days 02:23:01.996000,2023,Monza,R,5793,53,42.5,30.3,HARD,0 days 00:01:25.912000,VER
0 days 02:24:27.990000,2023,Monza,R,5793,53,42.5,30.1,HARD,0 days 00:01:25.994000,VER
0 days 02:25:53.741000,2023,Monza,R,5793,53,41.7,30.0,HARD,0 days 00:01:25.751000,VER
0 days 02:27:19.657000,2023,Monza,R,5793,53,41.6,30.0,HARD,0 days 00:01:25.916000,VER
0 days 02:28:45.842000,2023,Monza,R,5793,53,41.8,30.0,HARD,0 days 00:01:26.185000,VER
0 days 02:30:11.979000,2023,Monza,R,5793,53,41.2,30.1,HARD,0 days 00:01:26.137000,VER
0 days 02:31:39.214000,2023,Monza,R,5793,53,41.2,30.0,HARD,0 days 00:01:27.235000,VER
0 days 02:33:07.121000,2023,Monza,R,5793,53,40.8,30.0,HARD,0 days 00:01:27.907000,VER
0 days 02:34:35.514000,2023,Monza,R,5793,53,40.8,30.0,HARD,0 days 00:01:28.393000,VER
0 days 02:36:03.039000,2023,Monza,R,5793,53,40.8,30.0,HARD,0 days 00:01:27.525000,VER
0 days 02:39:24.909000,2023,Monza,R,5793,53,39.3,29.9,HARD,,VER
0 days 01:23:57.870000,2023,Monza,R,5793,53,42.5,29.2,MEDIUM,0 days 00:01:35.974000,GAS
0 days 01:25:26.566000,2023,Monza,R,5793,53,43.2,29.3,MEDIUM,0 days 00:01:28.696000,GAS
0 days 01:26:54.482000,2023,Monza,R,5793,53,43.2,29.4,MEDIUM,0 days 00:01:27.916000,GAS
0 days 01:28:21.954000,2023,Monza,R,5793,53,43.1,29.5,MEDIUM,0 days 00:01:27.472000,GAS
0 days 01:29:49.648000,2023,Monza,R,5793,53,43.3,29.5,MEDIUM,0 days 00:01:27.694000,GAS
0 days 01:31:16.972000,2023,Monza,R,5793,53,43.6,29.6,MEDIUM,0 days 00:01:27.324000,GAS
0 days 01:32:44.182000,2023,Monza,R,5793,53,43.6,29.7,MEDIUM,0 days 00:01:27.210000,GAS
0 days 01:34:11.422000,2023,Monza,R,5793,53,44.1,29.8,MEDIUM,0 days 00:01:27.240000,GAS
0 days 01:35:38.788000,2023,Monza,R,5793,53,43.9,29.8,MEDIUM,0 days 00:01:27.366000,GAS
