Timestamp,Driver,Scuderia,Track_Temperature,Speed,Anno,Circuito,Giri_Totali,Lunghezza_Circuito,Posizione,Giro_in_Corso,Distanza_dal_precedente,Distanza_dal_successivo,Metri_Percorsi,Percentuale_Completamento_Giro,Tempo_Trascorso_Dal_Giro,Temperatura_Esterna,Pioggia,Tipo_Gomma
0 days 00:00:00,HAM,Mercedes,47.4,0,2023,Monaco,78,3337,5.0,1.0,0.0,0.0,0.0,0.0,00:00,25.8,0,INTERMEDIATE
0 days 00:00:00.500000,HAM,Mercedes,47.4,0,2023,Monaco,78,3337,5.0,1.0,-0.4666666666666666,0.4666666666666666,0.0,0.0,00:00,25.8,0,MEDIUM
0 days 00:00:01,HAM,Mercedes,47.4,12,2023,Monaco,78,3337,5.0,1.0,-0.5333333333333333,0.4666666666666667,0.7999999999999999,0.023973629008091097,00:00,25.8,0,MEDIUM
0 days 00:00:01.500000,HAM,Mercedes,47.4,30,2023,Monaco,78,3337,5.0,1.0,-0.655555555555555,0.3888888888888884,5.0,0.1498351813005694,00:00,25.8,0,MEDIUM
0 days 00:00:02,HAM,Mercedes,47.4,50,2023,Monaco,78,3337,5.0,1.0,-0.8666666666666636,0.06666666666666465,12.088888888888889,0.36226817167782105,00:00,25.8,0,MEDIUM
0 days 00:00:02.500000,HAM,Mercedes,47.4,67,2023,Monaco,78,3337,5.0,1.0,-0.8222222222222193,-0.24444444444444713,20.244444444444444,0.6066660007325275,00:00,25.8,0,MEDIUM
0 days 00:00:03,HAM,Mercedes,47.4,78,2023,Monaco,78,3337,5.0,1.0,-0.9330555555555549,-0.35527777777777914,28.889444444444443,0.8657310292012119,00:00,25.8,0,MEDIUM
0 days 00:00:03.500000,HAM,Mercedes,47.4,101,2023,Monaco,78,3337,5.0,1.0,-0.7775000000000034,-1.1330555555555577,44.05611111111111,1.3202310791462724,00:00,25.8,0,MEDIUM
0 days 00:00:04,HAM,Mercedes,47.4,128,2023,Monaco,78,3337,5.0,1.0,-0.5997222222222263,-1.677500000000002,62.34500000000001,1.8682948756368,00:00,25.8,0,MEDIUM
0 days 00:00:04.500000,HAM,Mercedes,47.4,144,2023,Monaco,78,3337,5.0,1.0,-0.621944444444452,-2.1441666666666634,82.83388888888888,2.4822861518995767,00:00,25.8,0,MEDIUM
0 days 00:00:05,HAM,Mercedes,47.4,164,2023,Monaco,78,3337,5.0,1.0,-0.688611111111129,-2.166388888888875,102.48944444444444,3.0713048979455935,00:00,25.8,0,MEDIUM
0 days 00:00:05.500000,HAM,Mercedes,47.4,170,2023,Monaco,78,3337,5.0,1.0,-1.4772222222222524,-0.7772222222222069,127.35999999999999,3.8166017380881025,00:00,25.8,0,MEDIUM
0 days 00:00:06,HAM,Mercedes,47.4,173,2023,Monaco,78,3337,5.0,1.0,-2.188333333333361,-0.15500000000000114,146.58222222222219,4.392634768421402,00:00,25.8,0,MEDIUM
0 days 00:00:06.500000,HAM,Mercedes,47.4,156,2023,Monaco,78,3337,5.0,1.0,0.13388888888889028,-0.655000000000058,176.11555555555557,5.277661239303433,00:00,25.8,0,MEDIUM
0 days 00:00:07,HAM,Mercedes,47.4,127,2023,Monaco,78,3337,5.0,1.0,0.04499999999995907,-0.2772222222222638,196.60444444444443,5.89165251556621,00:00,25.8,0,MEDIUM
