DriverID,#Driver,Team,Year,GranPrix,#Location,LapNumber,position,PitInTime,PitOutTime,Stint,TireLife,#TireMeters,Compound,IsFreshTire,#DriverMeters,LapTime,Best,air_temp_avg,humidity_avg,trackTemp_AVG,pressure_avg,wind_speed_avg,wind_direction_avg,NormalizedTireMeters,NormalizedDriverMeters
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,1.0,4.0,1,1,1.0,1.0,6201,2,1,6201,110.543,0,9.0,23.5,9.15,470.0,1.25,122.5,0.019865067466266866,0.02
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,2.0,4.0,1,1,1.0,2.0,12402,2,1,12402,131.689,1,9.0,23.5,9.15,470.0,1.1,112.5,0.03973013493253373,0.04
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,3.0,4.0,1,1,1.0,3.0,18603,2,1,18603,110.381,1,9.0,23.5,9.15,470.0,1.1,104.5,0.0595952023988006,0.06
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,4.0,4.0,1,1,1.0,4.0,24804,2,1,24804,,0,6.033333333333334,15.666666666666666,6.1000000000000005,313.3333333333333,1.0666666666666667,69.0,0.07946026986506746,0.08
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,5.0,4.0,1,1,1.0,5.0,31005,2,1,31005,,0,6.0,15.666666666666666,6.066666666666666,313.3333333333333,0.7333333333333334,73.0,0.09932533733133433,0.1
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,6.0,4.0,1,1,1.0,6.0,37206,2,1,37206,,0,6.0,15.666666666666666,6.033333333333334,313.3,0.7333333333333334,73.33333333333333,0.1191904047976012,0.12
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,7.0,4.0,1,1,1.0,7.0,43407,2,1,43407,102.346,1,9.0,23.5,9.1,470.0,1.7,113.5,0.13905547226386808,0.14
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,8.0,4.0,1,1,1.0,8.0,49608,2,1,49608,100.56,1,18.1,47.0,18.1,939.9,2.7,206.0,0.15892053973013492,0.16
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,9.0,4.0,1,1,1.0,9.0,55809,2,1,55809,99.677,1,9.05,23.5,9.05,469.95,1.35,108.0,0.1787856071964018,0.18
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,10.0,4.0,1,1,1.0,10.0,62010,2,1,62010,99.005,1,9.05,24.0,8.95,470.0,1.35,117.0,0.19865067466266867,0.2
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,11.0,4.0,1,1,1.0,11.0,68211,2,1,68211,99.446,0,18.1,48.0,17.8,939.9,3.2,244.0,0.21851574212893554,0.22
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,12.0,4.0,1,1,1.0,12.0,74412,2,1,74412,99.088,0,9.05,24.0,8.9,469.95,1.0,95.0,0.2383808095952024,0.24
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,13.0,4.0,1,1,1.0,13.0,80613,2,1,80613,99.41,0,9.1,24.0,8.95,469.95,0.85,127.5,0.2582458770614693,0.26
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,14.0,4.0,1,1,1.0,14.0,86814,2,1,86814,99.776,0,18.2,48.0,17.9,939.9,2.7,232.0,0.27811094452773616,0.28
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,15.0,3.0,1,1,1.0,15.0,93015,2,1,93015,100.333,0,9.1,24.0,8.95,469.95,1.1,127.5,0.297976011994003,0.3
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,16.0,3.0,1,1,1.0,16.0,99216,2,1,99216,100.814,0,9.05,24.0,8.95,469.95,1.0,121.0,0.31784107946026985,0.32
10,GAS,Alpine,2023,Las Vegas Grand Prix,Las Vegas,17.0,4.0,1,1,1.0,17.0,105417,2,1,105417,105.772,0,18.2,48.0,17.9,939.9,2.2,239.0,0.3377061469265367,0.34
