DriverID,#Driver,Team,Year,GranPrix,#Location,LapNumber,position,PitInTime,PitOutTime,Stint,TireLife,#TireMeters,Compound,IsFreshTire,#DriverMeters,LapTime,Best,air_temp_avg,humidity_avg,trackTemp_AVG,pressure_avg,wind_speed_avg,wind_direction_avg,NormalizedTireMeters,NormalizedDriverMeters
14,ALO,Aston Martin,2023,Abu Dhabi Grand Prix,Yas Island,1.0,7.0,1,1,1.0,1.0,5281,2,1,5281,96.044,0,27.1,49.0,33.6,1014.7,2.0,345.0,0.016917823139712195,0.017032736655378165
14,ALO,Aston Martin,2023,Abu Dhabi Grand Prix,Yas Island,2.0,7.0,1,1,1.0,2.0,10562,2,1,10562,91.755,1,13.5,25.5,16.7,507.45,0.85,179.5,0.03383564627942439,0.03406547331075633
14,ALO,Aston Martin,2023,Abu Dhabi Grand Prix,Yas Island,3.0,7.0,1,1,1.0,3.0,15843,2,1,15843,90.823,1,27.1,49.0,33.7,1014.9,1.7,344.0,0.05075346941913659,0.0510982099661345
14,ALO,Aston Martin,2023,Abu Dhabi Grand Prix,Yas Island,4.0,7.0,1,1,1.0,4.0,21124,2,1,21124,90.66,1,13.5,25.0,16.6,507.45,0.9,131.0,0.06767129255884878,0.06813094662151266
14,ALO,Aston Martin,2023,Abu Dhabi Grand Prix,Yas Island,5.0,7.0,1,1,1.0,5.0,26405,2,1,26405,90.773,0,27.0,50.0,33.1,1014.7,2.4,273.0,0.08458911569856098,0.08516368327689082
14,ALO,Aston Martin,2023,Abu Dhabi Grand Prix,Yas Island,6.0,7.0,1,1,1.0,6.0,31686,2,1,31686,90.803,0,13.5,25.0,16.5,507.45,0.85,132.0,0.10150693883827318,0.102196419932269
14,ALO,Aston Martin,2023,Abu Dhabi Grand Prix,Yas Island,7.0,7.0,1,1,1.0,7.0,36967,2,1,36967,90.782,0,13.5,25.0,16.55,507.5,1.0,144.5,0.11842476197798536,0.11922915658764716
14,ALO,Aston Martin,2023,Abu Dhabi Grand Prix,Yas Island,8.0,7.0,1,1,1.0,8.0,42248,2,1,42248,91.109,0,26.9,51.0,33.0,1014.9,2.0,242.0,0.13534258511769756,0.13626189324302532
14,ALO,Aston Martin,2023,Abu Dhabi Grand Prix,Yas Island,9.0,7.0,1,1,1.0,9.0,47529,2,1,47529,90.915,0,13.45,25.5,16.35,507.45,1.0,128.0,0.15226040825740975,0.15329462989840348
14,ALO,Aston Martin,2023,Abu Dhabi Grand Prix,Yas Island,10.0,7.0,1,1,1.0,10.0,52810,2,1,52810,91.18,0,26.9,52.0,32.7,1014.9,1.7,250.0,0.16917823139712196,0.17032736655378164
