DriverID,#Driver,Team,Year,GranPrix,#Location,LapNumber,position,PitInTime,PitOutTime,Stint,TireLife,#TireMeters,Compound,IsFreshTire,#DriverMeters,LapTime,Best,air_temp_avg,humidity_avg,trackTemp_AVG,pressure_avg,wind_speed_avg,wind_direction_avg,NormalizedTireMeters,NormalizedDriverMeters
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,1.0,1.0,1,1,1.0,1.0,6174,2,1,6174,96.851,0,13.0,28.0,15.85,505.5,1.0,167.5,0.01977857225233537,0.019912917271407836
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,2.0,1.0,1,1,1.0,2.0,12348,2,1,12348,95.567,1,12.95,28.0,15.95,505.5,0.85,0.0,0.03955714450467074,0.03982583454281567
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,3.0,1.0,1,1,1.0,3.0,18522,2,1,18522,95.14,1,26.0,55.0,32.2,1011.0,1.1,352.0,0.059335716757006114,0.059738751814223515
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,4.0,2.0,1,1,1.0,4.0,24696,2,1,24696,96.664,0,13.05,27.5,15.75,505.5,0.8,155.0,0.07911428900934148,0.07965166908563134
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,5.0,2.0,1,1,1.0,5.0,30870,2,1,30870,94.92,1,26.2,55.0,31.6,1011.0,1.7,292.0,0.09889286126167686,0.09956458635703919
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,6.0,2.0,1,1,1.0,6.0,37044,2,1,37044,94.658,1,13.15,27.5,15.75,505.5,0.75,144.5,0.11867143351401223,0.11947750362844703
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,7.0,2.0,1,1,1.0,7.0,43218,2,1,43218,94.422,1,26.4,55.0,31.6,1011.0,1.3,326.0,0.13845000576634758,0.13939042089985487
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,8.0,2.0,1,1,1.0,8.0,49392,2,1,49392,94.398,1,13.2,27.5,15.85,505.5,0.6,4.5,0.15822857801868295,0.1593033381712627
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,9.0,2.0,1,1,1.0,9.0,55566,2,1,55566,94.4,0,13.2,28.0,15.8,505.5,0.6,80.0,0.17800715027101835,0.17921625544267053
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,10.0,2.0,1,1,1.0,10.0,61740,2,1,61740,94.835,0,26.4,55.0,31.4,1011.0,1.2,305.0,0.19778572252335372,0.19912917271407837
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,11.0,2.0,1,1,1.0,11.0,67914,2,1,67914,94.982,0,13.15,28.0,15.65,505.5,0.55,137.0,0.2175642947756891,0.21904208998548622
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,12.0,2.0,1,1,1.0,12.0,74088,2,1,74088,94.927,0,26.3,56.0,31.7,1011.0,1.1,311.0,0.23734286702802446,0.23895500725689406
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,13.0,2.0,1,1,1.0,13.0,80262,2,1,80262,94.918,0,13.15,28.0,15.7,505.6,0.5,54.0,0.2571214392803598,0.2588679245283019
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,14.0,2.0,1,1,1.0,14.0,86436,2,1,86436,94.837,0,13.15,28.0,15.7,505.6,0.4,154.0,0.27690001153269517,0.27878084179970974
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,15.0,2.0,1,1,1.0,15.0,92610,2,1,92610,94.717,0,26.3,56.0,31.3,1011.0,0.8,133.0,0.29667858378503054,0.29869375907111756
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,16.0,2.0,1,1,1.0,16.0,98784,2,1,98784,94.842,0,13.1,28.0,15.7,505.5,0.85,147.0,0.3164571560373659,0.3186066763425254
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,17.0,2.0,1,1,1.0,17.0,104958,2,1,104958,94.595,0,26.2,56.0,31.5,1011.0,1.6,292.0,0.33623572828970133,0.33851959361393325
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,18.0,2.0,1,1,1.0,18.0,111132,2,1,111132,129.623,0,13.1,28.5,15.75,505.5,0.65,163.5,0.3560143005420367,0.35843251088534106
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,19.0,2.0,1,1,2.0,2.0,12348,3,0,117306,,0,6.525,14.5,7.775,252.75,0.3,77.75,0.03955714450467074,0.37834542815674893
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,20.0,2.0,1,1,2.0,3.0,18522,3,0,123480,,0,13.0,29.0,15.55,505.5,0.6,154.0,0.059335716757006114,0.39825834542815675
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,21.0,2.0,1,1,2.0,4.0,24696,3,0,129654,96.033,0,13.0,29.0,15.55,505.5,0.75,150.0,0.07911428900934148,0.41817126269956456
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,22.0,2.0,1,1,2.0,5.0,30870,3,0,135828,94.738,0,26.0,57.0,30.9,1011.0,1.3,293.0,0.09889286126167686,0.43808417997097243
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,23.0,2.0,1,1,2.0,6.0,37044,3,0,142002,94.771,0,13.0,28.5,15.5,505.5,0.9,147.5,0.11867143351401223,0.45799709724238025
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,24.0,2.0,1,1,2.0,7.0,43218,3,0,148176,94.836,0,26.1,57.0,31.0,1011.2,1.3,307.0,0.13845000576634758,0.4779100145137881
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,25.0,3.0,1,1,2.0,8.0,49392,3,0,154350,94.136,1,13.05,27.5,15.5,505.5,0.65,135.5,0.15822857801868295,0.49782293178519593
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,26.0,3.0,1,1,2.0,9.0,55566,3,0,160524,94.119,1,13.1,27.5,15.5,505.5,1.0,0.0,0.17800715027101835,0.5177358490566037
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,27.0,3.0,1,1,2.0,10.0,61740,3,0,166698,94.246,0,26.2,55.0,30.9,1011.0,1.2,135.0,0.19778572252335372,0.5376487663280116
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,28.0,3.0,1,1,2.0,11.0,67914,3,0,172872,94.062,1,13.1,27.5,15.4,505.5,0.5,144.5,0.2175642947756891,0.5575616835994195
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,29.0,3.0,1,1,2.0,12.0,74088,3,0,179046,93.988,1,26.3,55.0,31.1,1011.0,1.2,85.0,0.23734286702802446,0.5774746008708272
14,ALO,Aston Martin,2023,Saudi Arabian Grand Prix,Jeddah,30.0,3.0,1,1,2.0,13.0,80262,3,0,185220,93.654,1,13.15,27.5,15.45,505.5,0.4,58.0,0.2571214392803598,0.5973875181422351
