Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
16,1.0,1.0,4.0,17272,SOFT,False,0 days 00:01:11.551000
16,2.0,1.0,5.0,21590,SOFT,False,0 days 00:01:09.282000
16,3.0,1.0,6.0,25908,SOFT,False,0 days 00:01:09.407000
16,4.0,1.0,7.0,30226,SOFT,False,0 days 00:01:09.318000
16,5.0,1.0,8.0,34544,SOFT,False,0 days 00:01:09.540000
16,6.0,1.0,9.0,38862,SOFT,False,0 days 00:01:09.406000
16,7.0,1.0,10.0,43180,SOFT,False,0 days 00:01:09.526000
16,8.0,1.0,11.0,47498,SOFT,False,0 days 00:01:09.693000
16,9.0,1.0,12.0,51816,SOFT,False,0 days 00:01:09.438000
16,10.0,1.0,13.0,56134,SOFT,False,0 days 00:01:09.492000
16,11.0,1.0,14.0,60452,SOFT,False,0 days 00:01:09.754000
16,12.0,1.0,15.0,64770,SOFT,False,0 days 00:01:09.621000
16,13.0,1.0,16.0,69088,SOFT,False,0 days 00:01:09.771000
16,14.0,1.0,17.0,73406,SOFT,False,0 days 00:01:09.616000
16,15.0,1.0,18.0,77724,SOFT,False,0 days 00:01:09.786000
16,16.0,1.0,19.0,82042,SOFT,False,0 days 00:01:09.528000
16,17.0,1.0,20.0,86360,SOFT,False,0 days 00:01:09.445000
16,18.0,1.0,21.0,90678,SOFT,False,0 days 00:01:09.227000
16,19.0,1.0,22.0,94996,SOFT,False,0 days 00:01:09.418000
16,20.0,1.0,23.0,99314,SOFT,False,0 days 00:01:09.553000
16,21.0,1.0,24.0,103632,SOFT,False,0 days 00:01:09.614000
16,22.0,1.0,25.0,107950,SOFT,False,0 days 00:01:12.619000
16,23.0,2.0,1.0,4318,HARD,False,0 days 00:01:27.182000
16,24.0,2.0,2.0,8636,HARD,False,0 days 00:01:08.962000
16,25.0,2.0,3.0,12954,HARD,False,0 days 00:01:09.028000
16,26.0,2.0,4.0,17272,HARD,False,0 days 00:01:09.008000
16,27.0,2.0,5.0,21590,HARD,False,0 days 00:01:09.574000
16,28.0,2.0,6.0,25908,HARD,False,0 days 00:01:09.071000
16,29.0,2.0,7.0,30226,HARD,False,0 days 00:01:09.276000
16,30.0,2.0,8.0,34544,HARD,False,0 days 00:01:09.195000
16,31.0,2.0,9.0,38862,HARD,False,0 days 00:01:09.029000
16,32.0,2.0,10.0,43180,HARD,False,0 days 00:01:09.230000
16,33.0,2.0,11.0,47498,HARD,False,0 days 00:01:08.880000
16,34.0,2.0,12.0,51816,HARD,False,0 days 00:01:08.820000
16,35.0,2.0,13.0,56134,HARD,False,0 days 00:01:08.344000
16,36.0,2.0,14.0,60452,HARD,False,0 days 00:01:08.634000
16,37.0,2.0,15.0,64770,HARD,False,0 days 00:01:08.962000
16,38.0,2.0,16.0,69088,HARD,False,0 days 00:01:09.280000
16,39.0,2.0,17.0,73406,HARD,False,0 days 00:01:09.098000
16,40.0,2.0,18.0,77724,HARD,False,0 days 00:01:08.824000
16,41.0,2.0,19.0,82042,HARD,False,0 days 00:01:08.743000
16,42.0,2.0,20.0,86360,HARD,False,0 days 00:01:08.942000
16,43.0,2.0,21.0,90678,HARD,False,0 days 00:01:09.179000
16,44.0,2.0,22.0,94996,HARD,False,0 days 00:01:08.750000
16,45.0,2.0,23.0,99314,HARD,False,0 days 00:01:09.546000
16,46.0,2.0,24.0,103632,HARD,False,0 days 00:01:08.749000
16,47.0,2.0,25.0,107950,HARD,False,0 days 00:01:08.921000
16,48.0,2.0,26.0,112268,HARD,False,0 days 00:01:08.846000
16,49.0,2.0,27.0,116586,HARD,False,0 days 00:01:08.709000
16,50.0,2.0,28.0,120904,HARD,False,0 days 00:01:08.869000
16,51.0,2.0,29.0,125222,HARD,False,0 days 00:01:08.983000
16,52.0,2.0,30.0,129540,HARD,False,0 days 00:01:08.513000
16,53.0,2.0,31.0,133858,HARD,False,0 days 00:01:08.895000
16,54.0,2.0,32.0,138176,HARD,False,0 days 00:01:08.426000
16,55.0,2.0,33.0,142494,HARD,False,0 days 00:01:08.530000
16,56.0,2.0,34.0,146812,HARD,False,0 days 00:01:08.704000
16,57.0,2.0,35.0,151130,HARD,False,0 days 00:01:08.225000
16,58.0,2.0,36.0,155448,HARD,False,0 days 00:01:07.994000
16,59.0,2.0,37.0,159766,HARD,False,0 days 00:01:08.122000
16,60.0,2.0,38.0,164084,HARD,False,0 days 00:01:08.010000
16,61.0,2.0,39.0,168402,HARD,False,0 days 00:01:08.136000
16,62.0,2.0,40.0,172720,HARD,False,0 days 00:01:08.589000
16,63.0,2.0,41.0,177038,HARD,False,0 days 00:01:08.063000
16,64.0,2.0,42.0,181356,HARD,False,0 days 00:01:08.531000
16,65.0,2.0,43.0,185674,HARD,False,0 days 00:01:08.482000
16,66.0,2.0,44.0,189992,HARD,False,0 days 00:01:08.408000
16,67.0,2.0,45.0,194310,HARD,False,0 days 00:01:09.005000
16,68.0,2.0,46.0,198628,HARD,False,0 days 00:01:09.213000
16,69.0,2.0,47.0,202946,HARD,False,0 days 00:01:09.859000
16,70.0,2.0,48.0,207264,HARD,False,0 days 00:01:08.455000
16,71.0,2.0,49.0,211582,HARD,False,0 days 00:01:09.147000
