Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
16,1.0,,,0,nan,True,0 days 00:02:40.388000
16,2.0,1.0,1.0,6003,SUPERSOFT,True,
16,3.0,1.0,2.0,12006,SUPERSOFT,True,
16,4.0,1.0,3.0,18009,SUPERSOFT,True,
16,5.0,1.0,4.0,24012,SUPERSOFT,True,
16,6.0,1.0,5.0,30015,SUPERSOFT,True,0 days 00:01:58.924000
16,7.0,1.0,6.0,36018,SUPERSOFT,True,0 days 00:01:52.532000
16,8.0,1.0,7.0,42021,SUPERSOFT,True,0 days 00:01:51.255000
16,9.0,1.0,8.0,48024,SUPERSOFT,True,0 days 00:01:49.719000
16,10.0,1.0,9.0,54027,SUPERSOFT,True,0 days 00:01:49.191000
16,11.0,1.0,10.0,60030,SUPERSOFT,True,0 days 00:01:49.538000
16,12.0,1.0,11.0,66033,SUPERSOFT,True,0 days 00:01:50.193000
16,13.0,1.0,12.0,72036,SUPERSOFT,True,0 days 00:01:49.369000
16,14.0,1.0,13.0,78039,SUPERSOFT,True,0 days 00:01:48.443000
16,15.0,1.0,14.0,84042,SUPERSOFT,True,0 days 00:01:49.027000
16,16.0,1.0,15.0,90045,SUPERSOFT,True,0 days 00:01:48.667000
16,17.0,1.0,16.0,96048,SUPERSOFT,True,0 days 00:01:49.798000
16,18.0,1.0,17.0,102051,SUPERSOFT,True,0 days 00:01:48.727000
16,19.0,1.0,18.0,108054,SUPERSOFT,True,0 days 00:01:48.288000
16,20.0,1.0,19.0,114057,SUPERSOFT,True,0 days 00:01:47.956000
16,21.0,1.0,20.0,120060,SUPERSOFT,True,0 days 00:01:48.211000
16,22.0,1.0,21.0,126063,SUPERSOFT,True,0 days 00:01:48.392000
16,23.0,1.0,22.0,132066,SUPERSOFT,True,0 days 00:01:48.041000
16,24.0,1.0,23.0,138069,SUPERSOFT,True,0 days 00:01:52.685000
16,25.0,2.0,1.0,6003,SOFT,True,0 days 00:02:05.091000
16,26.0,2.0,2.0,12006,SOFT,True,0 days 00:01:47.749000
16,27.0,2.0,3.0,18009,SOFT,True,0 days 00:01:47.629000
16,28.0,2.0,4.0,24012,SOFT,True,0 days 00:01:47.814000
16,29.0,2.0,5.0,30015,SOFT,True,0 days 00:01:47.419000
16,30.0,2.0,6.0,36018,SOFT,True,0 days 00:01:47.655000
16,31.0,2.0,7.0,42021,SOFT,True,0 days 00:01:47.403000
16,32.0,2.0,8.0,48024,SOFT,True,0 days 00:01:48.694000
16,33.0,2.0,9.0,54027,SOFT,True,0 days 00:01:47.737000
16,34.0,2.0,10.0,60030,SOFT,True,0 days 00:01:47.857000
16,35.0,2.0,11.0,66033,SOFT,True,0 days 00:01:47.530000
16,36.0,2.0,12.0,72036,SOFT,True,0 days 00:01:47.645000
16,37.0,2.0,13.0,78039,SOFT,True,0 days 00:01:47.920000
16,38.0,2.0,14.0,84042,SOFT,True,0 days 00:01:47.533000
16,39.0,2.0,15.0,90045,SOFT,True,0 days 00:01:47.574000
16,40.0,2.0,16.0,96048,SOFT,True,0 days 00:02:26.860000
16,41.0,3.0,1.0,6003,ULTRASOFT,True,
16,42.0,3.0,2.0,12006,ULTRASOFT,True,0 days 00:02:02.689000
16,43.0,3.0,3.0,18009,ULTRASOFT,True,
16,44.0,3.0,4.0,24012,ULTRASOFT,True,
16,45.0,3.0,5.0,30015,ULTRASOFT,True,
16,46.0,3.0,6.0,36018,ULTRASOFT,True,
16,47.0,3.0,7.0,42021,ULTRASOFT,True,
16,48.0,3.0,8.0,48024,ULTRASOFT,True,0 days 00:01:51.089000
16,49.0,3.0,9.0,54027,ULTRASOFT,True,0 days 00:01:49.087000
16,50.0,3.0,10.0,60030,ULTRASOFT,True,0 days 00:01:48.004000
16,51.0,3.0,11.0,66033,ULTRASOFT,True,0 days 00:01:47.632000
