Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
16,1.0,1.0,4.0,18628,SOFT,False,0 days 00:01:31.214000
16,2.0,1.0,5.0,23285,SOFT,False,0 days 00:01:24.378000
16,3.0,1.0,6.0,27942,SOFT,False,0 days 00:01:23.549000
16,4.0,1.0,7.0,32599,SOFT,False,0 days 00:01:23.153000
16,5.0,1.0,8.0,37256,SOFT,False,0 days 00:01:23.277000
16,6.0,1.0,9.0,41913,SOFT,False,0 days 00:01:22.933000
16,7.0,1.0,10.0,46570,SOFT,False,0 days 00:01:22.792000
16,8.0,1.0,11.0,51227,SOFT,False,0 days 00:01:23.078000
16,9.0,1.0,12.0,55884,SOFT,False,0 days 00:01:22.749000
16,10.0,1.0,13.0,60541,SOFT,False,0 days 00:01:23.165000
16,11.0,1.0,14.0,65198,SOFT,False,0 days 00:01:23.053000
16,12.0,1.0,15.0,69855,SOFT,False,0 days 00:01:22.188000
16,13.0,1.0,16.0,74512,SOFT,False,0 days 00:01:22.808000
16,14.0,1.0,17.0,79169,SOFT,False,0 days 00:01:22.925000
16,15.0,1.0,18.0,83826,SOFT,False,0 days 00:01:22.869000
16,16.0,1.0,19.0,88483,SOFT,False,0 days 00:01:23.008000
16,17.0,1.0,20.0,93140,SOFT,False,0 days 00:01:22.606000
16,18.0,1.0,21.0,97797,SOFT,False,0 days 00:01:22.572000
16,19.0,1.0,22.0,102454,SOFT,False,0 days 00:01:22.662000
16,20.0,1.0,23.0,107111,SOFT,False,0 days 00:01:22.873000
16,21.0,1.0,24.0,111768,SOFT,False,0 days 00:01:23
16,22.0,1.0,25.0,116425,SOFT,False,0 days 00:01:23.553000
16,23.0,1.0,26.0,121082,SOFT,False,0 days 00:01:23.641000
16,24.0,1.0,27.0,125739,SOFT,False,0 days 00:01:24.412000
16,25.0,1.0,28.0,130396,SOFT,False,0 days 00:01:26.802000
16,26.0,2.0,1.0,4657,HARD,True,0 days 00:01:43.607000
16,27.0,2.0,2.0,9314,HARD,True,0 days 00:01:21.433000
16,28.0,2.0,3.0,13971,HARD,True,0 days 00:01:23.054000
16,29.0,2.0,4.0,18628,HARD,True,0 days 00:01:22.228000
16,30.0,2.0,5.0,23285,HARD,True,0 days 00:01:21.644000
16,31.0,2.0,6.0,27942,HARD,True,0 days 00:01:22.150000
16,32.0,2.0,7.0,32599,HARD,True,0 days 00:01:21.770000
16,33.0,2.0,8.0,37256,HARD,True,0 days 00:01:22.549000
16,34.0,2.0,9.0,41913,HARD,True,0 days 00:01:21.906000
16,35.0,2.0,10.0,46570,HARD,True,0 days 00:01:21.955000
16,36.0,2.0,11.0,51227,HARD,True,0 days 00:01:24.372000
16,37.0,2.0,12.0,55884,HARD,True,0 days 00:01:22.340000
16,38.0,2.0,13.0,60541,HARD,True,0 days 00:01:22.161000
16,39.0,2.0,14.0,65198,HARD,True,0 days 00:01:22.297000
16,40.0,2.0,15.0,69855,HARD,True,0 days 00:01:22.304000
16,41.0,2.0,16.0,74512,HARD,True,0 days 00:01:23.006000
16,42.0,2.0,17.0,79169,HARD,True,0 days 00:01:22.143000
16,43.0,2.0,18.0,83826,HARD,True,0 days 00:01:22.173000
16,44.0,2.0,19.0,88483,HARD,True,0 days 00:01:22.567000
16,45.0,2.0,20.0,93140,HARD,True,0 days 00:01:23.099000
16,46.0,2.0,21.0,97797,HARD,True,0 days 00:01:52.276000
16,47.0,3.0,1.0,4657,MEDIUM,True,0 days 00:02:14.639000
16,48.0,3.0,2.0,9314,MEDIUM,True,0 days 00:01:54.064000
16,49.0,3.0,3.0,13971,MEDIUM,True,0 days 00:02:13.903000
16,50.0,3.0,4.0,18628,MEDIUM,True,0 days 00:02:11.378000
16,51.0,3.0,5.0,23285,MEDIUM,True,0 days 00:02:04.822000
16,52.0,3.0,6.0,27942,MEDIUM,True,0 days 00:02:06.460000
16,53.0,3.0,7.0,32599,MEDIUM,True,0 days 00:01:22.963000
16,54.0,3.0,8.0,37256,MEDIUM,True,0 days 00:01:20.914000
16,55.0,3.0,9.0,41913,MEDIUM,True,0 days 00:01:21.101000
16,56.0,3.0,10.0,46570,MEDIUM,True,0 days 00:01:20.127000
16,57.0,3.0,11.0,51227,MEDIUM,True,0 days 00:01:20.002000
16,58.0,3.0,12.0,55884,MEDIUM,True,0 days 00:01:20.135000
16,59.0,3.0,13.0,60541,MEDIUM,True,0 days 00:01:20.320000
16,60.0,3.0,14.0,65198,MEDIUM,True,0 days 00:01:20.165000
16,61.0,3.0,15.0,69855,MEDIUM,True,0 days 00:01:20.327000
16,62.0,3.0,16.0,74512,MEDIUM,True,0 days 00:01:20.467000
16,63.0,3.0,17.0,79169,MEDIUM,True,0 days 00:01:20.317000
16,64.0,3.0,18.0,83826,MEDIUM,True,0 days 00:01:20.433000
16,65.0,3.0,19.0,88483,MEDIUM,True,0 days 00:01:20.459000
16,66.0,3.0,20.0,93140,MEDIUM,True,0 days 00:01:20.514000
