DriverID,#Driver,Team,Year,GranPrix,#Location,LapNumber,position,PitInTime,PitOutTime,Stint,TireLife,#TireMeters,Compound,IsFreshTire,#DriverMeters,LapTime,Best,air_temp_avg,humidity_avg,trackTemp_AVG,pressure_avg,wind_speed_avg,wind_direction_avg,NormalizedTireMeters,NormalizedDriverMeters
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,1.0,8.0,1,1,1.0,4.0,17524,1,0,4381,92.82,0,28.9,45.0,45.5,981.7,1.0,7.0,0.05613859736798268,0.014129979035639412
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,2.0,8.0,1,1,1.0,5.0,21905,1,0,8762,86.376,1,14.45,22.5,22.3,490.85,0.4,87.0,0.07017324670997835,0.028259958071278825
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,3.0,8.0,1,1,1.0,6.0,26286,1,0,13143,86.471,0,29.0,46.0,45.2,981.7,1.1,316.0,0.08420789605197401,0.04238993710691824
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,4.0,8.0,1,1,1.0,7.0,30667,1,0,17524,86.069,1,28.8,48.0,46.8,981.7,1.7,321.0,0.09824254539396968,0.05651991614255765
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,5.0,8.0,1,1,1.0,8.0,35048,1,0,21905,85.926,1,14.5,23.0,23.3,490.85,0.35,91.0,0.11227719473596535,0.07064989517819706
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,6.0,8.0,1,1,1.0,9.0,39429,1,0,26286,85.838,1,28.9,46.0,46.7,981.6,1.3,313.0,0.12631184407796103,0.08477987421383648
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,7.0,7.0,1,1,1.0,10.0,43810,1,0,30667,84.814,1,14.45,23.0,23.75,490.8,0.8,97.5,0.1403464934199567,0.09890985324947589
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,8.0,7.0,1,1,1.0,11.0,48191,1,0,35048,84.4,1,28.9,47.0,47.3,981.7,1.6,164.0,0.15438114276195236,0.1130398322851153
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,9.0,7.0,1,1,1.0,12.0,52572,1,0,39429,84.601,0,14.4,23.5,23.25,490.8,1.15,80.5,0.16841579210394803,0.12716981132075472
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,10.0,7.0,1,1,1.0,13.0,56953,1,0,43810,84.929,0,28.9,48.0,46.2,981.5,1.5,232.0,0.1824504414459437,0.14129979035639412
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,11.0,7.0,1,1,1.0,14.0,61334,1,0,48191,84.764,0,28.9,47.0,45.0,981.5,1.3,21.0,0.19648509078793935,0.15542976939203354
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,12.0,7.0,1,1,1.0,15.0,65715,1,0,52572,84.813,0,14.5,23.5,21.7,490.8,0.7,24.0,0.21051974012993505,0.16955974842767296
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,13.0,7.0,1,1,1.0,16.0,70096,1,0,56953,85.366,0,28.9,48.0,42.9,981.5,0.7,291.0,0.2245543894719307,0.18368972746331236
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,14.0,8.0,1,1,1.0,17.0,74477,1,0,61334,88.097,0,14.4,24.0,22.05,490.8,0.9,151.5,0.23858903881392637,0.19781970649895178
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,15.0,16.0,1,1,2.0,2.0,8762,2,0,65715,104.868,0,28.9,48.0,43.0,981.5,1.4,330.0,0.02806929868399134,0.2119496855345912
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,16.0,15.0,1,1,2.0,3.0,13143,2,0,70096,84.322,1,14.45,24.0,22.2,490.8,0.35,92.5,0.042103948025987006,0.2260796645702306
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,17.0,14.0,1,1,2.0,4.0,17524,2,0,74477,85.634,0,28.9,48.0,44.4,981.6,0.7,185.0,0.05613859736798268,0.24020964360587002
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,18.0,13.0,1,1,2.0,5.0,21905,2,0,78858,85.007,0,14.5,23.5,22.55,490.7,0.55,90.0,0.07017324670997835,0.25433962264150944
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,19.0,13.0,1,1,2.0,6.0,26286,2,0,83239,85.119,0,29.3,47.0,44.5,981.5,1.2,222.0,0.08420789605197401,0.26846960167714884
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,20.0,13.0,1,1,2.0,7.0,30667,2,0,87620,84.747,0,14.65,23.0,22.05,490.75,0.55,176.0,0.09824254539396968,0.28259958071278823
18,STR,Aston Martin,2024,Hungarian Grand Prix,Budapest,21.0,13.0,1,1,2.0,8.0,35048,2,0,92001,85.063,0,29.2,46.0,43.6,981.5,1.1,43.0,0.11227719473596535,0.2967295597484277
