DriverID,Driver,Year,GranPrix,Location,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime,NormalizedTireMeters,NormalizedDriverMeters
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,1.0,1.0,1.0,5281,MEDIUM,True,5281,0 days 00:01:39.510000,0.016917823139712195,0.011216029088190568
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,2.0,1.0,2.0,10562,MEDIUM,True,10562,0 days 00:01:54.938000,0.03383564627942439,0.022432058176381137
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,3.0,1.0,3.0,15843,MEDIUM,True,15843,0 days 00:01:38.051000,0.05075346941913659,0.033648087264571705
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,4.0,1.0,4.0,21124,MEDIUM,True,21124,0 days 00:01:29.504000,0.06767129255884878,0.04486411635276227
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,5.0,1.0,5.0,26405,MEDIUM,True,26405,0 days 00:01:29.813000,0.08458911569856098,0.05608014544095284
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,6.0,1.0,6.0,31686,MEDIUM,True,31686,0 days 00:01:29.412000,0.10150693883827318,0.06729617452914341
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,7.0,1.0,7.0,36967,MEDIUM,True,36967,0 days 00:01:29.885000,0.11842476197798536,0.07851220361733398
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,8.0,1.0,8.0,42248,MEDIUM,True,42248,0 days 00:01:29.824000,0.13534258511769756,0.08972823270552455
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,9.0,1.0,9.0,47529,MEDIUM,True,47529,0 days 00:01:29.445000,0.15226040825740975,0.10094426179371511
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,10.0,1.0,10.0,52810,MEDIUM,True,52810,0 days 00:01:30.449000,0.16917823139712196,0.11216029088190568
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,11.0,1.0,11.0,58091,MEDIUM,True,58091,0 days 00:01:30.395000,0.18609605453683414,0.12337631997009625
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,12.0,1.0,12.0,63372,MEDIUM,True,63372,0 days 00:01:30.164000,0.20301387767654636,0.13459234905828682
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,13.0,1.0,13.0,68653,MEDIUM,True,68653,0 days 00:01:30.178000,0.21993170081625854,0.1458083781464774
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,14.0,1.0,14.0,73934,MEDIUM,True,73934,0 days 00:01:30.128000,0.23684952395597073,0.15702440723466796
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,15.0,1.0,15.0,79215,MEDIUM,True,79215,0 days 00:01:29.876000,0.25376734709568294,0.16824043632285854
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,16.0,1.0,16.0,84496,MEDIUM,True,84496,0 days 00:01:30.047000,0.2706851702353951,0.1794564654110491
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,17.0,1.0,17.0,89777,MEDIUM,True,89777,0 days 00:01:29.909000,0.2876029933751073,0.19067249449923968
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,18.0,1.0,18.0,95058,MEDIUM,True,95058,0 days 00:01:29.826000,0.3045208165148195,0.20188852358743023
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,19.0,1.0,19.0,100339,MEDIUM,True,100339,0 days 00:01:30.076000,0.32143863965453173,0.2131045526756208
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,20.0,1.0,20.0,105620,MEDIUM,True,105620,0 days 00:01:30.004000,0.3383564627942439,0.22432058176381137
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,21.0,1.0,21.0,110901,MEDIUM,True,110901,0 days 00:01:29.695000,0.3552742859339561,0.23553661085200195
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,22.0,1.0,22.0,116182,MEDIUM,True,116182,0 days 00:01:29.889000,0.3721921090736683,0.2467526399401925
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,23.0,1.0,23.0,121463,MEDIUM,True,121463,0 days 00:01:29.939000,0.38910993221338047,0.25796866902838306
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,24.0,1.0,24.0,126744,MEDIUM,True,126744,0 days 00:01:29.750000,0.4060277553530927,0.26918469811657364
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,25.0,1.0,25.0,132025,MEDIUM,True,132025,0 days 00:01:29.852000,0.4229455784928049,0.2804007272047642
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,26.0,1.0,26.0,137306,MEDIUM,True,137306,0 days 00:01:30.268000,0.4398634016325171,0.2916167562929548
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,27.0,1.0,27.0,142587,MEDIUM,True,142587,0 days 00:01:29.897000,0.45678122477222927,0.30283278538114533
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,28.0,1.0,28.0,147868,MEDIUM,True,147868,0 days 00:01:30.274000,0.47369904791194145,0.3140488144693359
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,29.0,1.0,29.0,153149,MEDIUM,True,153149,0 days 00:01:31.857000,0.49061687105165364,0.3252648435575265
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,30.0,2.0,1.0,5281,HARD,True,158430,0 days 00:01:59.495000,0.016917823139712195,0.3364808726457171
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,31.0,2.0,2.0,10562,HARD,True,163711,0 days 00:01:28.088000,0.03383564627942439,0.3476969017339076
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,32.0,2.0,3.0,15843,HARD,True,168992,0 days 00:01:28.528000,0.05075346941913659,0.3589129308220982
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,33.0,2.0,4.0,21124,HARD,True,174273,0 days 00:01:28.333000,0.06767129255884878,0.37012895991028877
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,34.0,2.0,5.0,26405,HARD,True,179554,0 days 00:01:28.409000,0.08458911569856098,0.38134498899847935
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,35.0,2.0,6.0,31686,HARD,True,184835,0 days 00:01:29.111000,0.10150693883827318,0.3925610180866699
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,36.0,2.0,7.0,36967,HARD,True,190116,0 days 00:01:28.557000,0.11842476197798536,0.40377704717486046
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,37.0,2.0,8.0,42248,HARD,True,195397,0 days 00:01:28.413000,0.13534258511769756,0.41499307626305104
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,38.0,2.0,9.0,47529,HARD,True,200678,0 days 00:01:28.360000,0.15226040825740975,0.4262091053512416
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,39.0,2.0,10.0,52810,HARD,True,205959,0 days 00:01:28.296000,0.16917823139712196,0.43742513443943215
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,40.0,2.0,11.0,58091,HARD,True,211240,0 days 00:01:28.345000,0.18609605453683414,0.44864116352762273
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,41.0,2.0,12.0,63372,HARD,True,216521,0 days 00:01:28.439000,0.20301387767654636,0.4598571926158133
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,42.0,2.0,13.0,68653,HARD,True,221802,0 days 00:01:28.113000,0.21993170081625854,0.4710732217040039
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,43.0,2.0,14.0,73934,HARD,True,227083,0 days 00:01:28.089000,0.23684952395597073,0.4822892507921944
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,44.0,2.0,15.0,79215,HARD,True,232364,0 days 00:01:28.501000,0.25376734709568294,0.493505279880385
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,45.0,2.0,16.0,84496,HARD,True,237645,0 days 00:01:28.067000,0.2706851702353951,0.5047213089685756
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,46.0,2.0,17.0,89777,HARD,True,242926,0 days 00:01:28.231000,0.2876029933751073,0.5159373380567661
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,47.0,2.0,18.0,95058,HARD,True,248207,0 days 00:01:28.304000,0.3045208165148195,0.5271533671449568
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,48.0,2.0,19.0,100339,HARD,True,253488,0 days 00:01:27.893000,0.32143863965453173,0.5383693962331473
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,49.0,2.0,20.0,105620,HARD,True,258769,0 days 00:01:27.927000,0.3383564627942439,0.5495854253213378
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,50.0,2.0,21.0,110901,HARD,True,264050,0 days 00:01:27.961000,0.3552742859339561,0.5608014544095284
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,51.0,2.0,22.0,116182,HARD,True,269331,0 days 00:01:27.820000,0.3721921090736683,0.572017483497719
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,52.0,2.0,23.0,121463,HARD,True,274612,0 days 00:01:28.047000,0.38910993221338047,0.5832335125859096
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,53.0,2.0,24.0,126744,HARD,True,279893,0 days 00:01:28.064000,0.4060277553530927,0.5944495416741001
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,54.0,2.0,25.0,132025,HARD,True,285174,0 days 00:01:28.352000,0.4229455784928049,0.6056655707622907
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,55.0,2.0,26.0,137306,HARD,True,290455,0 days 00:01:27.821000,0.4398634016325171,0.6168815998504813
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,56.0,2.0,27.0,142587,HARD,True,295736,0 days 00:01:27.765000,0.45678122477222927,0.6280976289386718
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,57.0,2.0,28.0,147868,HARD,True,301017,0 days 00:01:28.174000,0.47369904791194145,0.6393136580268624
1,VER,2024,Abu Dhabi Grand Prix,Yas Island,58.0,2.0,29.0,153149,HARD,True,306298,0 days 00:01:28.780000,0.49061687105165364,0.650529687115053
