DriverID,Driver,Year,GranPrix,Location,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime,NormalizedTireMeters,NormalizedDriverMeters
1,VER,2023,Australian Grand Prix,Melbourne,1.0,1.0,1.0,5278,MEDIUM,True,5278,,0.016908212560386472,0.011209657551120966
1,VER,2023,Australian Grand Prix,Melbourne,2.0,1.0,2.0,10556,MEDIUM,True,10556,0 days 00:02:12.105000,0.033816425120772944,0.022419315102241932
1,VER,2023,Australian Grand Prix,Melbourne,3.0,1.0,3.0,15834,MEDIUM,True,15834,0 days 00:02:10.657000,0.050724637681159424,0.0336289726533629
1,VER,2023,Australian Grand Prix,Melbourne,4.0,1.0,4.0,21112,MEDIUM,True,21112,0 days 00:01:23.391000,0.06763285024154589,0.044838630204483865
1,VER,2023,Australian Grand Prix,Melbourne,5.0,1.0,5.0,26390,MEDIUM,True,26390,0 days 00:01:23.104000,0.08454106280193237,0.05604828775560483
1,VER,2023,Australian Grand Prix,Melbourne,6.0,1.0,6.0,31668,MEDIUM,True,31668,0 days 00:01:22.843000,0.10144927536231885,0.0672579453067258
1,VER,2023,Australian Grand Prix,Melbourne,7.0,1.0,7.0,36946,MEDIUM,True,36946,0 days 00:01:35.070000,0.11835748792270531,0.07846760285784676
1,VER,2023,Australian Grand Prix,Melbourne,8.0,1.0,8.0,42224,MEDIUM,True,42224,,0.13526570048309178,0.08967726040896773
1,VER,2023,Australian Grand Prix,Melbourne,9.0,2.0,1.0,5278,HARD,True,47502,,0.016908212560386472,0.1008869179600887
1,VER,2023,Australian Grand Prix,Melbourne,10.0,2.0,2.0,10556,HARD,True,52780,0 days 00:01:27.827000,0.033816425120772944,0.11209657551120966
1,VER,2023,Australian Grand Prix,Melbourne,11.0,2.0,3.0,15834,HARD,True,58058,0 days 00:01:23.460000,0.050724637681159424,0.12330623306233063
1,VER,2023,Australian Grand Prix,Melbourne,12.0,2.0,4.0,21112,HARD,True,63336,0 days 00:01:21.994000,0.06763285024154589,0.1345158906134516
1,VER,2023,Australian Grand Prix,Melbourne,13.0,2.0,5.0,26390,HARD,True,68614,0 days 00:01:23.286000,0.08454106280193237,0.14572554816457256
1,VER,2023,Australian Grand Prix,Melbourne,14.0,2.0,6.0,31668,HARD,True,73892,0 days 00:01:22.869000,0.10144927536231885,0.15693520571569353
1,VER,2023,Australian Grand Prix,Melbourne,15.0,2.0,7.0,36946,HARD,True,79170,0 days 00:01:22.817000,0.11835748792270531,0.1681448632668145
1,VER,2023,Australian Grand Prix,Melbourne,16.0,2.0,8.0,42224,HARD,True,84448,0 days 00:01:22.599000,0.13526570048309178,0.17935452081793546
1,VER,2023,Australian Grand Prix,Melbourne,17.0,2.0,9.0,47502,HARD,True,89726,0 days 00:01:22.595000,0.15217391304347827,0.19056417836905643
1,VER,2023,Australian Grand Prix,Melbourne,18.0,2.0,10.0,52780,HARD,True,95004,0 days 00:01:40.315000,0.16908212560386474,0.2017738359201774
1,VER,2023,Australian Grand Prix,Melbourne,19.0,2.0,11.0,58058,HARD,True,100282,0 days 00:01:43.750000,0.1859903381642512,0.21298349347129836
1,VER,2023,Australian Grand Prix,Melbourne,20.0,2.0,12.0,63336,HARD,True,105560,0 days 00:01:22.389000,0.2028985507246377,0.22419315102241932
1,VER,2023,Australian Grand Prix,Melbourne,21.0,2.0,13.0,68614,HARD,True,110838,0 days 00:01:22.110000,0.21980676328502416,0.2354028085735403
1,VER,2023,Australian Grand Prix,Melbourne,22.0,2.0,14.0,73892,HARD,True,116116,0 days 00:01:22.269000,0.23671497584541062,0.24661246612466126
1,VER,2023,Australian Grand Prix,Melbourne,23.0,2.0,15.0,79170,HARD,True,121394,0 days 00:01:22.193000,0.2536231884057971,0.2578221236757822
1,VER,2023,Australian Grand Prix,Melbourne,24.0,2.0,16.0,84448,HARD,True,126672,0 days 00:01:21.843000,0.27053140096618356,0.2690317812269032
1,VER,2023,Australian Grand Prix,Melbourne,25.0,2.0,17.0,89726,HARD,True,131950,0 days 00:01:22.104000,0.28743961352657005,0.28024143877802415
1,VER,2023,Australian Grand Prix,Melbourne,26.0,2.0,18.0,95004,HARD,True,137228,0 days 00:01:21.972000,0.30434782608695654,0.2914510963291451
1,VER,2023,Australian Grand Prix,Melbourne,27.0,2.0,19.0,100282,HARD,True,142506,0 days 00:01:21.924000,0.321256038647343,0.3026607538802661
1,VER,2023,Australian Grand Prix,Melbourne,28.0,2.0,20.0,105560,HARD,True,147784,0 days 00:01:21.926000,0.33816425120772947,0.31387041143138705
1,VER,2023,Australian Grand Prix,Melbourne,29.0,2.0,21.0,110838,HARD,True,153062,0 days 00:01:21.772000,0.35507246376811596,0.325080068982508
1,VER,2023,Australian Grand Prix,Melbourne,30.0,2.0,22.0,116116,HARD,True,158340,0 days 00:01:22.002000,0.3719806763285024,0.336289726533629
1,VER,2023,Australian Grand Prix,Melbourne,31.0,2.0,23.0,121394,HARD,True,163618,0 days 00:01:22.024000,0.3888888888888889,0.34749938408474995
1,VER,2023,Australian Grand Prix,Melbourne,32.0,2.0,24.0,126672,HARD,True,168896,0 days 00:01:22.012000,0.4057971014492754,0.3587090416358709
1,VER,2023,Australian Grand Prix,Melbourne,33.0,2.0,25.0,131950,HARD,True,174174,0 days 00:01:21.819000,0.4227053140096618,0.3699186991869919
1,VER,2023,Australian Grand Prix,Melbourne,34.0,2.0,26.0,137228,HARD,True,179452,0 days 00:01:21.894000,0.4396135265700483,0.38112835673811285
1,VER,2023,Australian Grand Prix,Melbourne,35.0,2.0,27.0,142506,HARD,True,184730,0 days 00:01:21.681000,0.45652173913043476,0.3923380142892338
1,VER,2023,Australian Grand Prix,Melbourne,36.0,2.0,28.0,147784,HARD,True,190008,0 days 00:01:21.732000,0.47342995169082125,0.4035476718403548
1,VER,2023,Australian Grand Prix,Melbourne,37.0,2.0,29.0,153062,HARD,True,195286,0 days 00:01:21.403000,0.49033816425120774,0.41475732939147575
1,VER,2023,Australian Grand Prix,Melbourne,38.0,2.0,30.0,158340,HARD,True,200564,0 days 00:01:21.319000,0.5072463768115942,0.4259669869425967
1,VER,2023,Australian Grand Prix,Melbourne,39.0,2.0,31.0,163618,HARD,True,205842,0 days 00:01:21.578000,0.5241545893719807,0.4371766444937177
1,VER,2023,Australian Grand Prix,Melbourne,40.0,2.0,32.0,168896,HARD,True,211120,0 days 00:01:21.078000,0.5410628019323671,0.44838630204483865
1,VER,2023,Australian Grand Prix,Melbourne,41.0,2.0,33.0,174174,HARD,True,216398,0 days 00:01:20.986000,0.5579710144927537,0.4595959595959596
1,VER,2023,Australian Grand Prix,Melbourne,42.0,2.0,34.0,179452,HARD,True,221676,0 days 00:01:21.148000,0.5748792270531401,0.4708056171470806
1,VER,2023,Australian Grand Prix,Melbourne,43.0,2.0,35.0,184730,HARD,True,226954,0 days 00:01:21.166000,0.5917874396135265,0.48201527469820155
1,VER,2023,Australian Grand Prix,Melbourne,44.0,2.0,36.0,190008,HARD,True,232232,0 days 00:01:21.089000,0.6086956521739131,0.4932249322493225
1,VER,2023,Australian Grand Prix,Melbourne,45.0,2.0,37.0,195286,HARD,True,237510,0 days 00:01:20.807000,0.6256038647342995,0.5044345898004434
1,VER,2023,Australian Grand Prix,Melbourne,46.0,2.0,38.0,200564,HARD,True,242788,0 days 00:01:20.703000,0.642512077294686,0.5156442473515644
1,VER,2023,Australian Grand Prix,Melbourne,47.0,2.0,39.0,205842,HARD,True,248066,0 days 00:01:24.107000,0.6594202898550725,0.5268539049026854
1,VER,2023,Australian Grand Prix,Melbourne,48.0,2.0,40.0,211120,HARD,True,253344,0 days 00:01:21.073000,0.6763285024154589,0.5380635624538064
1,VER,2023,Australian Grand Prix,Melbourne,49.0,2.0,41.0,216398,HARD,True,258622,0 days 00:01:20.342000,0.6932367149758454,0.5492732200049273
