DriverID,Driver,Year,GranPrix,Location,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime,NormalizedTireMeters,NormalizedDriverMeters
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,1.0,1.0,1.0,7004,MEDIUM,True,7004,0 days 00:01:57.183000,0.022437499199118388,0.014875415211832369
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,2.0,1.0,2.0,14008,MEDIUM,True,14008,0 days 00:01:49.828000,0.044874998398236776,0.029750830423664738
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,3.0,1.0,3.0,21012,MEDIUM,True,21012,0 days 00:01:50.141000,0.06731249759735516,0.04462624563549711
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,4.0,1.0,4.0,28016,MEDIUM,True,28016,0 days 00:01:50.055000,0.08974999679647355,0.059501660847329475
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,5.0,1.0,5.0,35020,MEDIUM,True,35020,0 days 00:01:50.138000,0.11218749599559195,0.07437707605916184
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,6.0,1.0,6.0,42024,MEDIUM,True,42024,0 days 00:01:50.073000,0.13462499519471033,0.08925249127099422
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,7.0,1.0,7.0,49028,MEDIUM,True,49028,0 days 00:01:50.146000,0.15706249439382872,0.10412790648282659
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,8.0,1.0,8.0,56032,MEDIUM,True,56032,0 days 00:01:50.094000,0.1794999935929471,0.11900332169465895
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,9.0,1.0,9.0,63036,MEDIUM,True,63036,0 days 00:01:50.609000,0.2019374927920655,0.13387873690649132
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,10.0,1.0,10.0,70040,MEDIUM,True,70040,0 days 00:01:54.655000,0.2243749919911839,0.14875415211832368
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,11.0,2.0,1.0,7004,HARD,True,77044,0 days 00:02:02.789000,0.022437499199118388,0.16362956733015607
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,12.0,2.0,2.0,14008,HARD,True,84048,0 days 00:01:48.403000,0.044874998398236776,0.17850498254198843
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,13.0,2.0,3.0,21012,HARD,True,91052,0 days 00:01:48.431000,0.06731249759735516,0.1933803977538208
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,14.0,2.0,4.0,28016,HARD,True,98056,0 days 00:01:48.153000,0.08974999679647355,0.20825581296565318
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,15.0,2.0,5.0,35020,HARD,True,105060,0 days 00:01:48.229000,0.11218749599559195,0.22313122817748554
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,16.0,2.0,6.0,42024,HARD,True,112064,0 days 00:01:48.509000,0.13462499519471033,0.2380066433893179
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,17.0,2.0,7.0,49028,HARD,True,119068,0 days 00:01:48.431000,0.15706249439382872,0.25288205860115026
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,18.0,2.0,8.0,56032,HARD,True,126072,0 days 00:01:48.896000,0.1794999935929471,0.26775747381298265
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,19.0,2.0,9.0,63036,HARD,True,133076,0 days 00:01:48.578000,0.2019374927920655,0.28263288902481504
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,20.0,2.0,10.0,70040,HARD,True,140080,0 days 00:01:49.134000,0.2243749919911839,0.29750830423664737
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,21.0,2.0,11.0,77044,HARD,True,147084,0 days 00:01:49.273000,0.2468124911903023,0.31238371944847976
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,22.0,2.0,12.0,84048,HARD,True,154088,0 days 00:01:48.448000,0.26924999038942066,0.32725913466031215
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,23.0,2.0,13.0,91052,HARD,True,161092,0 days 00:01:48.494000,0.2916874895885391,0.3421345498721445
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,24.0,2.0,14.0,98056,HARD,True,168096,0 days 00:01:48.154000,0.31412498878765743,0.35700996508397687
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,25.0,2.0,15.0,105060,HARD,True,175100,0 days 00:01:47.921000,0.33656248798677585,0.37188538029580925
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,26.0,2.0,16.0,112064,HARD,True,182104,0 days 00:01:47.815000,0.3589999871858942,0.3867607955076416
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,27.0,2.0,17.0,119068,HARD,True,189108,0 days 00:01:47.431000,0.3814374863850126,0.401636210719474
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,28.0,2.0,18.0,126072,HARD,True,196112,0 days 00:01:52.026000,0.403874985584131,0.41651162593130636
1,VER,2024,Belgian Grand Prix,Spa-Francorchamps,29.0,3.0,1.0,7004,MEDIUM,True,203116,0 days 00:02:00.489000,0.022437499199118388,0.4313870411431387
