DriverID,Driver,Year,GranPrix,Location,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime,NormalizedTireMeters,NormalizedDriverMeters
1,VER,2023,Dutch Grand Prix,Zandvoort,1.0,1.0,1.0,4259,SOFT,True,4259,,0.013643819116082985,0.009045458793145925
1,VER,2023,Dutch Grand Prix,Zandvoort,2.0,1.0,2.0,8518,SOFT,True,8518,0 days 00:01:49.972000,0.02728763823216597,0.01809091758629185
1,VER,2023,Dutch Grand Prix,Zandvoort,3.0,2.0,1.0,4259,INTERMEDIATE,True,12777,0 days 00:01:48.658000,0.013643819116082985,0.027136376379437777
1,VER,2023,Dutch Grand Prix,Zandvoort,4.0,2.0,2.0,8518,INTERMEDIATE,True,17036,0 days 00:01:25.251000,0.02728763823216597,0.0361818351725837
1,VER,2023,Dutch Grand Prix,Zandvoort,5.0,2.0,3.0,12777,INTERMEDIATE,True,21295,0 days 00:01:23.461000,0.040931457348248955,0.04522729396572962
1,VER,2023,Dutch Grand Prix,Zandvoort,6.0,2.0,4.0,17036,INTERMEDIATE,True,25554,0 days 00:01:22.503000,0.05457527646433194,0.05427275275887555
1,VER,2023,Dutch Grand Prix,Zandvoort,7.0,2.0,5.0,21295,INTERMEDIATE,True,29813,0 days 00:01:22.116000,0.06821909558041492,0.06331821155202147
1,VER,2023,Dutch Grand Prix,Zandvoort,8.0,2.0,6.0,25554,INTERMEDIATE,True,34072,0 days 00:01:23.232000,0.08186291469649791,0.0723636703451674
1,VER,2023,Dutch Grand Prix,Zandvoort,9.0,2.0,7.0,29813,INTERMEDIATE,True,38331,0 days 00:01:23.313000,0.09550673381258089,0.08140912913831333
1,VER,2023,Dutch Grand Prix,Zandvoort,10.0,2.0,8.0,34072,INTERMEDIATE,True,42590,0 days 00:01:23.698000,0.10915055292866388,0.09045458793145925
1,VER,2023,Dutch Grand Prix,Zandvoort,11.0,2.0,9.0,38331,INTERMEDIATE,True,46849,0 days 00:01:27.017000,0.12279437204474686,0.09950004672460518
1,VER,2023,Dutch Grand Prix,Zandvoort,12.0,3.0,1.0,4259,SOFT,True,51108,0 days 00:01:38.034000,0.013643819116082985,0.1085455055177511
1,VER,2023,Dutch Grand Prix,Zandvoort,13.0,3.0,2.0,8518,SOFT,True,55367,0 days 00:01:18.775000,0.02728763823216597,0.11759096431089702
1,VER,2023,Dutch Grand Prix,Zandvoort,14.0,3.0,3.0,12777,SOFT,True,59626,0 days 00:01:17.550000,0.040931457348248955,0.12663642310404294
