DriverID,Driver,Year,GranPrix,Location,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime,NormalizedTireMeters,NormalizedDriverMeters
1,VER,2023,Italian Grand Prix,Monza,1.0,1.0,1.0,5793,MEDIUM,True,5793,0 days 00:01:27.905000,0.01855802867796871,0.012303438081402758
1,VER,2023,Italian Grand Prix,Monza,2.0,1.0,2.0,11586,MEDIUM,True,11586,0 days 00:01:26.163000,0.03711605735593742,0.024606876162805515
1,VER,2023,Italian Grand Prix,Monza,3.0,1.0,3.0,17379,MEDIUM,True,17379,0 days 00:01:25.702000,0.055674086033906126,0.03691031424420827
1,VER,2023,Italian Grand Prix,Monza,4.0,1.0,4.0,23172,MEDIUM,True,23172,0 days 00:01:26.050000,0.07423211471187484,0.04921375232561103
1,VER,2023,Italian Grand Prix,Monza,5.0,1.0,5.0,28965,MEDIUM,True,28965,0 days 00:01:26.176000,0.09279014338984354,0.06151719040701379
1,VER,2023,Italian Grand Prix,Monza,6.0,1.0,6.0,34758,MEDIUM,True,34758,0 days 00:01:26.837000,0.11134817206781225,0.07382062848841654
1,VER,2023,Italian Grand Prix,Monza,7.0,1.0,7.0,40551,MEDIUM,True,40551,0 days 00:01:26.368000,0.12990620074578096,0.0861240665698193
1,VER,2023,Italian Grand Prix,Monza,8.0,1.0,8.0,46344,MEDIUM,True,46344,0 days 00:01:25.990000,0.14846422942374968,0.09842750465122206
1,VER,2023,Italian Grand Prix,Monza,9.0,1.0,9.0,52137,MEDIUM,True,52137,0 days 00:01:26.605000,0.16702225810171836,0.11073094273262482
1,VER,2023,Italian Grand Prix,Monza,10.0,1.0,10.0,57930,MEDIUM,True,57930,0 days 00:01:26.603000,0.18558028677968708,0.12303438081402758
1,VER,2023,Italian Grand Prix,Monza,11.0,1.0,11.0,63723,MEDIUM,True,63723,0 days 00:01:26.643000,0.2041383154576558,0.13533781889543034
1,VER,2023,Italian Grand Prix,Monza,12.0,1.0,12.0,69516,MEDIUM,True,69516,0 days 00:01:26.442000,0.2226963441356245,0.14764125697683309
1,VER,2023,Italian Grand Prix,Monza,13.0,1.0,13.0,75309,MEDIUM,True,75309,0 days 00:01:26.666000,0.24125437281359322,0.15994469505823586
1,VER,2023,Italian Grand Prix,Monza,14.0,1.0,14.0,81102,MEDIUM,True,81102,0 days 00:01:27.028000,0.25981240149156193,0.1722481331396386
1,VER,2023,Italian Grand Prix,Monza,15.0,1.0,15.0,86895,MEDIUM,True,86895,0 days 00:01:26.782000,0.2783704301695306,0.18455157122104138
1,VER,2023,Italian Grand Prix,Monza,16.0,1.0,16.0,92688,MEDIUM,True,92688,0 days 00:01:26.718000,0.29692845884749935,0.19685500930244412
1,VER,2023,Italian Grand Prix,Monza,17.0,1.0,17.0,98481,MEDIUM,True,98481,0 days 00:01:26.733000,0.31548648752546804,0.20915844738384687
1,VER,2023,Italian Grand Prix,Monza,18.0,1.0,18.0,104274,MEDIUM,True,104274,0 days 00:01:26.273000,0.3340445162034367,0.22146188546524964
1,VER,2023,Italian Grand Prix,Monza,19.0,1.0,19.0,110067,MEDIUM,True,110067,0 days 00:01:26.438000,0.35260254488140547,0.2337653235466524
1,VER,2023,Italian Grand Prix,Monza,20.0,1.0,20.0,115860,MEDIUM,True,115860,0 days 00:01:30.849000,0.37116057355937415,0.24606876162805516
1,VER,2023,Italian Grand Prix,Monza,21.0,2.0,1.0,5793,HARD,True,121653,0 days 00:01:45.660000,0.01855802867796871,0.2583721997094579
1,VER,2023,Italian Grand Prix,Monza,22.0,2.0,2.0,11586,HARD,True,127446,0 days 00:01:25.885000,0.03711605735593742,0.2706756377908607
1,VER,2023,Italian Grand Prix,Monza,23.0,2.0,3.0,17379,HARD,True,133239,0 days 00:01:26.159000,0.055674086033906126,0.28297907587226345
1,VER,2023,Italian Grand Prix,Monza,24.0,2.0,4.0,23172,HARD,True,139032,0 days 00:01:26.327000,0.07423211471187484,0.29528251395366617
1,VER,2023,Italian Grand Prix,Monza,25.0,2.0,5.0,28965,HARD,True,144825,0 days 00:01:25.914000,0.09279014338984354,0.30758595203506894
1,VER,2023,Italian Grand Prix,Monza,26.0,2.0,6.0,34758,HARD,True,150618,0 days 00:01:25.786000,0.11134817206781225,0.3198893901164717
1,VER,2023,Italian Grand Prix,Monza,27.0,2.0,7.0,40551,HARD,True,156411,0 days 00:01:25.501000,0.12990620074578096,0.33219282819787443
1,VER,2023,Italian Grand Prix,Monza,28.0,2.0,8.0,46344,HARD,True,162204,0 days 00:01:25.434000,0.14846422942374968,0.3444962662792772
1,VER,2023,Italian Grand Prix,Monza,29.0,2.0,9.0,52137,HARD,True,167997,0 days 00:01:25.471000,0.16702225810171836,0.35679970436068
