DriverID,Driver,Year,GranPrix,Location,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime,NormalizedTireMeters,NormalizedDriverMeters
1,VER,2023,Japanese Grand Prix,Suzuka,1.0,1.0,1.0,5807,MEDIUM,True,5807,,0.01860287804815541,0.012333171921060903
1,VER,2023,Japanese Grand Prix,Suzuka,2.0,1.0,2.0,11614,MEDIUM,True,11614,,0.03720575609631082,0.024666343842121807
1,VER,2023,Japanese Grand Prix,Suzuka,3.0,1.0,3.0,17421,MEDIUM,True,17421,,0.055808634144466227,0.03699951576318271
1,VER,2023,Japanese Grand Prix,Suzuka,4.0,1.0,4.0,23228,MEDIUM,True,23228,,0.07441151219262164,0.04933268768424361
1,VER,2023,Japanese Grand Prix,Suzuka,5.0,1.0,5.0,29035,MEDIUM,True,29035,0 days 00:01:36.748000,0.09301439024077705,0.06166585960530452
1,VER,2023,Japanese Grand Prix,Suzuka,6.0,1.0,6.0,34842,MEDIUM,True,34842,0 days 00:01:37.837000,0.11161726828893245,0.07399903152636542
1,VER,2023,Japanese Grand Prix,Suzuka,7.0,1.0,7.0,40649,MEDIUM,True,40649,0 days 00:01:38.033000,0.13022014633708787,0.08633220344742633
1,VER,2023,Japanese Grand Prix,Suzuka,8.0,1.0,8.0,46456,MEDIUM,True,46456,0 days 00:01:38.148000,0.14882302438524328,0.09866537536848723
1,VER,2023,Japanese Grand Prix,Suzuka,9.0,1.0,9.0,52263,MEDIUM,True,52263,0 days 00:01:38.241000,0.1674259024333987,0.11099854728954812
1,VER,2023,Japanese Grand Prix,Suzuka,10.0,1.0,10.0,58070,MEDIUM,True,58070,0 days 00:01:38.301000,0.1860287804815541,0.12333171921060904
1,VER,2023,Japanese Grand Prix,Suzuka,11.0,1.0,11.0,63877,MEDIUM,True,63877,0 days 00:01:38.519000,0.2046316585297095,0.13566489113166993
1,VER,2023,Japanese Grand Prix,Suzuka,12.0,1.0,12.0,69684,MEDIUM,True,69684,0 days 00:01:38.651000,0.2232345365778649,0.14799806305273083
1,VER,2023,Japanese Grand Prix,Suzuka,13.0,1.0,13.0,75491,MEDIUM,True,75491,0 days 00:01:38.689000,0.24183741462602032,0.16033123497379173
1,VER,2023,Japanese Grand Prix,Suzuka,14.0,1.0,14.0,81298,MEDIUM,True,81298,0 days 00:01:59.754000,0.26044029267417573,0.17266440689485266
1,VER,2023,Japanese Grand Prix,Suzuka,15.0,1.0,15.0,87105,MEDIUM,True,87105,0 days 00:01:38.373000,0.27904317072233115,0.18499757881591355
1,VER,2023,Japanese Grand Prix,Suzuka,16.0,1.0,16.0,92912,MEDIUM,True,92912,0 days 00:01:41.172000,0.29764604877048656,0.19733075073697445
1,VER,2023,Japanese Grand Prix,Suzuka,17.0,2.0,1.0,5807,MEDIUM,True,98719,0 days 00:01:58.025000,0.01860287804815541,0.20966392265803535
1,VER,2023,Japanese Grand Prix,Suzuka,18.0,2.0,2.0,11614,MEDIUM,True,104526,0 days 00:01:37.399000,0.03720575609631082,0.22199709457909625
1,VER,2023,Japanese Grand Prix,Suzuka,19.0,2.0,3.0,17421,MEDIUM,True,110333,0 days 00:01:37.769000,0.055808634144466227,0.23433026650015717
1,VER,2023,Japanese Grand Prix,Suzuka,20.0,2.0,4.0,23228,MEDIUM,True,116140,0 days 00:01:37.344000,0.07441151219262164,0.24666343842121807
1,VER,2023,Japanese Grand Prix,Suzuka,21.0,2.0,5.0,29035,MEDIUM,True,121947,0 days 00:01:37.565000,0.09301439024077705,0.258996610342279
1,VER,2023,Japanese Grand Prix,Suzuka,22.0,2.0,6.0,34842,MEDIUM,True,127754,0 days 00:01:37.592000,0.11161726828893245,0.27132978226333987
1,VER,2023,Japanese Grand Prix,Suzuka,23.0,2.0,7.0,40649,MEDIUM,True,133561,0 days 00:01:37.722000,0.13022014633708787,0.2836629541844008
1,VER,2023,Japanese Grand Prix,Suzuka,24.0,2.0,8.0,46456,MEDIUM,True,139368,0 days 00:01:37.714000,0.14882302438524328,0.29599612610546167
1,VER,2023,Japanese Grand Prix,Suzuka,25.0,2.0,9.0,52263,MEDIUM,True,145175,0 days 00:01:37.946000,0.1674259024333987,0.3083292980265226
1,VER,2023,Japanese Grand Prix,Suzuka,26.0,2.0,10.0,58070,MEDIUM,True,150982,0 days 00:01:37.903000,0.1860287804815541,0.32066246994758346
