DriverID,Driver,Year,GranPrix,Location,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime,NormalizedTireMeters,NormalizedDriverMeters
1,VER,2024,Las Vegas Grand Prix,Las Vegas,1.0,1.0,1.0,6201,MEDIUM,True,6201,0 days 00:01:45.917000,0.019865067466266866,0.013169967122868722
1,VER,2024,Las Vegas Grand Prix,Las Vegas,2.0,1.0,2.0,12402,MEDIUM,True,12402,0 days 00:01:39.861000,0.03973013493253373,0.026339934245737443
1,VER,2024,Las Vegas Grand Prix,Las Vegas,3.0,1.0,3.0,18603,MEDIUM,True,18603,0 days 00:01:39.345000,0.0595952023988006,0.03950990136860616
1,VER,2024,Las Vegas Grand Prix,Las Vegas,4.0,1.0,4.0,24804,MEDIUM,True,24804,0 days 00:01:38.713000,0.07946026986506746,0.052679868491474886
1,VER,2024,Las Vegas Grand Prix,Las Vegas,5.0,1.0,5.0,31005,MEDIUM,True,31005,0 days 00:01:38.472000,0.09932533733133433,0.0658498356143436
1,VER,2024,Las Vegas Grand Prix,Las Vegas,6.0,1.0,6.0,37206,MEDIUM,True,37206,0 days 00:01:38.661000,0.1191904047976012,0.07901980273721232
1,VER,2024,Las Vegas Grand Prix,Las Vegas,7.0,1.0,7.0,43407,MEDIUM,True,43407,0 days 00:01:38.906000,0.13905547226386808,0.09218976986008105
1,VER,2024,Las Vegas Grand Prix,Las Vegas,8.0,1.0,8.0,49608,MEDIUM,True,49608,0 days 00:01:39.047000,0.15892053973013492,0.10535973698294977
1,VER,2024,Las Vegas Grand Prix,Las Vegas,9.0,1.0,9.0,55809,MEDIUM,True,55809,0 days 00:01:39.790000,0.1787856071964018,0.11852970410581849
1,VER,2024,Las Vegas Grand Prix,Las Vegas,10.0,1.0,10.0,62010,MEDIUM,True,62010,0 days 00:01:40.064000,0.19865067466266867,0.1316996712286872
1,VER,2024,Las Vegas Grand Prix,Las Vegas,11.0,1.0,11.0,68211,MEDIUM,True,68211,0 days 00:01:44.351000,0.21851574212893554,0.14486963835155592
1,VER,2024,Las Vegas Grand Prix,Las Vegas,12.0,2.0,1.0,6201,HARD,True,74412,0 days 00:01:55.018000,0.019865067466266866,0.15803960547442464
1,VER,2024,Las Vegas Grand Prix,Las Vegas,13.0,2.0,2.0,12402,HARD,True,80613,0 days 00:01:38.307000,0.03973013493253373,0.17120957259729336
1,VER,2024,Las Vegas Grand Prix,Las Vegas,14.0,2.0,3.0,18603,HARD,True,86814,0 days 00:01:38.376000,0.0595952023988006,0.1843795397201621
1,VER,2024,Las Vegas Grand Prix,Las Vegas,15.0,2.0,4.0,24804,HARD,True,93015,0 days 00:01:38.648000,0.07946026986506746,0.19754950684303083
1,VER,2024,Las Vegas Grand Prix,Las Vegas,16.0,2.0,5.0,31005,HARD,True,99216,0 days 00:01:38.563000,0.09932533733133433,0.21071947396589955
1,VER,2024,Las Vegas Grand Prix,Las Vegas,17.0,2.0,6.0,37206,HARD,True,105417,0 days 00:01:38.055000,0.1191904047976012,0.22388944108876827
1,VER,2024,Las Vegas Grand Prix,Las Vegas,18.0,2.0,7.0,43407,HARD,True,111618,0 days 00:01:37.956000,0.13905547226386808,0.23705940821163698
1,VER,2024,Las Vegas Grand Prix,Las Vegas,19.0,2.0,8.0,49608,HARD,True,117819,0 days 00:01:37.678000,0.15892053973013492,0.2502293753345057
1,VER,2024,Las Vegas Grand Prix,Las Vegas,20.0,2.0,9.0,55809,HARD,True,124020,0 days 00:01:37.846000,0.1787856071964018,0.2633993424573744
1,VER,2024,Las Vegas Grand Prix,Las Vegas,21.0,2.0,10.0,62010,HARD,True,130221,0 days 00:01:37.590000,0.19865067466266867,0.2765693095802431
1,VER,2024,Las Vegas Grand Prix,Las Vegas,22.0,2.0,11.0,68211,HARD,True,136422,0 days 00:01:37.679000,0.21851574212893554,0.28973927670311184
1,VER,2024,Las Vegas Grand Prix,Las Vegas,23.0,2.0,12.0,74412,HARD,True,142623,0 days 00:01:37.524000,0.2383808095952024,0.30290924382598056
