DriverID,Driver,Year,GranPrix,Location,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime,NormalizedTireMeters,NormalizedDriverMeters
1,VER,2022,Saudi Arabian Grand Prix,Jeddah,1.0,1.0,1.0,6174,MEDIUM,True,6174,0 days 00:01:38.082000,0.01977857225233537,0.013112623289242297
1,VER,2022,Saudi Arabian Grand Prix,Jeddah,2.0,1.0,2.0,12348,MEDIUM,True,12348,0 days 00:01:35.275000,0.03955714450467074,0.026225246578484594
1,VER,2022,Saudi Arabian Grand Prix,Jeddah,3.0,1.0,3.0,18522,MEDIUM,True,18522,0 days 00:01:34.890000,0.059335716757006114,0.03933786986772689
1,VER,2022,Saudi Arabian Grand Prix,Jeddah,4.0,1.0,4.0,24696,MEDIUM,True,24696,0 days 00:01:34.700000,0.07911428900934148,0.05245049315696919
1,VER,2022,Saudi Arabian Grand Prix,Jeddah,5.0,1.0,5.0,30870,MEDIUM,True,30870,0 days 00:01:34.809000,0.09889286126167686,0.06556311644621149
1,VER,2022,Saudi Arabian Grand Prix,Jeddah,6.0,1.0,6.0,37044,MEDIUM,True,37044,0 days 00:01:34.840000,0.11867143351401223,0.07867573973545378
1,VER,2022,Saudi Arabian Grand Prix,Jeddah,7.0,1.0,7.0,43218,MEDIUM,True,43218,0 days 00:01:34.634000,0.13845000576634758,0.09178836302469608
1,VER,2022,Saudi Arabian Grand Prix,Jeddah,8.0,1.0,8.0,49392,MEDIUM,True,49392,0 days 00:01:34.821000,0.15822857801868295,0.10490098631393838
1,VER,2022,Saudi Arabian Grand Prix,Jeddah,9.0,1.0,9.0,55566,MEDIUM,True,55566,0 days 00:01:34.832000,0.17800715027101835,0.11801360960318068
1,VER,2022,Saudi Arabian Grand Prix,Jeddah,10.0,1.0,10.0,61740,MEDIUM,True,61740,0 days 00:01:35.252000,0.19778572252335372,0.13112623289242298
1,VER,2022,Saudi Arabian Grand Prix,Jeddah,11.0,1.0,11.0,67914,MEDIUM,True,67914,0 days 00:01:34.959000,0.2175642947756891,0.14423885618166526
1,VER,2022,Saudi Arabian Grand Prix,Jeddah,12.0,1.0,12.0,74088,MEDIUM,True,74088,0 days 00:01:35.191000,0.23734286702802446,0.15735147947090755
