Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
20,1.0,1.0,1.0,0,MEDIUM,True,0 days 00:01:52.555000
20,2.0,1.0,2.0,0,MEDIUM,True,0 days 00:01:47.299000
20,3.0,1.0,3.0,0,MEDIUM,True,0 days 00:01:45.952000
20,4.0,1.0,4.0,0,MEDIUM,True,0 days 00:01:46.112000
20,5.0,1.0,5.0,0,MEDIUM,True,0 days 00:01:46.348000
20,6.0,1.0,6.0,0,MEDIUM,True,0 days 00:01:47.405000
20,7.0,1.0,7.0,0,MEDIUM,True,0 days 00:01:47.063000
20,8.0,1.0,8.0,0,MEDIUM,True,0 days 00:01:46.228000
20,9.0,1.0,9.0,0,MEDIUM,True,0 days 00:01:46.206000
20,10.0,1.0,10.0,0,MEDIUM,True,0 days 00:01:46.058000
20,11.0,1.0,11.0,0,MEDIUM,True,0 days 00:01:45.844000
20,12.0,1.0,12.0,0,MEDIUM,True,0 days 00:01:45.751000
20,13.0,1.0,13.0,0,MEDIUM,True,0 days 00:01:45.693000
20,14.0,1.0,14.0,0,MEDIUM,True,0 days 00:01:45.486000
20,15.0,1.0,15.0,0,MEDIUM,True,0 days 00:01:45.425000
20,16.0,1.0,16.0,0,MEDIUM,True,0 days 00:01:45.486000
20,17.0,1.0,17.0,0,MEDIUM,True,0 days 00:01:45.716000
20,18.0,1.0,18.0,0,MEDIUM,True,0 days 00:01:45.622000
20,19.0,1.0,19.0,0,MEDIUM,True,0 days 00:01:45.456000
20,20.0,1.0,20.0,0,MEDIUM,True,0 days 00:01:47.475000
20,21.0,2.0,2.0,0,HARD,False,0 days 00:02:03.691000
20,22.0,2.0,3.0,0,HARD,False,0 days 00:01:43.790000
20,23.0,2.0,4.0,0,HARD,False,0 days 00:01:43.929000
20,24.0,2.0,5.0,0,HARD,False,0 days 00:01:44.394000
20,25.0,2.0,6.0,0,HARD,False,0 days 00:01:43.883000
20,26.0,2.0,7.0,0,HARD,False,0 days 00:01:43.864000
20,27.0,2.0,8.0,0,HARD,False,0 days 00:01:43.985000
20,28.0,2.0,9.0,0,HARD,False,0 days 00:01:44.064000
20,29.0,2.0,10.0,0,HARD,False,0 days 00:01:44.080000
20,30.0,2.0,11.0,0,HARD,False,0 days 00:01:44.083000
20,31.0,2.0,12.0,0,HARD,False,0 days 00:01:44.146000
20,32.0,2.0,13.0,0,HARD,False,0 days 00:01:44.148000
20,33.0,2.0,14.0,0,HARD,False,0 days 00:01:44.176000
20,34.0,2.0,15.0,0,HARD,False,0 days 00:01:44.353000
20,35.0,2.0,16.0,0,HARD,False,0 days 00:01:44.214000
20,36.0,2.0,17.0,0,HARD,False,0 days 00:01:44.544000
20,37.0,2.0,18.0,0,HARD,False,0 days 00:01:44.876000
20,38.0,2.0,19.0,0,HARD,False,0 days 00:01:46.753000
20,39.0,2.0,20.0,0,HARD,False,0 days 00:01:44.926000
20,40.0,2.0,21.0,0,HARD,False,0 days 00:01:44.701000
20,41.0,2.0,22.0,0,HARD,False,0 days 00:01:44.366000
20,42.0,2.0,23.0,0,HARD,False,0 days 00:01:45.781000
20,43.0,2.0,24.0,0,HARD,False,0 days 00:01:45.240000
20,44.0,2.0,25.0,0,HARD,False,0 days 00:01:44.349000
20,45.0,2.0,26.0,0,HARD,False,0 days 00:01:44.227000
20,46.0,2.0,27.0,0,HARD,False,0 days 00:01:45.289000
20,47.0,2.0,28.0,0,HARD,False,0 days 00:01:44.092000
20,48.0,2.0,29.0,0,HARD,False,0 days 00:01:44.128000
20,49.0,2.0,30.0,0,HARD,False,0 days 00:01:44.318000
20,50.0,2.0,31.0,0,HARD,False,0 days 00:01:45.938000
20,51.0,2.0,32.0,0,HARD,False,0 days 00:01:45.141000
20,52.0,2.0,33.0,0,HARD,False,0 days 00:01:44.056000
20,53.0,2.0,34.0,0,HARD,False,0 days 00:01:44.230000
20,54.0,2.0,35.0,0,HARD,False,0 days 00:01:44.560000
