Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
20,1.0,1.0,1.0,5281,SUPERSOFT,True,0 days 00:02:43.596000
20,2.0,1.0,2.0,10562,SUPERSOFT,True,
20,3.0,1.0,3.0,15843,SUPERSOFT,True,
20,4.0,1.0,4.0,21124,SUPERSOFT,True,
20,5.0,1.0,5.0,26405,SUPERSOFT,True,0 days 00:01:48.778000
20,6.0,1.0,6.0,31686,SUPERSOFT,True,0 days 00:01:48.618000
20,7.0,1.0,7.0,36967,SUPERSOFT,True,0 days 00:02:15.634000
20,8.0,1.0,8.0,42248,SUPERSOFT,True,0 days 00:02:09.753000
20,9.0,1.0,9.0,47529,SUPERSOFT,True,0 days 00:01:47.010000
20,10.0,1.0,10.0,52810,SUPERSOFT,True,0 days 00:01:48.250000
20,11.0,1.0,11.0,58091,SUPERSOFT,True,0 days 00:01:47.849000
20,12.0,1.0,12.0,63372,SUPERSOFT,True,0 days 00:01:47.603000
20,13.0,1.0,13.0,68653,SUPERSOFT,True,0 days 00:01:47.559000
20,14.0,1.0,14.0,73934,SUPERSOFT,True,0 days 00:01:47.798000
20,15.0,1.0,15.0,79215,SUPERSOFT,True,0 days 00:01:47.694000
20,16.0,1.0,16.0,84496,SUPERSOFT,True,0 days 00:01:47.721000
20,17.0,1.0,17.0,89777,SUPERSOFT,True,0 days 00:01:48.017000
20,18.0,1.0,18.0,95058,SUPERSOFT,True,0 days 00:01:47.762000
20,19.0,1.0,19.0,100339,SUPERSOFT,True,0 days 00:01:47.735000
20,20.0,1.0,20.0,105620,SUPERSOFT,True,0 days 00:01:47.378000
20,21.0,1.0,21.0,110901,SUPERSOFT,True,0 days 00:01:47.035000
20,22.0,1.0,22.0,116182,SUPERSOFT,True,0 days 00:01:47.011000
20,23.0,1.0,23.0,121463,SUPERSOFT,True,0 days 00:01:46.418000
20,24.0,1.0,24.0,126744,SUPERSOFT,True,0 days 00:01:47.281000
20,25.0,1.0,25.0,132025,SUPERSOFT,True,0 days 00:01:47.609000
20,26.0,1.0,26.0,137306,SUPERSOFT,True,0 days 00:01:47.402000
20,27.0,1.0,27.0,142587,SUPERSOFT,True,0 days 00:01:47.599000
20,28.0,1.0,28.0,147868,SUPERSOFT,True,0 days 00:01:45.396000
20,29.0,1.0,29.0,153149,SUPERSOFT,True,0 days 00:01:45.132000
20,30.0,1.0,30.0,158430,SUPERSOFT,True,0 days 00:01:44.714000
20,31.0,1.0,31.0,163711,SUPERSOFT,True,0 days 00:01:44.965000
20,32.0,1.0,32.0,168992,SUPERSOFT,True,0 days 00:01:44.863000
20,33.0,1.0,33.0,174273,SUPERSOFT,True,0 days 00:01:45.094000
20,34.0,1.0,34.0,179554,SUPERSOFT,True,0 days 00:01:44.704000
20,35.0,1.0,35.0,184835,SUPERSOFT,True,0 days 00:01:45.487000
20,36.0,1.0,36.0,190116,SUPERSOFT,True,0 days 00:01:44.832000
20,37.0,1.0,37.0,195397,SUPERSOFT,True,0 days 00:01:44.763000
20,38.0,1.0,38.0,200678,SUPERSOFT,True,0 days 00:01:44.915000
20,39.0,1.0,39.0,205959,SUPERSOFT,True,0 days 00:01:45.112000
20,40.0,1.0,40.0,211240,SUPERSOFT,True,0 days 00:01:44.967000
20,41.0,1.0,41.0,216521,SUPERSOFT,True,0 days 00:01:46.505000
20,42.0,2.0,1.0,5281,ULTRASOFT,True,0 days 00:02:03.475000
20,43.0,2.0,2.0,10562,ULTRASOFT,True,0 days 00:01:43.786000
20,44.0,2.0,3.0,15843,ULTRASOFT,True,0 days 00:01:43.828000
20,45.0,2.0,4.0,21124,ULTRASOFT,True,0 days 00:01:45.513000
20,46.0,2.0,5.0,26405,ULTRASOFT,True,0 days 00:01:47.521000
20,47.0,2.0,6.0,31686,ULTRASOFT,True,0 days 00:01:45.528000
20,48.0,2.0,7.0,36967,ULTRASOFT,True,0 days 00:01:45.296000
20,49.0,2.0,8.0,42248,ULTRASOFT,True,0 days 00:01:44.473000
20,50.0,2.0,9.0,47529,ULTRASOFT,True,0 days 00:01:43.593000
20,51.0,2.0,10.0,52810,ULTRASOFT,True,0 days 00:01:43.837000
20,52.0,2.0,11.0,58091,ULTRASOFT,True,0 days 00:01:43.400000
20,53.0,2.0,12.0,63372,ULTRASOFT,True,0 days 00:01:42.822000
20,54.0,2.0,13.0,68653,ULTRASOFT,True,0 days 00:01:43.468000
