Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
20,1.0,,,0,nan,True,0 days 00:01:40.943000
20,2.0,1.0,4.0,21648,SUPERSOFT,False,0 days 00:01:45.054000
20,3.0,1.0,5.0,27060,SUPERSOFT,False,0 days 00:02:09.387000
20,4.0,1.0,6.0,32472,SUPERSOFT,False,0 days 00:01:57.549000
20,5.0,1.0,7.0,37884,SUPERSOFT,False,0 days 00:01:38.621000
20,6.0,1.0,8.0,43296,SUPERSOFT,False,0 days 00:01:38.061000
20,7.0,1.0,9.0,48708,SUPERSOFT,False,0 days 00:01:37.690000
20,8.0,1.0,10.0,54120,SUPERSOFT,False,0 days 00:01:37.600000
20,9.0,1.0,11.0,59532,SUPERSOFT,False,0 days 00:01:37.544000
20,10.0,1.0,12.0,64944,SUPERSOFT,False,0 days 00:01:37.464000
20,11.0,1.0,13.0,70356,SUPERSOFT,False,0 days 00:01:37.200000
20,12.0,1.0,14.0,75768,SUPERSOFT,False,0 days 00:01:37.247000
20,13.0,1.0,15.0,81180,SUPERSOFT,False,0 days 00:01:39.865000
20,14.0,2.0,4.0,21648,SUPERSOFT,False,0 days 00:01:56.348000
20,15.0,2.0,5.0,27060,SUPERSOFT,False,0 days 00:01:37.856000
20,16.0,2.0,6.0,32472,SUPERSOFT,False,0 days 00:01:36.129000
20,17.0,2.0,7.0,37884,SUPERSOFT,False,0 days 00:01:36.441000
20,18.0,2.0,8.0,43296,SUPERSOFT,False,0 days 00:01:36.515000
20,19.0,2.0,9.0,48708,SUPERSOFT,False,0 days 00:01:36.631000
20,20.0,2.0,10.0,54120,SUPERSOFT,False,0 days 00:01:36.835000
20,21.0,2.0,11.0,59532,SUPERSOFT,False,0 days 00:01:36.974000
20,22.0,2.0,12.0,64944,SUPERSOFT,False,0 days 00:01:37.324000
20,23.0,2.0,13.0,70356,SUPERSOFT,False,0 days 00:01:36.566000
20,24.0,2.0,14.0,75768,SUPERSOFT,False,0 days 00:01:36.327000
20,25.0,2.0,15.0,81180,SUPERSOFT,False,0 days 00:01:36.180000
20,26.0,2.0,16.0,86592,SUPERSOFT,False,0 days 00:01:36.723000
20,27.0,2.0,17.0,92004,SUPERSOFT,False,0 days 00:01:39.319000
20,28.0,3.0,1.0,5412,SOFT,True,0 days 00:01:56.090000
20,29.0,3.0,2.0,10824,SOFT,True,0 days 00:01:34.327000
20,30.0,3.0,3.0,16236,SOFT,True,0 days 00:01:37.108000
20,31.0,3.0,4.0,21648,SOFT,True,0 days 00:01:36.233000
20,32.0,3.0,5.0,27060,SOFT,True,0 days 00:01:34.788000
20,33.0,3.0,6.0,32472,SOFT,True,0 days 00:01:35.109000
20,34.0,3.0,7.0,37884,SOFT,True,0 days 00:01:35.315000
20,35.0,3.0,8.0,43296,SOFT,True,0 days 00:01:35.319000
20,36.0,3.0,9.0,48708,SOFT,True,0 days 00:01:35.359000
20,37.0,3.0,10.0,54120,SOFT,True,0 days 00:01:35.278000
20,38.0,3.0,11.0,59532,SOFT,True,0 days 00:01:35.072000
20,39.0,3.0,12.0,64944,SOFT,True,0 days 00:01:35.213000
20,40.0,3.0,13.0,70356,SOFT,True,0 days 00:01:35.185000
20,41.0,3.0,14.0,75768,SOFT,True,0 days 00:01:35.206000
20,42.0,3.0,15.0,81180,SOFT,True,0 days 00:01:35.174000
20,43.0,3.0,16.0,86592,SOFT,True,0 days 00:01:35.184000
20,44.0,3.0,17.0,92004,SOFT,True,0 days 00:01:35.137000
20,45.0,3.0,18.0,97416,SOFT,True,0 days 00:01:35.042000
20,46.0,3.0,19.0,102828,SOFT,True,0 days 00:01:35.227000
20,47.0,3.0,20.0,108240,SOFT,True,0 days 00:01:35.234000
20,48.0,3.0,21.0,113652,SOFT,True,0 days 00:01:35.409000
20,49.0,3.0,22.0,119064,SOFT,True,0 days 00:01:35.468000
20,50.0,3.0,23.0,124476,SOFT,True,0 days 00:01:35.479000
20,51.0,3.0,24.0,129888,SOFT,True,0 days 00:01:36.053000
20,52.0,3.0,25.0,135300,SOFT,True,0 days 00:01:35.860000
20,53.0,3.0,26.0,140712,SOFT,True,0 days 00:01:36.016000
20,54.0,3.0,27.0,146124,SOFT,True,0 days 00:01:36.090000
20,55.0,3.0,28.0,151536,SOFT,True,0 days 00:01:36.086000
20,56.0,3.0,29.0,156948,SOFT,True,0 days 00:01:35.717000
20,57.0,3.0,30.0,162360,SOFT,True,0 days 00:01:37.815000
