DriverID,Driver,Team,Year,GranPrix,Location,LapNumber,position,PitInTime,PitOutTime,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime,Best,air_temp,humidity,trackTemp,pressure,wind_speed,wind_direction,NormalizedTireMeters,NormalizedDriverMeters,NormalizedAirTemp,NormalizedHumidity,NormalizedTrackTemp,NormalizedPressure,NormalizedWindSpeed,NormalizedWindDirection
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,1.0,20.0,1,1,1.0,1.0,4361,2,1,4361,126.344,0,14.2,8.4,25.95,511.1,0.8,78.0,0.014824861983628403,0.014070283664145781,0.40226628895184136,0.09375000000000001,0.45367132867132864,0.49995109067788324,0.10126582278481013,0.21666666666666667
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,2.0,20.0,1,1,2.0,1.0,4361,3,1,8722,82.732,0,14.25,8.5,25.95,511.1,0.55,84.0,0.014824861983628403,0.028140567328291562,0.40368271954674223,0.09486607142857144,0.45367132867132864,0.49995109067788324,0.06962025316455696,0.23333333333333334
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,3.0,20.0,1,1,2.0,2.0,8722,3,1,13083,79.835,1,28.5,16.8,52.6,1022.3,2.1,171.0,0.029649723967256805,0.04221085099243734,0.8073654390934845,0.18750000000000003,0.9195804195804196,1.0,0.26582278481012656,0.475
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,4.0,20.0,1,1,2.0,3.0,13083,3,1,17444,79.464,1,14.45,9.2,25.95,511.1,0.55,140.5,0.04447458595088521,0.056281134656583125,0.4093484419263456,0.10267857142857142,0.45367132867132864,0.49995109067788324,0.06962025316455696,0.3902777777777778
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,5.0,20.0,1,1,2.0,4.0,17444,3,1,21805,79.1,1,29.0,17.6,51.9,1022.2,1.6,153.0,0.05929944793451361,0.0703514183207289,0.821529745042493,0.19642857142857145,0.9073426573426573,0.9999021813557665,0.20253164556962025,0.425
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,6.0,20.0,1,1,2.0,5.0,21805,3,1,26166,78.777,1,29.0,18.1,51.8,1022.2,0.7,228.0,0.07412430991814202,0.08442170198487468,0.821529745042493,0.2020089285714286,0.9055944055944055,0.9999021813557665,0.08860759493670885,0.6333333333333333
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,7.0,20.0,1,1,2.0,6.0,26166,3,1,30527,78.661,1,29.1,17.6,51.4,1022.2,0.4,112.0,0.08894917190177042,0.09849198564902047,0.8243626062322947,0.19642857142857145,0.8986013986013985,0.9999021813557665,0.05063291139240506,0.3111111111111111
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,8.0,20.0,1,1,2.0,7.0,30527,3,1,34888,78.535,1,14.6,8.7,25.7,511.15,0.7,65.0,0.10377403388539883,0.11256226931316625,0.4135977337110482,0.09709821428571429,0.44930069930069927,0.5,0.08860759493670885,0.18055555555555555
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,9.0,18.0,1,1,2.0,8.0,34888,3,1,39249,80.542,0,29.2,16.6,51.3,1022.3,1.1,323.0,0.11859889586902722,0.12663255297731202,0.8271954674220964,0.18526785714285718,0.8968531468531468,1.0,0.13924050632911392,0.8972222222222223
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,10.0,18.0,1,1,2.0,9.0,39249,3,1,43610,79.286,0,29.1,16.4,51.2,1022.2,1.2,325.0,0.13342375785265562,0.1407028366414578,0.8243626062322947,0.18303571428571427,0.8951048951048951,0.9999021813557665,0.15189873417721517,0.9027777777777778
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,11.0,18.0,1,1,2.0,10.0,43610,3,1,47971,78.538,0,14.6,8.65,25.65,511.05,0.55,130.0,0.14824861983628404,0.15477312030560358,0.4135977337110482,0.09654017857142858,0.4484265734265734,0.4999021813557664,0.06962025316455696,0.3611111111111111
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,12.0,18.0,1,1,2.0,11.0,47971,3,1,52332,78.086,1,29.2,16.5,51.3,1022.3,0.7,30.0,0.16307348181991244,0.16884340396974937,0.8271954674220964,0.18415178571428573,0.8968531468531468,1.0,0.08860759493670885,0.08333333333333333
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,13.0,18.0,1,1,2.0,12.0,52332,3,1,56693,78.648,0,29.2,17.5,51.1,1022.2,0.8,336.0,0.17789834380354083,0.18291368763389515,0.8271954674220964,0.1953125,0.8933566433566433,0.9999021813557665,0.10126582278481013,0.9333333333333333
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,14.0,18.0,1,1,2.0,13.0,56693,3,1,61054,79.782,0,14.6,8.75,25.6,511.1,0.8,169.0,0.19272320578716923,0.19698397129804093,0.4135977337110482,0.09765625,0.44755244755244755,0.49995109067788324,0.10126582278481013,0.46944444444444444
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,15.0,18.0,1,1,2.0,14.0,61054,3,1,65415,80.417,0,29.4,16.5,51.2,1022.2,1.0,269.0,0.20754806777079765,0.21105425496218672,0.8328611898016998,0.18415178571428573,0.8951048951048951,0.9999021813557665,0.12658227848101264,0.7472222222222222
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,16.0,18.0,1,1,2.0,15.0,65415,3,1,69776,79.632,0,29.6,17.2,51.2,1022.3,1.0,320.0,0.22237292975442605,0.2251245386263325,0.8385269121813033,0.19196428571428573,0.8951048951048951,1.0,0.12658227848101264,0.8888888888888888
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,17.0,18.0,1,1,2.0,16.0,69776,3,1,74137,78.44,0,14.9,7.35,25.75,511.15,0.8,106.0,0.23719779173805444,0.23919482229047828,0.4220963172804533,0.08203125,0.45017482517482516,0.5,0.10126582278481013,0.29444444444444445
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,18.0,18.0,1,1,2.0,17.0,74137,3,1,78498,78.168,0,29.7,15.8,51.2,1022.3,1.5,174.0,0.25202265372168287,0.25326510595462404,0.8413597733711049,0.17633928571428573,0.8951048951048951,1.0,0.18987341772151897,0.48333333333333334
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,19.0,18.0,1,1,2.0,18.0,78498,3,1,82859,78.181,0,29.7,14.7,51.2,1022.1,1.2,262.0,0.26684751570531123,0.26733538961876985,0.8413597733711049,0.1640625,0.8951048951048951,0.9998043627115328,0.15189873417721517,0.7277777777777777
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,20.0,18.0,1,1,2.0,19.0,82859,3,1,87220,77.981,1,14.75,7.4,25.8,511.1,0.85,136.0,0.28167237768893966,0.2814056732829156,0.41784702549575076,0.08258928571428573,0.45104895104895104,0.49995109067788324,0.10759493670886075,0.37777777777777777
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,21.0,18.0,1,1,2.0,20.0,87220,3,1,91581,77.75,1,29.4,16.2,51.3,1022.1,1.5,343.0,0.2964972396725681,0.2954759569470614,0.8328611898016998,0.18080357142857142,0.8968531468531468,0.9998043627115328,0.18987341772151897,0.9527777777777777
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,22.0,18.0,1,1,2.0,21.0,91581,3,1,95942,78.135,0,29.6,15.6,51.3,1022.2,1.4,288.0,0.31132210165619645,0.30954624061120717,0.8385269121813033,0.17410714285714288,0.8968531468531468,0.9999021813557665,0.1772151898734177,0.8
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,23.0,18.0,1,1,2.0,22.0,95942,3,1,100303,78.094,0,29.7,14.9,51.0,1022.1,0.9,314.0,0.32614696363982487,0.323616524275353,0.8413597733711049,0.16629464285714288,0.8916083916083916,0.9998043627115328,0.11392405063291139,0.8722222222222222
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,24.0,18.0,1,1,2.0,23.0,100303,3,1,104664,78.735,0,14.9,8.3,25.4,511.1,0.5,160.5,0.34097182562345324,0.33768680793949873,0.4220963172804533,0.09263392857142859,0.444055944055944,0.49995109067788324,0.06329113924050632,0.44583333333333336
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,25.0,17.0,1,1,2.0,24.0,104664,3,1,109025,79.33,0,29.8,16.3,50.6,1022.2,0.8,336.0,0.35579668760708166,0.35175709160364454,0.8441926345609067,0.18191964285714288,0.8846153846153846,0.9999021813557665,0.10126582278481013,0.9333333333333333
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,26.0,17.0,1,1,2.0,25.0,109025,3,1,113386,79.791,0,29.7,17.0,50.2,1022.1,1.0,61.0,0.3706215495907101,0.3658273752677903,0.8413597733711049,0.18973214285714288,0.8776223776223776,0.9998043627115328,0.12658227848101264,0.16944444444444445
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,27.0,17.0,1,1,2.0,26.0,113386,3,1,117747,80.303,0,14.95,7.8,25.1,511.05,0.4,149.0,0.38544641157433845,0.3798976589319361,0.42351274787535415,0.08705357142857144,0.4388111888111888,0.4999021813557664,0.05063291139240506,0.41388888888888886
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,28.0,17.0,1,1,2.0,27.0,117747,3,1,122108,77.886,0,29.8,15.7,50.3,1022.1,1.0,306.0,0.4002712735579669,0.39396794259608187,0.8441926345609067,0.1752232142857143,0.8793706293706293,0.9998043627115328,0.12658227848101264,0.85
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,29.0,17.0,1,1,2.0,28.0,122108,3,1,126469,77.806,0,29.7,16.4,50.9,1022.1,1.1,358.0,0.4150961355415953,0.4080382262602277,0.8413597733711049,0.18303571428571427,0.8898601398601398,0.9998043627115328,0.13924050632911392,0.9944444444444445
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,30.0,17.0,1,1,2.0,29.0,126469,3,1,130830,77.905,0,14.8,7.95,25.1,511.1,0.5,0.0,0.42992099752522367,0.42210850992437343,0.41926345609065163,0.08872767857142858,0.4388111888111888,0.49995109067788324,0.06329113924050632,0.0
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,31.0,17.0,1,1,2.0,30.0,130830,3,1,135191,77.534,1,29.5,16.0,50.3,1022.1,1.1,221.0,0.4447458595088521,0.43617879358851924,0.8356940509915015,0.17857142857142858,0.8793706293706293,0.9998043627115328,0.13924050632911392,0.6138888888888889
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,32.0,17.0,1,1,2.0,31.0,135191,3,1,139552,77.673,0,29.5,15.8,50.3,1022.2,1.0,330.0,0.45957072149248046,0.450249077252665,0.8356940509915015,0.17633928571428573,0.8793706293706293,0.9999021813557665,0.12658227848101264,0.9166666666666666
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,33.0,17.0,1,1,2.0,32.0,139552,3,1,143913,77.486,1,14.75,8.2,25.15,511.05,0.7,83.5,0.4743955834761089,0.46431936091681075,0.41784702549575076,0.09151785714285714,0.43968531468531463,0.4999021813557664,0.08860759493670885,0.23194444444444445
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,34.0,17.0,1,1,2.0,33.0,143913,3,1,148274,77.927,0,29.5,15.1,51.1,1022.1,1.3,182.0,0.4892204454597373,0.47838964458095656,0.8356940509915015,0.16852678571428573,0.8933566433566433,0.9998043627115328,0.16455696202531644,0.5055555555555555
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,35.0,17.0,1,1,2.0,34.0,148274,3,1,152635,77.45,1,29.5,14.8,51.1,1022.1,1.7,158.0,0.5040453074433657,0.4924599282451023,0.8356940509915015,0.16517857142857145,0.8933566433566433,0.9998043627115328,0.2151898734177215,0.4388888888888889
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,36.0,17.0,1,1,2.0,35.0,152635,3,1,156996,77.915,0,29.4,15.5,51.2,1022.1,1.3,299.0,0.518870169426994,0.5065302119092481,0.8328611898016998,0.17299107142857145,0.8951048951048951,0.9998043627115328,0.16455696202531644,0.8305555555555556
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,37.0,17.0,1,1,2.0,36.0,156996,3,1,161357,78.522,0,14.95,8.05,25.65,511.05,0.45,155.5,0.5336950314106225,0.5206004955733939,0.42351274787535415,0.08984375000000001,0.4484265734265734,0.4999021813557664,0.056962025316455694,0.43194444444444446
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,38.0,17.0,1,1,2.0,37.0,161357,3,1,165718,77.914,0,30.0,15.0,51.1,1022.0,1.5,241.0,0.5485198933942509,0.5346707792375397,0.8498583569405099,0.1674107142857143,0.8933566433566433,0.9997065440672993,0.18987341772151897,0.6694444444444444
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,39.0,16.0,1,1,2.0,38.0,165718,3,1,170079,81.119,0,29.9,16.7,51.0,1022.0,1.3,181.0,0.5633447553778793,0.5487410629016855,0.8470254957507083,0.18638392857142858,0.8916083916083916,0.9997065440672993,0.16455696202531644,0.5027777777777778
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,40.0,16.0,1,1,2.0,39.0,170079,3,1,174440,78.884,0,14.95,8.25,25.4,511.05,0.5,170.0,0.5781696173615077,0.5628113465658312,0.42351274787535415,0.09207589285714286,0.444055944055944,0.4999021813557664,0.06329113924050632,0.4722222222222222
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,41.0,16.0,1,1,2.0,40.0,174440,3,1,178801,79.334,0,30.0,14.6,50.6,1022.0,1.3,159.0,0.5929944793451362,0.5768816302299771,0.8498583569405099,0.16294642857142858,0.8846153846153846,0.9997065440672993,0.16455696202531644,0.44166666666666665
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,42.0,16.0,1,1,2.0,41.0,178801,3,1,183162,77.58,0,29.9,15.9,50.6,1022.0,1.0,159.0,0.6078193413287645,0.5909519138941228,0.8470254957507083,0.17745535714285715,0.8846153846153846,0.9997065440672993,0.12658227848101264,0.44166666666666665
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,43.0,16.0,1,1,2.0,42.0,183162,3,1,187523,77.454,0,14.95,7.6,25.5,511.0,0.35,158.0,0.6226442033123929,0.6050221975582686,0.42351274787535415,0.08482142857142858,0.4458041958041958,0.49985327203364965,0.044303797468354424,0.4388888888888889
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,44.0,16.0,1,1,2.0,43.0,187523,3,1,191884,77.275,1,29.9,15.3,50.8,1022.0,0.9,217.0,0.6374690652960213,0.6190924812224143,0.8470254957507083,0.1707589285714286,0.888111888111888,0.9997065440672993,0.11392405063291139,0.6027777777777777
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,45.0,16.0,1,1,2.0,44.0,191884,3,1,196245,77.36,0,29.9,14.9,50.7,1021.9,1.5,346.0,0.6522939272796497,0.6331627648865602,0.8470254957507083,0.16629464285714288,0.8863636363636364,0.9996087254230657,0.18987341772151897,0.9611111111111111
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,46.0,16.0,1,1,2.0,45.0,196245,3,1,200606,77.198,1,30.0,15.3,51.0,1021.9,1.7,179.0,0.6671187892632782,0.647233048550706,0.8498583569405099,0.1707589285714286,0.8916083916083916,0.9996087254230657,0.2151898734177215,0.49722222222222223
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,47.0,16.0,1,1,2.0,46.0,200606,3,1,204967,77.151,1,15.15,7.4,25.35,510.95,0.65,87.5,0.6819436512469065,0.6613033322148517,0.42917847025495753,0.08258928571428573,0.4431818181818182,0.49980436271153283,0.08227848101265822,0.24305555555555555
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,48.0,16.0,1,1,2.0,47.0,204967,3,1,209328,78.957,0,30.0,13.5,51.2,1021.9,2.3,307.0,0.6967685132305349,0.6753736158789975,0.8498583569405099,0.15066964285714288,0.8951048951048951,0.9996087254230657,0.29113924050632906,0.8527777777777777
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,49.0,16.0,1,1,2.0,48.0,209328,3,1,213689,78.586,0,30.0,16.0,51.2,1021.8,1.5,294.0,0.7115933752141633,0.6894438995431432,0.8498583569405099,0.17857142857142858,0.8951048951048951,0.999510906778832,0.18987341772151897,0.8166666666666667
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,50.0,16.0,1,1,2.0,49.0,213689,3,1,218050,77.75,0,15.1,8.1,25.4,510.9,0.75,163.5,0.7264182371977917,0.7035141832072891,0.42776203966005666,0.09040178571428571,0.444055944055944,0.499755453389416,0.09493670886075949,0.45416666666666666
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,51.0,16.0,1,1,2.0,50.0,218050,3,1,222411,77.892,0,30.0,14.8,50.6,1021.9,1.7,31.0,0.7412430991814202,0.7175844668714348,0.8498583569405099,0.16517857142857145,0.8846153846153846,0.9996087254230657,0.2151898734177215,0.08611111111111111
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,52.0,16.0,1,1,2.0,51.0,222411,3,1,226772,77.733,0,29.9,15.0,50.2,1021.8,1.1,341.0,0.7560679611650486,0.7316547505355806,0.8470254957507083,0.1674107142857143,0.8776223776223776,0.999510906778832,0.13924050632911392,0.9472222222222222
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,53.0,16.0,1,1,2.0,52.0,226772,3,1,231133,78.038,0,15.0,8.55,24.95,510.85,0.65,160.5,0.7708928231486769,0.7457250341997264,0.42492917847025496,0.09542410714285715,0.43618881118881114,0.49970654406729925,0.08227848101265822,0.44583333333333336
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,54.0,16.0,1,1,2.0,53.0,231133,3,1,235494,77.943,0,30.0,16.7,49.6,1021.9,1.9,335.0,0.7857176851323053,0.7597953178638722,0.8498583569405099,0.18638392857142858,0.8671328671328671,0.9996087254230657,0.24050632911392403,0.9305555555555556
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,55.0,16.0,1,1,2.0,54.0,235494,3,1,239855,79.855,0,29.8,17.1,49.5,1021.9,2.2,313.0,0.8005425471159338,0.773865601528018,0.8441926345609067,0.1908482142857143,0.8653846153846153,0.9996087254230657,0.27848101265822783,0.8694444444444445
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,56.0,16.0,1,1,2.0,55.0,239855,3,1,244216,79.4,0,14.9,7.4,25.35,510.95,0.55,9.5,0.8153674090995622,0.7879358851921637,0.4220963172804533,0.08258928571428573,0.4431818181818182,0.49980436271153283,0.06962025316455696,0.02638888888888889
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,57.0,16.0,1,1,2.0,56.0,244216,3,1,248577,78.168,0,30.0,15.8,50.7,1021.8,1.1,322.0,0.8301922710831906,0.8020061688563095,0.8498583569405099,0.17633928571428573,0.8863636363636364,0.999510906778832,0.13924050632911392,0.8944444444444445
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,58.0,16.0,1,1,2.0,57.0,248577,3,1,252938,79.714,0,30.0,15.4,51.0,1021.8,1.4,0.0,0.8450171330668189,0.8160764525204554,0.8498583569405099,0.17187500000000003,0.8916083916083916,0.999510906778832,0.1772151898734177,0.0
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,59.0,16.0,1,1,2.0,58.0,252938,3,1,257299,79.707,0,30.2,16.9,50.4,1021.7,1.3,296.0,0.8598419950504473,0.8301467361846011,0.8555240793201133,0.18861607142857142,0.881118881118881,0.9994130881345985,0.16455696202531644,0.8222222222222222
23,ALB,Toro Rosso,2019,Canadian Grand Prix,Montréal,60.0,16.0,1,1,2.0,59.0,257299,3,1,261660,,0,15.05,7.6,25.15,510.85,0.75,165.0,0.8746668570340758,0.8442170198487469,0.42634560906515584,0.08482142857142858,0.43968531468531463,0.49970654406729925,0.09493670886075949,0.4583333333333333
