Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
26,1.0,1.0,1.0,5451,MEDIUM,True,0 days 00:02:06.639000
26,2.0,1.0,2.0,10902,MEDIUM,True,0 days 00:01:44.240000
26,3.0,1.0,3.0,16353,MEDIUM,True,0 days 00:01:40.910000
26,4.0,1.0,4.0,21804,MEDIUM,True,0 days 00:01:40.651000
26,5.0,1.0,5.0,27255,MEDIUM,True,0 days 00:01:41.846000
26,6.0,1.0,6.0,32706,MEDIUM,True,0 days 00:01:41.473000
26,7.0,1.0,7.0,38157,MEDIUM,True,0 days 00:01:46.599000
26,8.0,2.0,8.0,43608,MEDIUM,False,0 days 00:01:53.099000
26,9.0,2.0,9.0,49059,MEDIUM,False,0 days 00:01:40.154000
26,10.0,2.0,10.0,54510,MEDIUM,False,0 days 00:01:40.187000
26,11.0,2.0,11.0,59961,MEDIUM,False,0 days 00:01:40.536000
26,12.0,2.0,12.0,65412,MEDIUM,False,0 days 00:01:40.527000
26,13.0,2.0,13.0,70863,MEDIUM,False,0 days 00:01:40.044000
26,14.0,2.0,14.0,76314,MEDIUM,False,0 days 00:01:40.075000
26,15.0,2.0,15.0,81765,MEDIUM,False,0 days 00:01:40.126000
26,16.0,2.0,16.0,87216,MEDIUM,False,0 days 00:01:40.712000
26,17.0,2.0,17.0,92667,MEDIUM,False,0 days 00:01:40.874000
26,18.0,2.0,18.0,98118,MEDIUM,False,0 days 00:01:40.315000
26,19.0,2.0,19.0,103569,MEDIUM,False,0 days 00:01:40.209000
26,20.0,2.0,20.0,109020,MEDIUM,False,0 days 00:01:40.441000
26,21.0,2.0,21.0,114471,MEDIUM,False,0 days 00:01:41.296000
26,22.0,2.0,22.0,119922,MEDIUM,False,0 days 00:01:42.128000
26,23.0,2.0,23.0,125373,MEDIUM,False,0 days 00:01:41.067000
26,24.0,2.0,24.0,130824,MEDIUM,False,0 days 00:01:41.357000
26,25.0,2.0,25.0,136275,MEDIUM,False,0 days 00:01:45.954000
26,26.0,3.0,1.0,5451,HARD,True,0 days 00:02:01.104000
26,27.0,3.0,2.0,10902,HARD,True,0 days 00:01:37.975000
26,28.0,3.0,3.0,16353,HARD,True,0 days 00:01:38.439000
26,29.0,3.0,4.0,21804,HARD,True,0 days 00:01:38.506000
26,30.0,3.0,5.0,27255,HARD,True,0 days 00:01:42.940000
26,31.0,4.0,1.0,5451,SOFT,True,0 days 00:02:17.854000
26,32.0,4.0,2.0,10902,SOFT,True,0 days 00:01:38.245000
26,33.0,4.0,3.0,16353,SOFT,True,0 days 00:01:38.926000
26,34.0,4.0,4.0,21804,SOFT,True,0 days 00:01:39.012000
26,35.0,4.0,5.0,27255,SOFT,True,0 days 00:01:38.509000
26,36.0,4.0,6.0,32706,SOFT,True,0 days 00:01:38.495000
26,37.0,4.0,7.0,38157,SOFT,True,0 days 00:01:38.691000
26,38.0,4.0,8.0,43608,SOFT,True,0 days 00:01:38.506000
26,39.0,4.0,9.0,49059,SOFT,True,0 days 00:01:38.620000
26,40.0,4.0,10.0,54510,SOFT,True,0 days 00:01:38.809000
26,41.0,4.0,11.0,59961,SOFT,True,0 days 00:01:47.185000
