DriverID,Driver,Team,Year,GranPrix,Location,LapNumber,position,PitInTime,PitOutTime,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime,Best,air_temp,humidity,trackTemp,pressure,wind_speed,wind_direction,NormalizedTireMeters,NormalizedDriverMeters,NormalizedAirTemp,NormalizedHumidity,NormalizedTrackTemp,NormalizedPressure,NormalizedWindSpeed,NormalizedWindDirection
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,1.0,9.0,1,1,1.0,4.0,18628,1,0,4657,93.892,0,9.9,28.95,20.9,503.5,0.75,80.0,0.0633243588697615,0.015025294891980488,0.2804532577903683,0.3231026785714286,0.36538461538461536,0.49251687371613034,0.09493670886075949,0.2222222222222222
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,2.0,9.0,1,1,1.0,5.0,23285,1,0,9314,85.634,1,19.7,58.7,41.8,1007.0,2.2,95.0,0.07915544858720187,0.030050589783960975,0.5580736543909348,0.6551339285714286,0.7307692307692307,0.9850337474322607,0.27848101265822783,0.2638888888888889
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,3.0,9.0,1,1,1.0,6.0,27942,1,0,13971,84.954,1,9.9,29.05,20.9,503.55,1.5,14.0,0.09498653830464225,0.04507588467594146,0.2804532577903683,0.32421875000000006,0.36538461538461536,0.4925657830382471,0.18987341772151897,0.03888888888888889
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,4.0,9.0,1,1,1.0,7.0,32599,1,0,18628,84.568,1,19.8,57.5,41.8,1007.1,1.5,178.0,0.11081762802208261,0.06010117956792195,0.5609065155807366,0.6417410714285715,0.7307692307692307,0.9851315660764942,0.18987341772151897,0.49444444444444446
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,5.0,9.0,1,1,1.0,8.0,37256,1,0,23285,84.806,0,9.75,30.25,20.65,503.5,1.35,6.0,0.126648717739523,0.07512647445990243,0.27620396600566577,0.33761160714285715,0.361013986013986,0.49251687371613034,0.17088607594936708,0.016666666666666666
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,6.0,9.0,1,1,1.0,9.0,41913,1,0,27942,84.499,1,19.7,59.6,41.3,1007.0,2.5,355.0,0.14247980745696337,0.09015176935188292,0.5580736543909348,0.6651785714285715,0.722027972027972,0.9850337474322607,0.3164556962025316,0.9861111111111112
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,7.0,9.0,1,1,1.0,10.0,46570,1,0,32599,84.285,1,19.8,59.1,41.4,1007.1,2.3,6.0,0.15831089717440375,0.1051770642438634,0.5609065155807366,0.6595982142857143,0.7237762237762237,0.9851315660764942,0.29113924050632906,0.016666666666666666
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,8.0,9.0,1,1,1.0,11.0,51227,1,0,37256,84.177,1,10.0,29.15,20.6,503.5,1.3,173.0,0.17414198689184412,0.1202023591358439,0.28328611898017,0.32533482142857145,0.36013986013986016,0.49251687371613034,0.16455696202531644,0.48055555555555557
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,9.0,9.0,1,1,1.0,12.0,55884,1,0,41913,84.339,0,20.2,57.8,41.6,1007.0,2.2,63.0,0.1899730766092845,0.13522765402782438,0.5722379603399433,0.6450892857142857,0.7272727272727273,0.9850337474322607,0.27848101265822783,0.175
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,10.0,9.0,1,1,1.0,13.0,60541,1,0,46570,84.289,0,9.95,29.7,20.6,503.45,0.95,13.0,0.20580416632672485,0.15025294891980487,0.2818696883852691,0.3314732142857143,0.36013986013986016,0.4924679643940135,0.12025316455696201,0.03611111111111111
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,11.0,9.0,1,1,1.0,14.0,65198,1,0,51227,84.163,1,20.2,58.7,41.3,1006.9,2.4,27.0,0.22163525604416523,0.16527824381178535,0.5722379603399433,0.6551339285714286,0.722027972027972,0.984935928788027,0.30379746835443033,0.075
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,12.0,9.0,1,1,1.0,15.0,69855,1,0,55884,83.798,1,20.3,58.9,41.4,1006.9,3.7,33.0,0.2374663457616056,0.18030353870376584,0.5750708215297451,0.6573660714285715,0.7237762237762237,0.984935928788027,0.46835443037974683,0.09166666666666666
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,13.0,9.0,1,1,1.0,16.0,74512,1,0,60541,84.082,0,10.15,28.65,20.55,503.4,1.45,13.5,0.253297435479046,0.19532883359574632,0.28753541076487255,0.3197544642857143,0.35926573426573427,0.4924190550718967,0.18354430379746833,0.0375
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,14.0,9.0,1,1,1.0,17.0,79169,1,0,65198,84.499,0,20.2,57.4,40.9,1006.9,2.9,11.0,0.26912852519648633,0.2103541284877268,0.5722379603399433,0.640625,0.715034965034965,0.984935928788027,0.36708860759493667,0.030555555555555555
26,KVY,Toro Rosso,2019,Spanish Grand Prix,Barcelona,15.0,9.0,1,1,1.0,18.0,83826,1,0,69855,83.979,0,10.05,28.7,20.45,503.45,1.0,12.0,0.28495961491392674,0.2253794233797073,0.28470254957507085,0.3203125,0.3575174825174825,0.4924679643940135,0.12658227848101264,0.03333333333333333
