Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
27,1.0,1.0,4.0,23172,SOFT,False,0 days 00:01:29.232000
27,2.0,1.0,5.0,28965,SOFT,False,0 days 00:01:26.920000
27,3.0,1.0,6.0,34758,SOFT,False,0 days 00:01:26.026000
27,4.0,1.0,7.0,40551,SOFT,False,0 days 00:01:26.031000
27,5.0,1.0,8.0,46344,SOFT,False,0 days 00:01:26.743000
27,6.0,1.0,9.0,52137,SOFT,False,0 days 00:01:26.331000
27,7.0,1.0,10.0,57930,SOFT,False,0 days 00:01:26.090000
27,8.0,1.0,11.0,63723,SOFT,False,0 days 00:01:26.133000
27,9.0,1.0,12.0,69516,SOFT,False,0 days 00:01:26.024000
27,10.0,1.0,13.0,75309,SOFT,False,0 days 00:01:25.934000
27,11.0,1.0,14.0,81102,SOFT,False,0 days 00:01:25.681000
27,12.0,1.0,15.0,86895,SOFT,False,0 days 00:01:25.713000
27,13.0,1.0,16.0,92688,SOFT,False,0 days 00:01:25.721000
27,14.0,1.0,17.0,98481,SOFT,False,0 days 00:01:25.806000
27,15.0,1.0,18.0,104274,SOFT,False,0 days 00:01:25.671000
27,16.0,1.0,19.0,110067,SOFT,False,0 days 00:01:25.539000
27,17.0,1.0,20.0,115860,SOFT,False,0 days 00:01:25.565000
27,18.0,1.0,21.0,121653,SOFT,False,0 days 00:01:25.790000
27,19.0,1.0,22.0,127446,SOFT,False,0 days 00:01:25.585000
27,20.0,1.0,23.0,133239,SOFT,False,0 days 00:01:25.563000
27,21.0,1.0,24.0,139032,SOFT,False,0 days 00:01:25.797000
27,22.0,1.0,25.0,144825,SOFT,False,0 days 00:01:25.930000
27,23.0,1.0,26.0,150618,SOFT,False,0 days 00:01:27.736000
27,24.0,1.0,27.0,156411,SOFT,False,0 days 00:01:25.965000
27,25.0,1.0,28.0,162204,SOFT,False,0 days 00:01:25.862000
27,26.0,1.0,29.0,167997,SOFT,False,0 days 00:01:25.758000
27,27.0,1.0,30.0,173790,SOFT,False,0 days 00:01:25.726000
27,28.0,1.0,31.0,179583,SOFT,False,0 days 00:01:27.756000
27,29.0,1.0,32.0,185376,SOFT,False,0 days 00:01:43.757000
27,30.0,2.0,1.0,5793,MEDIUM,True,0 days 00:02:00.021000
27,31.0,2.0,2.0,11586,MEDIUM,True,0 days 00:01:33.766000
27,32.0,2.0,3.0,17379,MEDIUM,True,0 days 00:01:25.180000
27,33.0,2.0,4.0,23172,MEDIUM,True,0 days 00:01:25.322000
27,34.0,2.0,5.0,28965,MEDIUM,True,0 days 00:01:25.185000
27,35.0,2.0,6.0,34758,MEDIUM,True,0 days 00:01:24.757000
27,36.0,2.0,7.0,40551,MEDIUM,True,0 days 00:01:24.768000
27,37.0,2.0,8.0,46344,MEDIUM,True,0 days 00:01:24.891000
27,38.0,2.0,9.0,52137,MEDIUM,True,0 days 00:01:24.730000
27,39.0,2.0,10.0,57930,MEDIUM,True,0 days 00:01:24.291000
27,40.0,2.0,11.0,63723,MEDIUM,True,0 days 00:01:24.361000
27,41.0,2.0,12.0,69516,MEDIUM,True,0 days 00:01:24.351000
27,42.0,2.0,13.0,75309,MEDIUM,True,0 days 00:01:24.093000
27,43.0,2.0,14.0,81102,MEDIUM,True,0 days 00:01:23.813000
27,44.0,2.0,15.0,86895,MEDIUM,True,0 days 00:01:23.878000
27,45.0,2.0,16.0,92688,MEDIUM,True,0 days 00:01:23.943000
27,46.0,2.0,17.0,98481,MEDIUM,True,0 days 00:01:24.018000
27,47.0,2.0,18.0,104274,MEDIUM,True,0 days 00:01:24.007000
27,48.0,2.0,19.0,110067,MEDIUM,True,0 days 00:01:24.132000
27,49.0,2.0,20.0,115860,MEDIUM,True,0 days 00:01:24.061000
27,50.0,2.0,21.0,121653,MEDIUM,True,0 days 00:01:23.835000
27,51.0,2.0,22.0,127446,MEDIUM,True,0 days 00:01:23.742000
27,52.0,2.0,23.0,133239,MEDIUM,True,0 days 00:01:23.659000
27,53.0,2.0,24.0,139032,MEDIUM,True,0 days 00:01:23.641000
