DriverID,Driver,Year,GranPrix,Location,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime,NormalizedTireMeters,NormalizedDriverMeters
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,1.0,1.0,1.0,5281,SUPERSOFT,1,5281,0 days 00:02:45.473000,0.017724926327943022,0.01703856180471311
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,2.0,1.0,2.0,10562,SUPERSOFT,1,10562,,0.035449852655886044,0.03407712360942622
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,3.0,1.0,3.0,15843,SUPERSOFT,1,15843,,0.053174778983829066,0.05111568541413933
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,4.0,1.0,4.0,21124,SUPERSOFT,1,21124,,0.07089970531177209,0.06815424721885244
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,5.0,1.0,5.0,26405,SUPERSOFT,1,26405,0 days 00:01:49.545000,0.08862463163971511,0.08519280902356555
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,6.0,1.0,6.0,31686,SUPERSOFT,1,31686,0 days 00:01:49.092000,0.10634955796765813,0.10223137082827866
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,7.0,1.0,7.0,36967,SUPERSOFT,1,36967,0 days 00:02:15.522000,0.12407448429560115,0.11926993263299177
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,8.0,1.0,8.0,42248,SUPERSOFT,1,42248,0 days 00:02:10.457000,0.14179941062354418,0.13630849443770487
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,9.0,1.0,9.0,47529,SUPERSOFT,1,47529,0 days 00:01:47.635000,0.1595243369514872,0.15334705624241798
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,10.0,1.0,10.0,52810,SUPERSOFT,1,52810,0 days 00:01:47.693000,0.17724926327943022,0.1703856180471311
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,11.0,1.0,11.0,58091,SUPERSOFT,1,58091,0 days 00:01:47.885000,0.19497418960737325,0.1874241798518442
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,12.0,1.0,12.0,63372,SUPERSOFT,1,63372,0 days 00:01:47.811000,0.21269911593531626,0.2044627416565573
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,13.0,1.0,13.0,68653,SUPERSOFT,1,68653,0 days 00:01:47.827000,0.2304240422632593,0.22150130346127042
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,14.0,1.0,14.0,73934,SUPERSOFT,1,73934,0 days 00:01:47.923000,0.2481489685912023,0.23853986526598353
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,15.0,1.0,15.0,79215,SUPERSOFT,1,79215,0 days 00:01:47.766000,0.2658738949191453,0.25557842707069667
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,16.0,1.0,16.0,84496,SUPERSOFT,1,84496,0 days 00:01:47.652000,0.28359882124708835,0.27261698887540975
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,17.0,1.0,17.0,89777,SUPERSOFT,1,89777,0 days 00:01:47.899000,0.3013237475750314,0.2896555506801229
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,18.0,1.0,18.0,95058,SUPERSOFT,1,95058,0 days 00:01:47.504000,0.3190486739029744,0.30669411248483597
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,19.0,1.0,19.0,100339,SUPERSOFT,1,100339,0 days 00:01:47.404000,0.3367736002309174,0.3237326742895491
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,20.0,1.0,20.0,105620,SUPERSOFT,1,105620,0 days 00:01:47.669000,0.35449852655886044,0.3407712360942622
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,21.0,1.0,21.0,110901,SUPERSOFT,1,110901,0 days 00:01:47.695000,0.3722234528868035,0.3578097978989753
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,22.0,1.0,22.0,116182,SUPERSOFT,1,116182,0 days 00:01:47.224000,0.3899483792147465,0.3748483597036884
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,23.0,1.0,23.0,121463,SUPERSOFT,1,121463,0 days 00:01:47.300000,0.4076733055426895,0.39188692150840154
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,24.0,1.0,24.0,126744,SUPERSOFT,1,126744,0 days 00:01:47.101000,0.4253982318706325,0.4089254833131146
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,25.0,1.0,25.0,132025,SUPERSOFT,1,132025,0 days 00:01:47.127000,0.44312315819857556,0.42596404511782776
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,26.0,1.0,26.0,137306,SUPERSOFT,1,137306,0 days 00:01:47.422000,0.4608480845265186,0.44300260692254084
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,27.0,1.0,27.0,142587,SUPERSOFT,1,142587,0 days 00:01:47.879000,0.47857301085446163,0.460041168727254
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,28.0,1.0,28.0,147868,SUPERSOFT,1,147868,0 days 00:01:46.293000,0.4962979371824046,0.47707973053196706
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,29.0,1.0,29.0,153149,SUPERSOFT,1,153149,0 days 00:01:46.663000,0.5140228635103476,0.4941182923366802
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,30.0,1.0,30.0,158430,SUPERSOFT,1,158430,0 days 00:01:47.472000,0.5317477898382906,0.5111568541413933
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,31.0,1.0,31.0,163711,SUPERSOFT,1,163711,0 days 00:01:48.795000,0.5494727161662337,0.5281954159461064
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,32.0,1.0,32.0,168992,SUPERSOFT,1,168992,0 days 00:01:47.487000,0.5671976424941767,0.5452339777508195
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,33.0,1.0,33.0,174273,SUPERSOFT,1,174273,0 days 00:01:46.302000,0.5849225688221198,0.5622725395555326
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,34.0,1.0,34.0,179554,SUPERSOFT,1,179554,0 days 00:01:46.990000,0.6026474951500628,0.5793111013602458
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,35.0,1.0,35.0,184835,SUPERSOFT,1,184835,0 days 00:01:49.180000,0.6203724214780058,0.5963496631649589
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,36.0,2.0,1.0,5281,ULTRASOFT,1,190116,0 days 00:02:06.769000,0.017724926327943022,0.6133882249696719
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,37.0,2.0,2.0,10562,ULTRASOFT,1,195397,0 days 00:01:45.115000,0.035449852655886044,0.630426786774385
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,38.0,2.0,3.0,15843,ULTRASOFT,1,200678,0 days 00:01:44.890000,0.053174778983829066,0.6474653485790982
2,VAN,2018,Abu Dhabi Grand Prix,Yas Marina,39.0,2.0,4.0,21124,ULTRASOFT,1,205959,0 days 00:01:45.256000,0.07089970531177209,0.6645039103838113
