Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
2,1.0,,,0,nan,True,0 days 00:01:47.419000
2,2.0,1.0,1.0,5891,SOFT,True,0 days 00:01:38.833000
2,3.0,1.0,2.0,11782,SOFT,True,0 days 00:01:36.697000
2,4.0,1.0,3.0,17673,SOFT,True,0 days 00:01:36.442000
2,5.0,1.0,4.0,23564,SOFT,True,0 days 00:01:36.567000
2,6.0,1.0,5.0,29455,SOFT,True,0 days 00:01:36.050000
2,7.0,1.0,6.0,35346,SOFT,True,0 days 00:01:36.372000
2,8.0,1.0,7.0,41237,SOFT,True,0 days 00:01:35.898000
2,9.0,1.0,8.0,47128,SOFT,True,0 days 00:01:36.205000
2,10.0,1.0,9.0,53019,SOFT,True,0 days 00:01:36.222000
2,11.0,1.0,10.0,58910,SOFT,True,0 days 00:01:35.978000
2,12.0,1.0,11.0,64801,SOFT,True,0 days 00:01:36.190000
2,13.0,1.0,12.0,70692,SOFT,True,0 days 00:01:36.431000
2,14.0,1.0,13.0,76583,SOFT,True,0 days 00:01:36.188000
2,15.0,1.0,14.0,82474,SOFT,True,0 days 00:01:35.890000
2,16.0,1.0,15.0,88365,SOFT,True,0 days 00:01:35.508000
2,17.0,1.0,16.0,94256,SOFT,True,0 days 00:01:35.991000
2,18.0,1.0,17.0,100147,SOFT,True,0 days 00:01:35.189000
2,19.0,1.0,18.0,106038,SOFT,True,0 days 00:01:35.310000
2,20.0,1.0,19.0,111929,SOFT,True,0 days 00:01:35.413000
2,21.0,1.0,20.0,117820,SOFT,True,0 days 00:01:36.554000
2,22.0,2.0,1.0,5891,MEDIUM,True,0 days 00:01:54.184000
2,23.0,2.0,2.0,11782,MEDIUM,True,0 days 00:01:34.872000
2,24.0,2.0,3.0,17673,MEDIUM,True,0 days 00:01:34.606000
2,25.0,2.0,4.0,23564,MEDIUM,True,0 days 00:01:35.785000
2,26.0,2.0,5.0,29455,MEDIUM,True,0 days 00:01:35.116000
2,27.0,2.0,6.0,35346,MEDIUM,True,0 days 00:01:34.857000
2,28.0,2.0,7.0,41237,MEDIUM,True,0 days 00:01:34.623000
2,29.0,2.0,8.0,47128,MEDIUM,True,0 days 00:01:34.745000
2,30.0,2.0,9.0,53019,MEDIUM,True,0 days 00:01:34.685000
2,31.0,2.0,10.0,58910,MEDIUM,True,0 days 00:01:34.767000
2,32.0,2.0,11.0,64801,MEDIUM,True,0 days 00:01:56.054000
2,33.0,2.0,12.0,70692,MEDIUM,True,0 days 00:02:07.313000
2,34.0,3.0,1.0,5891,SOFT,True,0 days 00:02:01.321000
2,35.0,3.0,2.0,11782,SOFT,True,0 days 00:01:38.033000
2,36.0,3.0,3.0,17673,SOFT,True,0 days 00:02:05.341000
2,37.0,3.0,4.0,23564,SOFT,True,0 days 00:02:10.921000
2,38.0,3.0,5.0,29455,SOFT,True,0 days 00:01:45.369000
2,39.0,3.0,6.0,35346,SOFT,True,0 days 00:02:22.129000
2,40.0,3.0,7.0,41237,SOFT,True,0 days 00:02:25.081000
2,41.0,3.0,8.0,47128,SOFT,True,0 days 00:02:15.863000
2,42.0,3.0,9.0,53019,SOFT,True,0 days 00:01:36.691000
2,43.0,3.0,10.0,58910,SOFT,True,0 days 00:01:34.634000
2,44.0,3.0,11.0,64801,SOFT,True,0 days 00:01:34.098000
2,45.0,3.0,12.0,70692,SOFT,True,0 days 00:01:34.239000
2,46.0,3.0,13.0,76583,SOFT,True,0 days 00:01:34.029000
2,47.0,3.0,14.0,82474,SOFT,True,0 days 00:01:34.145000
2,48.0,3.0,15.0,88365,SOFT,True,0 days 00:01:33.551000
2,49.0,3.0,16.0,94256,SOFT,True,0 days 00:01:33.838000
2,50.0,3.0,17.0,100147,SOFT,True,0 days 00:01:34.713000
2,51.0,3.0,18.0,106038,SOFT,True,0 days 00:01:34.952000
2,52.0,3.0,19.0,111929,SOFT,True,0 days 00:01:33.656000
