DriverID,#Driver,Team,Year,GranPrix,#Location,LapNumber,position,PitInTime,PitOutTime,Stint,TireLife,#TireMeters,Compound,IsFreshTire,#DriverMeters,LapTime,Best,air_temp_avg,humidity_avg,trackTemp_AVG,pressure_avg,wind_speed_avg,wind_direction_avg,NormalizedTireMeters,NormalizedDriverMeters
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,1.0,19.0,1,1,1.0,1.0,4909,3,1,4909,93.076,0,12.5,25.5,22.65,503.4,1.5,68.0,0.015726111303322698,0.015832930172552814
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,2.0,19.0,1,1,1.0,2.0,9818,3,1,9818,84.242,1,25.0,50.0,45.5,1006.8,2.5,138.0,0.031452222606645396,0.03166586034510563
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,3.0,19.0,1,1,1.0,3.0,14727,3,1,14727,82.784,1,25.1,50.0,45.3,1006.9,3.4,121.0,0.04717833390996809,0.04749879051765844
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,4.0,19.0,1,1,1.0,4.0,19636,3,1,19636,82.99,0,12.55,25.0,22.45,503.45,1.55,68.5,0.06290444521329079,0.06333172069021126
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,5.0,19.0,1,1,1.0,5.0,24545,3,1,24545,82.702,1,25.3,51.0,43.6,1006.8,4.2,141.0,0.07863055651661349,0.07916465086276407
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,6.0,19.0,1,1,1.0,6.0,29454,3,1,29454,82.755,0,12.65,25.5,20.85,503.4,1.7,67.5,0.09435666781993618,0.09499758103531689
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,7.0,19.0,1,1,1.0,7.0,34363,3,1,34363,82.978,0,25.1,52.0,40.7,1006.9,2.9,116.0,0.11008277912325888,0.1108305112078697
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,8.0,17.0,1,1,1.0,8.0,39272,3,1,39272,82.776,0,25.0,51.0,40.5,1006.8,1.9,137.0,0.12580889042658158,0.12666344138042251
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,9.0,16.0,1,1,1.0,9.0,44181,3,1,44181,83.268,0,12.45,25.5,20.05,503.4,1.25,58.5,0.14153500172990427,0.14249637155297531
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,10.0,16.0,1,1,1.0,10.0,49090,3,1,49090,83.239,0,24.9,51.0,40.1,1006.8,1.5,131.0,0.15726111303322698,0.15832930172552814
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,11.0,16.0,1,1,1.0,11.0,53999,3,1,53999,83.211,0,12.35,25.0,19.7,503.4,0.65,66.5,0.17298722433654967,0.17416223189808094
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,12.0,15.0,1,1,1.0,12.0,58908,3,1,58908,83.349,0,24.8,49.0,39.4,1006.8,3.4,144.0,0.18871333563987236,0.18999516207063377
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,13.0,14.0,1,1,1.0,13.0,63817,3,1,63817,83.581,0,25.0,49.0,39.8,1006.8,2.3,99.0,0.20443944694319507,0.20582809224318657
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,14.0,13.0,1,1,1.0,14.0,68726,3,1,68726,83.012,0,12.55,24.5,20.5,503.35,1.2,82.0,0.22016555824651776,0.2216610224157394
2,SAR,Williams,2024,Emilia Romagna Grand Prix,Imola,15.0,13.0,1,1,1.0,15.0,73635,3,1,73635,83.038,0,25.2,49.0,41.3,1006.6,2.6,119.0,0.23589166954984048,0.2374939525882922
