DriverID,#Driver,Team,Year,GranPrix,#Location,LapNumber,position,PitInTime,PitOutTime,Stint,TireLife,#TireMeters,Compound,IsFreshTire,#DriverMeters,LapTime,Best,air_temp_avg,humidity_avg,trackTemp_AVG,pressure_avg,wind_speed_avg,wind_direction_avg,NormalizedTireMeters,NormalizedDriverMeters
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,1.0,2.0,1,1,1.0,1.0,4259,1,1,4259,92.227,0,17.6,67.0,29.5,1007.7,1.8,135.0,0.013643819116082985,0.013736494113852605
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,2.0,1.0,1,1,1.0,2.0,8518,1,1,8518,107.848,1,8.7,34.0,14.25,503.85,1.1,76.0,0.02728763823216597,0.02747298822770521
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,3.0,10.0,1,1,1.0,3.0,12777,1,1,12777,115.144,0,8.45,35.0,13.1,503.85,0.9,80.0,0.040931457348248955,0.041209482341557815
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,4.0,15.0,1,1,2.0,1.0,4259,1,1,17036,107.537,0,8.2,34.0,12.4,503.85,0.85,75.0,0.013643819116082985,0.05494597645541042
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,5.0,12.0,1,1,2.0,2.0,8518,1,1,21295,83.686,1,16.2,67.0,24.6,1007.7,1.8,152.0,0.02728763823216597,0.06868247056926302
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,6.0,12.0,1,1,2.0,3.0,12777,1,1,25554,82.403,1,8.15,34.0,12.15,503.85,1.0,87.5,0.040931457348248955,0.08241896468311563
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,7.0,12.0,1,1,2.0,4.0,17036,1,1,29813,83.048,0,16.4,70.0,24.2,1007.7,1.8,143.0,0.05457527646433194,0.09615545879696823
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,8.0,12.0,1,1,2.0,5.0,21295,1,1,34072,85.236,0,16.5,71.0,24.1,1007.7,1.8,130.0,0.06821909558041492,0.10989195291082084
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,9.0,11.0,1,1,2.0,6.0,25554,1,1,38331,84.392,0,8.25,35.5,12.05,503.75,0.9,79.5,0.08186291469649791,0.12362844702467345
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,10.0,10.0,1,1,2.0,7.0,29813,1,1,42590,88.506,0,16.5,70.0,24.1,1007.5,2.0,186.0,0.09550673381258089,0.13736494113852604
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,11.0,13.0,1,1,3.0,2.0,8518,1,0,46849,98.11,0,8.25,34.5,12.1,503.75,1.25,74.0,0.02728763823216597,0.15110143525237865
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,12.0,12.0,1,1,3.0,3.0,12777,1,0,51108,76.654,1,16.5,67.0,24.3,1007.5,1.7,149.0,0.040931457348248955,0.16483792936623126
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,13.0,12.0,1,1,3.0,4.0,17036,1,0,55367,76.2,1,16.5,66.0,24.6,1007.5,1.7,183.0,0.05457527646433194,0.17857442348008384
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,14.0,12.0,1,1,3.0,5.0,21295,1,0,59626,76.23,0,8.25,33.0,12.35,503.75,1.2,77.0,0.06821909558041492,0.19231091759393645
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,15.0,11.0,1,1,3.0,6.0,25554,1,0,63885,76.929,0,16.6,66.0,24.8,1007.5,2.5,126.0,0.08186291469649791,0.20604741170778906
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,16.0,11.0,1,1,3.0,7.0,29813,1,0,68144,99.443,0,8.4,34.0,12.95,503.75,1.25,86.0,0.09550673381258089,0.21978390582164167
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,17.0,11.0,1,1,3.0,8.0,34072,1,0,72403,112.778,0,8.5,34.0,13.15,503.75,1.25,83.0,0.10915055292866388,0.23352039993549428
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,18.0,11.0,1,1,3.0,9.0,38331,1,0,76662,114.245,0,17.1,67.0,26.9,1007.7,2.2,162.0,0.12279437204474686,0.2472568940493469
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,19.0,11.0,1,1,3.0,10.0,42590,1,0,80921,121.374,0,5.7,21.666666666666668,9.4,335.90000000000003,0.7999999999999999,56.333333333333336,0.13643819116082984,0.2609933881631995
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,20.0,11.0,1,1,3.0,11.0,46849,1,0,85180,115.853,0,17.1,65.0,28.7,1007.7,2.7,158.0,0.15008201027691281,0.2747298822770521
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,21.0,11.0,1,1,3.0,12.0,51108,1,0,89439,118.462,0,8.7,32.5,14.6,503.85,1.1,81.0,0.16372582939299582,0.28846637639090467
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,22.0,11.0,1,1,3.0,13.0,55367,1,0,93698,79.06,0,8.7,32.0,14.75,503.85,1.35,95.0,0.1773696485090788,0.3022028705047573
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,23.0,11.0,1,1,3.0,14.0,59626,1,0,97957,78.442,0,17.3,63.0,29.7,1007.7,2.9,158.0,0.19101346762516178,0.3159393646186099
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,24.0,11.0,1,1,3.0,15.0,63885,1,0,102216,77.416,0,17.3,63.0,29.7,1007.7,3.2,179.0,0.20465728674124475,0.3296758587324625
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,25.0,11.0,1,1,3.0,16.0,68144,1,0,106475,77.363,0,8.65,32.0,14.85,503.95,1.6,90.5,0.21830110585732776,0.3434123528463151
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,26.0,11.0,1,1,3.0,17.0,72403,1,0,110734,76.896,0,17.3,64.0,29.4,1007.7,2.5,158.0,0.23194492497341074,0.3571488469601677
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,27.0,11.0,1,1,3.0,18.0,76662,1,0,114993,76.797,0,17.3,63.0,29.2,1007.5,3.0,138.0,0.24558874408949372,0.3708853410740203
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,28.0,10.0,1,1,3.0,19.0,80921,1,0,119252,76.582,0,17.2,63.0,28.5,1007.7,2.7,163.0,0.2592325632055767,0.3846218351878729
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,29.0,10.0,1,1,3.0,20.0,85180,1,0,123511,77.107,0,8.55,32.0,13.85,503.85,1.35,83.0,0.27287638232165967,0.39835832930172554
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,30.0,10.0,1,1,3.0,21.0,89439,1,0,127770,76.372,0,17.1,63.0,27.4,1007.7,2.5,158.0,0.28652020143774265,0.4120948234155781
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,31.0,10.0,1,1,3.0,22.0,93698,1,0,132029,77.013,0,17.0,63.0,27.1,1007.7,2.9,145.0,0.30016402055382563,0.42583131752943076
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,32.0,9.0,1,1,3.0,23.0,97957,1,0,136288,76.416,0,8.45,32.5,13.4,503.85,1.25,85.0,0.31380783966990866,0.43956781164328335
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,33.0,9.0,1,1,3.0,24.0,102216,1,0,140547,76.373,0,16.8,65.0,26.3,1007.7,2.5,165.0,0.32745165878599164,0.45330430575713593
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,34.0,9.0,1,1,3.0,25.0,106475,1,0,144806,76.541,0,16.8,65.0,26.1,1007.7,2.5,151.0,0.3410954779020746,0.46704079987098857
4,NOR,McLaren,2023,Dutch Grand Prix,Zandvoort,35.0,9.0,1,1,3.0,26.0,110734,1,0,149065,76.032,1,16.8,66.0,25.9,1007.7,3.7,166.0,0.3547392970181576,0.48077729398484115
