Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
55,1.0,,,0,nan,True,0 days 00:01:50.022000
55,2.0,1.0,1.0,5848,SOFT,True,0 days 00:01:44.804000
55,3.0,1.0,2.0,11696,SOFT,True,0 days 00:01:43.522000
55,4.0,1.0,3.0,17544,SOFT,True,0 days 00:01:43.098000
55,5.0,1.0,4.0,23392,SOFT,True,0 days 00:01:44.666000
55,6.0,1.0,5.0,29240,SOFT,True,0 days 00:01:44.703000
55,7.0,1.0,6.0,35088,SOFT,True,0 days 00:01:43.279000
55,8.0,1.0,7.0,40936,SOFT,True,0 days 00:01:43.521000
55,9.0,1.0,8.0,46784,SOFT,True,0 days 00:01:43.237000
55,10.0,1.0,9.0,52632,SOFT,True,0 days 00:01:43.064000
55,11.0,1.0,10.0,58480,SOFT,True,0 days 00:01:42.785000
55,12.0,1.0,11.0,64328,SOFT,True,0 days 00:01:42.924000
55,13.0,1.0,12.0,70176,SOFT,True,0 days 00:01:43.021000
55,14.0,1.0,13.0,76024,SOFT,True,0 days 00:01:44.774000
55,15.0,1.0,14.0,81872,SOFT,True,0 days 00:01:42.993000
55,16.0,1.0,15.0,87720,SOFT,True,0 days 00:01:42.514000
55,17.0,1.0,16.0,93568,SOFT,True,0 days 00:01:42.313000
55,18.0,1.0,17.0,99416,SOFT,True,0 days 00:01:46.216000
55,19.0,1.0,18.0,105264,SOFT,True,0 days 00:01:42.342000
55,20.0,1.0,19.0,111112,SOFT,True,0 days 00:01:42.279000
55,21.0,1.0,20.0,116960,SOFT,True,0 days 00:01:41.880000
55,22.0,1.0,21.0,122808,SOFT,True,0 days 00:01:41.867000
55,23.0,1.0,22.0,128656,SOFT,True,0 days 00:01:41.688000
55,24.0,1.0,23.0,134504,SOFT,True,0 days 00:01:42.066000
55,25.0,1.0,24.0,140352,SOFT,True,0 days 00:01:44.787000
55,26.0,1.0,25.0,146200,SOFT,True,0 days 00:01:41.989000
55,27.0,1.0,26.0,152048,SOFT,True,0 days 00:01:41.873000
55,28.0,1.0,27.0,157896,SOFT,True,0 days 00:01:41.428000
55,29.0,1.0,28.0,163744,SOFT,True,0 days 00:01:41.320000
55,30.0,1.0,29.0,169592,SOFT,True,0 days 00:01:41.475000
55,31.0,1.0,30.0,175440,SOFT,True,0 days 00:01:41.126000
55,32.0,1.0,31.0,181288,SOFT,True,0 days 00:01:45.840000
55,33.0,2.0,1.0,5848,ULTRASOFT,True,0 days 00:02:03.528000
55,34.0,2.0,2.0,11696,ULTRASOFT,True,0 days 00:01:41.522000
55,35.0,2.0,3.0,17544,ULTRASOFT,True,0 days 00:01:39.731000
55,36.0,2.0,4.0,23392,ULTRASOFT,True,0 days 00:01:40.509000
55,37.0,2.0,5.0,29240,ULTRASOFT,True,0 days 00:01:40.903000
55,38.0,2.0,6.0,35088,ULTRASOFT,True,0 days 00:01:41.297000
55,39.0,2.0,7.0,40936,ULTRASOFT,True,0 days 00:01:41.988000
55,40.0,2.0,8.0,46784,ULTRASOFT,True,0 days 00:01:42.782000
55,41.0,2.0,9.0,52632,ULTRASOFT,True,0 days 00:01:42.264000
55,42.0,2.0,10.0,58480,ULTRASOFT,True,0 days 00:01:41.497000
55,43.0,2.0,11.0,64328,ULTRASOFT,True,0 days 00:01:42.795000
55,44.0,2.0,12.0,70176,ULTRASOFT,True,0 days 00:01:40.627000
55,45.0,2.0,13.0,76024,ULTRASOFT,True,0 days 00:01:40.514000
55,46.0,2.0,14.0,81872,ULTRASOFT,True,0 days 00:01:40.542000
55,47.0,2.0,15.0,87720,ULTRASOFT,True,0 days 00:01:40.665000
55,48.0,2.0,16.0,93568,ULTRASOFT,True,0 days 00:01:40.557000
55,49.0,2.0,17.0,99416,ULTRASOFT,True,0 days 00:01:42.651000
55,50.0,2.0,18.0,105264,ULTRASOFT,True,0 days 00:01:42.251000
55,51.0,2.0,19.0,111112,ULTRASOFT,True,0 days 00:01:45.229000
