Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
63,1.0,1.0,1.0,4574,WET,True,0 days 00:01:57.600000
63,2.0,1.0,2.0,9148,WET,True,0 days 00:01:50.416000
63,3.0,1.0,3.0,13722,WET,True,0 days 00:01:57.115000
63,4.0,1.0,4.0,18296,WET,True,0 days 00:02:05.436000
63,5.0,1.0,5.0,22870,WET,True,0 days 00:01:42.779000
63,6.0,1.0,6.0,27444,WET,True,0 days 00:01:41.173000
63,7.0,1.0,7.0,32018,WET,True,0 days 00:01:45.319000
63,8.0,2.0,1.0,4574,INTERMEDIATE,True,0 days 00:01:48.750000
63,9.0,2.0,2.0,9148,INTERMEDIATE,True,0 days 00:01:33.528000
63,10.0,2.0,3.0,13722,INTERMEDIATE,True,0 days 00:01:32.489000
63,11.0,2.0,4.0,18296,INTERMEDIATE,True,0 days 00:01:34.272000
63,12.0,2.0,5.0,22870,INTERMEDIATE,True,0 days 00:01:33.431000
63,13.0,2.0,6.0,27444,INTERMEDIATE,True,0 days 00:01:34.892000
63,14.0,2.0,7.0,32018,INTERMEDIATE,True,0 days 00:01:41.776000
63,15.0,2.0,8.0,36592,INTERMEDIATE,True,0 days 00:01:46.062000
63,16.0,2.0,9.0,41166,INTERMEDIATE,True,0 days 00:01:33.538000
63,17.0,2.0,10.0,45740,INTERMEDIATE,True,0 days 00:01:34.579000
63,18.0,2.0,11.0,50314,INTERMEDIATE,True,0 days 00:01:36.759000
63,19.0,2.0,12.0,54888,INTERMEDIATE,True,0 days 00:01:37.970000
63,20.0,2.0,13.0,59462,INTERMEDIATE,True,0 days 00:01:37.763000
63,21.0,2.0,14.0,64036,INTERMEDIATE,True,0 days 00:01:37.290000
63,22.0,2.0,15.0,68610,INTERMEDIATE,True,0 days 00:01:36.674000
63,23.0,2.0,16.0,73184,INTERMEDIATE,True,0 days 00:01:38.271000
63,24.0,2.0,17.0,77758,INTERMEDIATE,True,0 days 00:01:40.667000
63,25.0,3.0,1.0,4574,INTERMEDIATE,True,0 days 00:01:49.007000
63,26.0,3.0,2.0,9148,INTERMEDIATE,True,0 days 00:01:46.654000
63,27.0,3.0,3.0,13722,INTERMEDIATE,True,0 days 00:01:47.911000
63,28.0,3.0,4.0,18296,INTERMEDIATE,True,0 days 00:02:09.654000
63,29.0,3.0,5.0,22870,INTERMEDIATE,True,0 days 00:01:47.472000
63,30.0,3.0,6.0,27444,INTERMEDIATE,True,0 days 00:02:14.836000
63,31.0,3.0,7.0,32018,INTERMEDIATE,True,0 days 00:01:50.810000
63,32.0,3.0,8.0,36592,INTERMEDIATE,True,0 days 00:01:38.921000
63,33.0,3.0,9.0,41166,INTERMEDIATE,True,0 days 00:01:34.402000
63,34.0,3.0,10.0,45740,INTERMEDIATE,True,0 days 00:01:33.175000
63,35.0,3.0,11.0,50314,INTERMEDIATE,True,0 days 00:01:33.442000
63,36.0,3.0,12.0,54888,INTERMEDIATE,True,0 days 00:01:33.263000
63,37.0,3.0,13.0,59462,INTERMEDIATE,True,0 days 00:01:32.627000
63,38.0,3.0,14.0,64036,INTERMEDIATE,True,0 days 00:01:32.976000
63,39.0,3.0,15.0,68610,INTERMEDIATE,True,0 days 00:01:32.853000
63,40.0,3.0,16.0,73184,INTERMEDIATE,True,0 days 00:01:40.117000
63,41.0,3.0,17.0,77758,INTERMEDIATE,True,0 days 00:02:01.647000
63,42.0,4.0,1.0,4574,INTERMEDIATE,True,0 days 00:01:46.583000
63,43.0,4.0,2.0,9148,INTERMEDIATE,True,0 days 00:01:34.683000
63,44.0,4.0,3.0,13722,INTERMEDIATE,True,0 days 00:01:44.657000
63,45.0,4.0,4.0,18296,INTERMEDIATE,True,0 days 00:01:57.496000
63,46.0,4.0,5.0,22870,INTERMEDIATE,True,0 days 00:01:29.774000
63,47.0,4.0,6.0,27444,INTERMEDIATE,True,0 days 00:01:36.238000
63,48.0,5.0,1.0,4574,SOFT,True,0 days 00:01:43.736000
63,49.0,5.0,2.0,9148,SOFT,True,0 days 00:01:20.875000
63,50.0,5.0,3.0,13722,SOFT,True,0 days 00:01:20.416000
63,51.0,5.0,4.0,18296,SOFT,True,0 days 00:01:24.268000
63,52.0,5.0,5.0,22870,SOFT,True,0 days 00:01:19.952000
63,53.0,5.0,6.0,27444,SOFT,True,0 days 00:01:20.805000
63,54.0,5.0,7.0,32018,SOFT,True,0 days 00:01:21.105000
63,55.0,5.0,8.0,36592,SOFT,True,0 days 00:01:20.906000
63,56.0,5.0,9.0,41166,SOFT,True,0 days 00:01:29.423000
63,57.0,5.0,10.0,45740,SOFT,True,0 days 00:02:03.258000
63,58.0,6.0,4.0,18296,SOFT,False,0 days 00:01:43.798000
63,59.0,6.0,5.0,22870,SOFT,False,0 days 00:01:21.341000
63,60.0,6.0,6.0,27444,SOFT,False,0 days 00:01:19.300000
63,61.0,6.0,7.0,32018,SOFT,False,0 days 00:01:20.961000
63,62.0,6.0,8.0,36592,SOFT,False,0 days 00:01:19.813000
63,63.0,6.0,9.0,41166,SOFT,False,0 days 00:01:19.705000
63,64.0,6.0,10.0,45740,SOFT,False,0 days 00:01:20.270000
