Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
63,1.0,1.0,1.0,4381,MEDIUM,True,0 days 00:01:36.267000
63,2.0,1.0,2.0,8762,MEDIUM,True,0 days 00:01:26.464000
63,3.0,1.0,3.0,13143,MEDIUM,True,0 days 00:01:25.630000
63,4.0,1.0,4.0,17524,MEDIUM,True,0 days 00:01:24.793000
63,5.0,1.0,5.0,21905,MEDIUM,True,0 days 00:01:24.834000
63,6.0,1.0,6.0,26286,MEDIUM,True,0 days 00:01:24.997000
63,7.0,1.0,7.0,30667,MEDIUM,True,0 days 00:01:25.124000
63,8.0,1.0,8.0,35048,MEDIUM,True,0 days 00:01:25.956000
63,9.0,1.0,9.0,39429,MEDIUM,True,0 days 00:01:24.662000
63,10.0,1.0,10.0,43810,MEDIUM,True,0 days 00:01:24.907000
63,11.0,1.0,11.0,48191,MEDIUM,True,0 days 00:01:24.856000
63,12.0,1.0,12.0,52572,MEDIUM,True,0 days 00:01:27.225000
63,13.0,1.0,13.0,56953,MEDIUM,True,0 days 00:01:24.976000
63,14.0,1.0,14.0,61334,MEDIUM,True,0 days 00:01:26.263000
63,15.0,1.0,15.0,65715,MEDIUM,True,0 days 00:01:26.230000
63,16.0,1.0,16.0,70096,MEDIUM,True,0 days 00:01:27.336000
63,17.0,2.0,1.0,4381,HARD,True,0 days 00:01:40.516000
63,18.0,2.0,2.0,8762,HARD,True,0 days 00:01:23.216000
63,19.0,2.0,3.0,13143,HARD,True,0 days 00:01:23.445000
63,20.0,2.0,4.0,17524,HARD,True,0 days 00:01:23.527000
63,21.0,2.0,5.0,21905,HARD,True,0 days 00:01:23.693000
63,22.0,2.0,6.0,26286,HARD,True,0 days 00:01:23.774000
63,23.0,2.0,7.0,30667,HARD,True,0 days 00:01:23.985000
63,24.0,2.0,8.0,35048,HARD,True,0 days 00:01:24.615000
63,25.0,2.0,9.0,39429,HARD,True,0 days 00:01:24.574000
63,26.0,2.0,10.0,43810,HARD,True,0 days 00:01:25.406000
63,27.0,2.0,11.0,48191,HARD,True,0 days 00:01:24.109000
63,28.0,2.0,12.0,52572,HARD,True,0 days 00:01:23.803000
63,29.0,2.0,13.0,56953,HARD,True,0 days 00:01:23.961000
63,30.0,2.0,14.0,61334,HARD,True,0 days 00:01:24.042000
63,31.0,2.0,15.0,65715,HARD,True,0 days 00:01:24.385000
63,32.0,2.0,16.0,70096,HARD,True,0 days 00:01:26.700000
63,33.0,2.0,17.0,74477,HARD,True,0 days 00:01:24.321000
63,34.0,2.0,18.0,78858,HARD,True,0 days 00:01:23.998000
63,35.0,2.0,19.0,83239,HARD,True,0 days 00:01:23.670000
63,36.0,2.0,20.0,87620,HARD,True,0 days 00:01:23.936000
63,37.0,2.0,21.0,92001,HARD,True,0 days 00:01:25.640000
63,38.0,2.0,22.0,96382,HARD,True,0 days 00:01:23.922000
63,39.0,2.0,23.0,100763,HARD,True,0 days 00:01:23.860000
63,40.0,2.0,24.0,105144,HARD,True,0 days 00:01:23.505000
63,41.0,2.0,25.0,109525,HARD,True,0 days 00:01:23.332000
63,42.0,2.0,26.0,113906,HARD,True,0 days 00:01:23.565000
63,43.0,2.0,27.0,118287,HARD,True,0 days 00:01:23.586000
63,44.0,2.0,28.0,122668,HARD,True,0 days 00:01:25.176000
63,45.0,2.0,29.0,127049,HARD,True,0 days 00:01:23.417000
63,46.0,2.0,30.0,131430,HARD,True,0 days 00:01:23.766000
63,47.0,2.0,31.0,135811,HARD,True,0 days 00:01:23.522000
63,48.0,2.0,32.0,140192,HARD,True,0 days 00:01:23.352000
63,49.0,2.0,33.0,144573,HARD,True,0 days 00:01:23.565000
63,50.0,2.0,34.0,148954,HARD,True,0 days 00:01:23.948000
63,51.0,2.0,35.0,153335,HARD,True,0 days 00:01:24.953000
63,52.0,2.0,36.0,157716,HARD,True,0 days 00:01:23.742000
63,53.0,2.0,37.0,162097,HARD,True,0 days 00:01:26.248000
63,54.0,2.0,38.0,166478,HARD,True,0 days 00:01:25.627000
63,55.0,2.0,39.0,170859,HARD,True,0 days 00:01:27.406000
63,56.0,2.0,40.0,175240,HARD,True,0 days 00:01:23.690000
63,57.0,2.0,41.0,179621,HARD,True,0 days 00:01:24.841000
63,58.0,2.0,42.0,184002,HARD,True,0 days 00:01:23.181000
63,59.0,2.0,43.0,188383,HARD,True,0 days 00:01:23.159000
63,60.0,2.0,44.0,192764,HARD,True,0 days 00:01:23.125000
63,61.0,2.0,45.0,197145,HARD,True,0 days 00:01:23.184000
63,62.0,2.0,46.0,201526,HARD,True,0 days 00:01:23.321000
63,63.0,2.0,47.0,205907,HARD,True,0 days 00:01:23.218000
63,64.0,2.0,48.0,210288,HARD,True,0 days 00:01:23.299000
63,65.0,2.0,49.0,214669,HARD,True,0 days 00:01:22.396000
63,66.0,2.0,50.0,219050,HARD,True,0 days 00:01:22.386000
63,67.0,2.0,51.0,223431,HARD,True,0 days 00:01:22.462000
63,68.0,2.0,52.0,227812,HARD,True,0 days 00:01:23.111000
