Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
99,1.0,1.0,1.0,7004,MEDIUM,True,0 days 00:02:36.641000
99,2.0,1.0,2.0,14008,MEDIUM,True,
99,3.0,1.0,3.0,21012,MEDIUM,True,
99,4.0,1.0,4.0,28016,MEDIUM,True,
99,5.0,1.0,5.0,35020,MEDIUM,True,0 days 00:01:54.219000
99,6.0,1.0,6.0,42024,MEDIUM,True,0 days 00:01:53.030000
99,7.0,1.0,7.0,49028,MEDIUM,True,0 days 00:01:52.583000
99,8.0,1.0,8.0,56032,MEDIUM,True,0 days 00:01:51.888000
99,9.0,1.0,9.0,63036,MEDIUM,True,0 days 00:01:51.626000
99,10.0,1.0,10.0,70040,MEDIUM,True,0 days 00:01:52.265000
99,11.0,1.0,11.0,77044,MEDIUM,True,0 days 00:01:52.388000
99,12.0,1.0,12.0,84048,MEDIUM,True,0 days 00:01:52.463000
99,13.0,1.0,13.0,91052,MEDIUM,True,0 days 00:01:51.832000
99,14.0,1.0,14.0,98056,MEDIUM,True,0 days 00:01:50.963000
99,15.0,1.0,15.0,105060,MEDIUM,True,0 days 00:01:50.887000
99,16.0,1.0,16.0,112064,MEDIUM,True,0 days 00:01:51.011000
99,17.0,1.0,17.0,119068,MEDIUM,True,0 days 00:01:50.717000
99,18.0,1.0,18.0,126072,MEDIUM,True,0 days 00:01:50.723000
99,19.0,1.0,19.0,133076,MEDIUM,True,0 days 00:01:50.790000
99,20.0,1.0,20.0,140080,MEDIUM,True,0 days 00:01:51.658000
99,21.0,1.0,21.0,147084,MEDIUM,True,0 days 00:01:50.675000
99,22.0,1.0,22.0,154088,MEDIUM,True,0 days 00:01:50.810000
99,23.0,1.0,23.0,161092,MEDIUM,True,0 days 00:01:50.754000
99,24.0,1.0,24.0,168096,MEDIUM,True,0 days 00:01:51.071000
99,25.0,1.0,25.0,175100,MEDIUM,True,0 days 00:01:50.629000
99,26.0,1.0,26.0,182104,MEDIUM,True,0 days 00:01:50.483000
99,27.0,1.0,27.0,189108,MEDIUM,True,0 days 00:01:50.356000
99,28.0,1.0,28.0,196112,MEDIUM,True,0 days 00:01:50.688000
99,29.0,1.0,29.0,203116,MEDIUM,True,0 days 00:01:55.984000
99,30.0,2.0,1.0,7004,SOFT,True,0 days 00:02:02.709000
99,31.0,2.0,2.0,14008,SOFT,True,0 days 00:01:47.560000
99,32.0,2.0,3.0,21012,SOFT,True,0 days 00:01:48.305000
99,33.0,2.0,4.0,28016,SOFT,True,0 days 00:01:48.611000
99,34.0,2.0,5.0,35020,SOFT,True,0 days 00:01:50.652000
99,35.0,2.0,6.0,42024,SOFT,True,0 days 00:01:50.470000
99,36.0,2.0,7.0,49028,SOFT,True,0 days 00:01:51.083000
99,37.0,2.0,8.0,56032,SOFT,True,0 days 00:01:50.552000
99,38.0,2.0,9.0,63036,SOFT,True,0 days 00:01:50.202000
99,39.0,2.0,10.0,70040,SOFT,True,0 days 00:01:48.742000
99,40.0,2.0,11.0,77044,SOFT,True,0 days 00:01:48.321000
99,41.0,2.0,12.0,84048,SOFT,True,0 days 00:01:48.411000
99,42.0,2.0,13.0,91052,SOFT,True,0 days 00:01:48.209000
99,43.0,2.0,14.0,98056,SOFT,True,
