Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
9,1.0,,,0,nan,True,0 days 00:01:47.771000
9,2.0,1.0,1.0,5807,SOFT,True,0 days 00:01:39.295000
9,3.0,1.0,2.0,11614,SOFT,True,0 days 00:01:38.659000
9,4.0,1.0,3.0,17421,SOFT,True,0 days 00:02:16.190000
9,5.0,1.0,4.0,23228,SOFT,True,0 days 00:02:19.079000
9,6.0,2.0,1.0,5807,MEDIUM,True,
9,7.0,2.0,2.0,11614,MEDIUM,True,0 days 00:02:16.526000
9,8.0,2.0,3.0,17421,MEDIUM,True,0 days 00:01:36.294000
9,9.0,2.0,4.0,23228,MEDIUM,True,0 days 00:01:38.864000
9,10.0,2.0,5.0,29035,MEDIUM,True,0 days 00:01:38.635000
9,11.0,2.0,6.0,34842,MEDIUM,True,0 days 00:01:39.514000
9,12.0,2.0,7.0,40649,MEDIUM,True,0 days 00:01:38.726000
9,13.0,2.0,8.0,46456,MEDIUM,True,0 days 00:01:38.617000
9,14.0,2.0,9.0,52263,MEDIUM,True,0 days 00:01:37.364000
9,15.0,2.0,10.0,58070,MEDIUM,True,0 days 00:01:36.869000
9,16.0,2.0,11.0,63877,MEDIUM,True,0 days 00:01:37.393000
9,17.0,2.0,12.0,69684,MEDIUM,True,0 days 00:01:37.757000
9,18.0,2.0,13.0,75491,MEDIUM,True,0 days 00:01:37.710000
9,19.0,2.0,14.0,81298,MEDIUM,True,0 days 00:01:37.510000
9,20.0,2.0,15.0,87105,MEDIUM,True,0 days 00:01:37.523000
9,21.0,2.0,16.0,92912,MEDIUM,True,0 days 00:01:37.485000
9,22.0,2.0,17.0,98719,MEDIUM,True,0 days 00:01:37.273000
9,23.0,2.0,18.0,104526,MEDIUM,True,0 days 00:01:37.524000
9,24.0,2.0,19.0,110333,MEDIUM,True,0 days 00:01:37.486000
9,25.0,2.0,20.0,116140,MEDIUM,True,0 days 00:01:37.566000
9,26.0,2.0,21.0,121947,MEDIUM,True,0 days 00:01:37.718000
9,27.0,2.0,22.0,127754,MEDIUM,True,0 days 00:01:37.608000
9,28.0,2.0,23.0,133561,MEDIUM,True,0 days 00:01:38.144000
9,29.0,2.0,24.0,139368,MEDIUM,True,0 days 00:01:39.358000
9,30.0,2.0,25.0,145175,MEDIUM,True,0 days 00:01:37.964000
9,31.0,2.0,26.0,150982,MEDIUM,True,0 days 00:01:37.152000
9,32.0,2.0,27.0,156789,MEDIUM,True,0 days 00:01:37.010000
9,33.0,2.0,28.0,162596,MEDIUM,True,0 days 00:01:37.542000
9,34.0,2.0,29.0,168403,MEDIUM,True,0 days 00:01:36.825000
9,35.0,2.0,30.0,174210,MEDIUM,True,0 days 00:01:37.954000
9,36.0,2.0,31.0,180017,MEDIUM,True,0 days 00:01:36.399000
9,37.0,2.0,32.0,185824,MEDIUM,True,0 days 00:01:36.503000
9,38.0,2.0,33.0,191631,MEDIUM,True,0 days 00:01:36.873000
9,39.0,2.0,34.0,197438,MEDIUM,True,0 days 00:01:36.754000
9,40.0,2.0,35.0,203245,MEDIUM,True,0 days 00:01:49.213000
9,41.0,2.0,36.0,209052,MEDIUM,True,0 days 00:01:42.828000
9,42.0,2.0,37.0,214859,MEDIUM,True,0 days 00:01:37.519000
9,43.0,2.0,38.0,220666,MEDIUM,True,0 days 00:01:36.678000
9,44.0,2.0,39.0,226473,MEDIUM,True,0 days 00:01:39.413000
9,45.0,2.0,40.0,232280,MEDIUM,True,0 days 00:01:37.438000
9,46.0,2.0,41.0,238087,MEDIUM,True,0 days 00:01:38.685000
9,47.0,2.0,42.0,243894,MEDIUM,True,0 days 00:01:37.249000
9,48.0,2.0,43.0,249701,MEDIUM,True,0 days 00:01:37.203000
9,49.0,2.0,44.0,255508,MEDIUM,True,0 days 00:01:37.075000
9,50.0,2.0,45.0,261315,MEDIUM,True,0 days 00:01:37.255000
9,51.0,2.0,46.0,267122,MEDIUM,True,0 days 00:01:37.145000
9,52.0,2.0,47.0,272929,MEDIUM,True,0 days 00:01:37.500000
