Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
LEC,1.0,1.0,1.0,3337,HARD,True,0 days 00:01:29.108000
LEC,2.0,1.0,2.0,6674,HARD,True,0 days 00:01:20.549000
LEC,3.0,1.0,3.0,10011,HARD,True,0 days 00:01:20.021000
LEC,4.0,1.0,4.0,13348,HARD,True,0 days 00:01:19.468000
LEC,5.0,1.0,5.0,16685,HARD,True,0 days 00:01:18.837000
LEC,6.0,1.0,6.0,20022,HARD,True,0 days 00:01:18.829000
LEC,7.0,1.0,7.0,23359,HARD,True,0 days 00:01:18.645000
LEC,8.0,1.0,8.0,26696,HARD,True,0 days 00:01:19.165000
LEC,9.0,1.0,9.0,30033,HARD,True,0 days 00:01:18.809000
LEC,10.0,1.0,10.0,33370,HARD,True,0 days 00:01:18.219000
LEC,11.0,1.0,11.0,36707,HARD,True,0 days 00:01:18.162000
LEC,12.0,1.0,12.0,40044,HARD,True,0 days 00:01:18.150000
LEC,13.0,1.0,13.0,43381,HARD,True,0 days 00:01:18.018000
LEC,14.0,1.0,14.0,46718,HARD,True,0 days 00:01:18.394000
LEC,15.0,1.0,15.0,50055,HARD,True,0 days 00:01:18.312000
LEC,16.0,1.0,16.0,53392,HARD,True,0 days 00:01:18.316000
LEC,17.0,1.0,17.0,56729,HARD,True,0 days 00:01:18.234000
LEC,18.0,1.0,18.0,60066,HARD,True,0 days 00:01:18.361000
LEC,19.0,1.0,19.0,63403,HARD,True,0 days 00:01:18.190000
LEC,20.0,1.0,20.0,66740,HARD,True,0 days 00:01:18.365000
LEC,21.0,1.0,21.0,70077,HARD,True,0 days 00:01:18.127000
LEC,22.0,1.0,22.0,73414,HARD,True,0 days 00:01:17.886000
LEC,23.0,1.0,23.0,76751,HARD,True,0 days 00:01:17.922000
LEC,24.0,1.0,24.0,80088,HARD,True,0 days 00:01:17.586000
LEC,25.0,1.0,25.0,83425,HARD,True,0 days 00:01:17.619000
LEC,26.0,1.0,26.0,86762,HARD,True,0 days 00:01:17.879000
LEC,27.0,1.0,27.0,90099,HARD,True,0 days 00:01:17.602000
LEC,28.0,1.0,28.0,93436,HARD,True,0 days 00:01:17.480000
LEC,29.0,1.0,29.0,96773,HARD,True,0 days 00:01:17.065000
LEC,30.0,1.0,30.0,100110,HARD,True,0 days 00:01:17.559000
LEC,31.0,1.0,31.0,103447,HARD,True,0 days 00:01:17.876000
LEC,32.0,1.0,32.0,106784,HARD,True,0 days 00:01:17.282000
LEC,33.0,1.0,33.0,110121,HARD,True,0 days 00:01:17.163000
LEC,34.0,1.0,34.0,113458,HARD,True,0 days 00:01:17.461000
LEC,35.0,1.0,35.0,116795,HARD,True,0 days 00:01:17.467000
LEC,36.0,1.0,36.0,120132,HARD,True,0 days 00:01:17.491000
LEC,37.0,1.0,37.0,123469,HARD,True,0 days 00:01:17.361000
LEC,38.0,1.0,38.0,126806,HARD,True,0 days 00:01:17.483000
LEC,39.0,1.0,39.0,130143,HARD,True,0 days 00:01:17.213000
LEC,40.0,1.0,40.0,133480,HARD,True,0 days 00:01:17.237000
LEC,41.0,1.0,41.0,136817,HARD,True,0 days 00:01:18.328000
LEC,42.0,1.0,42.0,140154,HARD,True,0 days 00:01:17.801000
LEC,43.0,1.0,43.0,143491,HARD,True,0 days 00:01:18.451000
LEC,44.0,1.0,44.0,146828,HARD,True,0 days 00:01:35.442000
LEC,45.0,2.0,1.0,3337,MEDIUM,True,0 days 00:01:19.563000
LEC,46.0,2.0,2.0,6674,MEDIUM,True,0 days 00:01:15.773000
LEC,47.0,2.0,3.0,10011,MEDIUM,True,0 days 00:01:16.358000
LEC,48.0,2.0,4.0,13348,MEDIUM,True,0 days 00:01:16.971000
LEC,49.0,2.0,5.0,16685,MEDIUM,True,0 days 00:01:16.283000
LEC,50.0,2.0,6.0,20022,MEDIUM,True,0 days 00:01:15.956000
LEC,51.0,2.0,7.0,23359,MEDIUM,True,0 days 00:01:17.017000
LEC,52.0,2.0,8.0,26696,MEDIUM,True,0 days 00:01:23.243000
LEC,53.0,2.0,9.0,30033,MEDIUM,True,0 days 00:01:33.259000
LEC,54.0,2.0,10.0,33370,MEDIUM,True,0 days 00:01:35.725000
LEC,55.0,2.0,11.0,36707,MEDIUM,True,0 days 00:02:09.246000
LEC,56.0,3.0,1.0,3337,INTERMEDIATE,True,0 days 00:01:43.008000
LEC,57.0,3.0,2.0,6674,INTERMEDIATE,True,0 days 00:01:43.373000
LEC,58.0,3.0,3.0,10011,INTERMEDIATE,True,0 days 00:01:43.473000
LEC,59.0,3.0,4.0,13348,INTERMEDIATE,True,0 days 00:01:42.305000
LEC,60.0,3.0,5.0,16685,INTERMEDIATE,True,0 days 00:01:42.852000
LEC,61.0,3.0,6.0,20022,INTERMEDIATE,True,0 days 00:01:42.262000
LEC,62.0,3.0,7.0,23359,INTERMEDIATE,True,0 days 00:01:41.144000
LEC,63.0,3.0,8.0,26696,INTERMEDIATE,True,0 days 00:01:40.396000
LEC,64.0,3.0,9.0,30033,INTERMEDIATE,True,0 days 00:01:39.223000
LEC,65.0,3.0,10.0,33370,INTERMEDIATE,True,0 days 00:01:38.481000
LEC,66.0,3.0,11.0,36707,INTERMEDIATE,True,0 days 00:01:35.050000
LEC,67.0,3.0,12.0,40044,INTERMEDIATE,True,0 days 00:01:34.515000
LEC,68.0,3.0,13.0,43381,INTERMEDIATE,True,0 days 00:01:33.903000
LEC,69.0,3.0,14.0,46718,INTERMEDIATE,True,0 days 00:01:35.087000
LEC,70.0,3.0,15.0,50055,INTERMEDIATE,True,0 days 00:01:32.309000
LEC,71.0,3.0,16.0,53392,INTERMEDIATE,True,0 days 00:01:30.198000
LEC,72.0,3.0,17.0,56729,INTERMEDIATE,True,0 days 00:01:28.677000
LEC,73.0,3.0,18.0,60066,INTERMEDIATE,True,0 days 00:01:29.177000
LEC,74.0,3.0,19.0,63403,INTERMEDIATE,True,0 days 00:01:27.848000
LEC,75.0,3.0,20.0,66740,INTERMEDIATE,True,0 days 00:01:26.923000
LEC,76.0,3.0,21.0,70077,INTERMEDIATE,True,0 days 00:01:26.435000
LEC,77.0,3.0,22.0,73414,INTERMEDIATE,True,0 days 00:01:25.965000
LEC,78.0,3.0,23.0,76751,INTERMEDIATE,True,0 days 00:01:26.939000
