Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:36:02.379000,LEC,16,0 days 00:40:56.330000,1.0,1.0,,0 days 00:56:45.433000,,0 days 00:00:46.389000,,,0 days 00:56:17.802000,,197.0,80.0,,270.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:55:05.680000,2024-05-26 13:03:11.069,1254,1.0,False,,False,False
0 days 01:39:00.200000,LEC,16,,2.0,2.0,0 days 01:36:03.182000,,0 days 00:00:26.854000,0 days 00:00:41.743000,,0 days 01:36:29.220000,0 days 01:37:11.027000,,173.0,137.0,2.0,241.0,False,HARD,1.0,True,Ferrari,0 days 01:35:54.733000,2024-05-26 13:44:00.122,14,1.0,False,,False,False
0 days 01:40:24.824000,LEC,16,0 days 00:01:24.624000,3.0,2.0,,,0 days 00:00:24.007000,0 days 00:00:38.235000,0 days 00:00:22.382000,0 days 01:39:24.207000,0 days 01:40:02.442000,0 days 01:40:24.824000,199.0,167.0,250.0,269.0,True,HARD,2.0,True,Ferrari,0 days 01:39:00.200000,2024-05-26 13:47:05.589,1,1.0,False,,False,True
0 days 01:41:47.449000,LEC,16,0 days 00:01:22.625000,4.0,2.0,,,0 days 00:00:21.892000,0 days 00:00:38.779000,0 days 00:00:21.954000,0 days 01:40:46.716000,0 days 01:41:25.495000,0 days 01:41:47.449000,192.0,173.0,252.0,269.0,True,HARD,3.0,True,Ferrari,0 days 01:40:24.824000,2024-05-26 13:48:30.213,1,1.0,False,,False,True
0 days 01:43:09.244000,LEC,16,0 days 00:01:21.795000,5.0,2.0,,,0 days 00:00:21.314000,0 days 00:00:38.513000,0 days 00:00:21.968000,0 days 01:42:08.763000,0 days 01:42:47.276000,0 days 01:43:09.244000,196.0,175.0,253.0,271.0,True,HARD,4.0,True,Ferrari,0 days 01:41:47.449000,2024-05-26 13:49:52.838,1,1.0,False,,False,True
0 days 01:44:30.389000,LEC,16,0 days 00:01:21.145000,6.0,2.0,,,0 days 00:00:21.568000,0 days 00:00:38.168000,0 days 00:00:21.409000,0 days 01:43:30.812000,0 days 01:44:08.980000,0 days 01:44:30.389000,190.0,179.0,252.0,271.0,True,HARD,5.0,True,Ferrari,0 days 01:43:09.244000,2024-05-26 13:51:14.633,1,1.0,False,,False,True
0 days 01:45:51.369000,LEC,16,0 days 00:01:20.980000,7.0,2.0,,,0 days 00:00:21.370000,0 days 00:00:38.056000,0 days 00:00:21.554000,0 days 01:44:51.759000,0 days 01:45:29.815000,0 days 01:45:51.369000,193.0,175.0,253.0,271.0,True,HARD,6.0,True,Ferrari,0 days 01:44:30.389000,2024-05-26 13:52:35.778,1,1.0,False,,False,True
0 days 01:47:12.399000,LEC,16,0 days 00:01:21.030000,8.0,2.0,,,0 days 00:00:21.250000,0 days 00:00:38.171000,0 days 00:00:21.609000,0 days 01:46:12.619000,0 days 01:46:50.790000,0 days 01:47:12.399000,190.0,178.0,252.0,270.0,False,HARD,7.0,True,Ferrari,0 days 01:45:51.369000,2024-05-26 13:53:56.758,1,1.0,False,,False,True
0 days 01:48:32.513000,LEC,16,0 days 00:01:20.114000,9.0,2.0,,,0 days 00:00:21.092000,0 days 00:00:37.612000,0 days 00:00:21.410000,0 days 01:47:33.491000,0 days 01:48:11.103000,0 days 01:48:32.513000,197.0,177.0,252.0,271.0,True,HARD,8.0,True,Ferrari,0 days 01:47:12.399000,2024-05-26 13:55:17.788,1,1.0,False,,False,True
0 days 01:49:53.288000,LEC,16,0 days 00:01:20.775000,10.0,2.0,,,0 days 00:00:21.036000,0 days 00:00:37.886000,0 days 00:00:21.853000,0 days 01:48:53.549000,0 days 01:49:31.435000,0 days 01:49:53.288000,196.0,175.0,252.0,271.0,False,HARD,9.0,True,Ferrari,0 days 01:48:32.513000,2024-05-26 13:56:37.902,1,1.0,False,,False,True
0 days 01:51:14.334000,LEC,16,0 days 00:01:21.046000,11.0,2.0,,,0 days 00:00:21.279000,0 days 00:00:38.236000,0 days 00:00:21.531000,0 days 01:50:14.567000,0 days 01:50:52.803000,0 days 01:51:14.334000,192.0,178.0,253.0,271.0,False,HARD,10.0,True,Ferrari,0 days 01:49:53.288000,2024-05-26 13:57:58.677,1,1.0,False,,False,True
0 days 01:52:34.586000,LEC,16,0 days 00:01:20.252000,12.0,2.0,,,0 days 00:00:20.949000,0 days 00:00:37.730000,0 days 00:00:21.573000,0 days 01:51:35.283000,0 days 01:52:13.013000,0 days 01:52:34.586000,196.0,176.0,252.0,271.0,False,HARD,11.0,True,Ferrari,0 days 01:51:14.334000,2024-05-26 13:59:19.723,1,1.0,False,,False,True
0 days 01:53:53.603000,LEC,16,0 days 00:01:19.017000,13.0,2.0,,,0 days 00:00:20.818000,0 days 00:00:36.898000,0 days 00:00:21.301000,0 days 01:52:55.404000,0 days 01:53:32.302000,0 days 01:53:53.603000,200.0,180.0,253.0,272.0,True,HARD,12.0,True,Ferrari,0 days 01:52:34.586000,2024-05-26 14:00:39.975,1,1.0,False,,False,True
0 days 01:55:13.516000,LEC,16,0 days 00:01:19.913000,14.0,2.0,,,0 days 00:00:20.847000,0 days 00:00:38.003000,0 days 00:00:21.063000,0 days 01:54:14.450000,0 days 01:54:52.453000,0 days 01:55:13.516000,198.0,182.0,253.0,270.0,False,HARD,13.0,True,Ferrari,0 days 01:53:53.603000,2024-05-26 14:01:58.992,1,1.0,False,,False,True
0 days 01:56:33.354000,LEC,16,0 days 00:01:19.838000,15.0,2.0,,,0 days 00:00:20.763000,0 days 00:00:37.770000,0 days 00:00:21.305000,0 days 01:55:34.279000,0 days 01:56:12.049000,0 days 01:56:33.354000,202.0,180.0,252.0,272.0,False,HARD,14.0,True,Ferrari,0 days 01:55:13.516000,2024-05-26 14:03:18.905,1,1.0,False,,False,True
0 days 01:57:53.510000,LEC,16,0 days 00:01:20.156000,16.0,2.0,,,0 days 00:00:21.139000,0 days 00:00:37.516000,0 days 00:00:21.501000,0 days 01:56:54.493000,0 days 01:57:32.009000,0 days 01:57:53.510000,195.0,177.0,253.0,272.0,False,HARD,15.0,True,Ferrari,0 days 01:56:33.354000,2024-05-26 14:04:38.743,1,1.0,False,,False,True
0 days 01:59:13.789000,LEC,16,0 days 00:01:20.279000,17.0,2.0,,,0 days 00:00:20.925000,0 days 00:00:37.498000,0 days 00:00:21.856000,0 days 01:58:14.435000,0 days 01:58:51.933000,0 days 01:59:13.789000,202.0,175.0,253.0,273.0,False,HARD,16.0,True,Ferrari,0 days 01:57:53.510000,2024-05-26 14:05:58.899,1,1.0,False,,False,True
0 days 02:00:33.369000,LEC,16,0 days 00:01:19.580000,18.0,2.0,,,0 days 00:00:20.612000,0 days 00:00:37.578000,0 days 00:00:21.390000,0 days 01:59:34.401000,0 days 02:00:11.979000,0 days 02:00:33.369000,199.0,181.0,254.0,273.0,False,HARD,17.0,True,Ferrari,0 days 01:59:13.789000,2024-05-26 14:07:19.178,1,1.0,False,,False,True
0 days 02:01:52.211000,LEC,16,0 days 00:01:18.842000,19.0,2.0,,,0 days 00:00:20.806000,0 days 00:00:36.890000,0 days 00:00:21.146000,0 days 02:00:54.175000,0 days 02:01:31.065000,0 days 02:01:52.211000,202.0,179.0,253.0,273.0,True,HARD,18.0,True,Ferrari,0 days 02:00:33.369000,2024-05-26 14:08:38.758,1,1.0,False,,False,True
0 days 02:03:10.935000,LEC,16,0 days 00:01:18.724000,20.0,2.0,,,0 days 00:00:20.573000,0 days 00:00:37.018000,0 days 00:00:21.133000,0 days 02:02:12.784000,0 days 02:02:49.802000,0 days 02:03:10.935000,197.0,180.0,254.0,272.0,True,HARD,19.0,True,Ferrari,0 days 02:01:52.211000,2024-05-26 14:09:57.600,1,1.0,False,,False,True
0 days 02:04:29.407000,LEC,16,0 days 00:01:18.472000,21.0,2.0,,,0 days 00:00:20.609000,0 days 00:00:36.874000,0 days 00:00:20.989000,0 days 02:03:31.544000,0 days 02:04:08.418000,0 days 02:04:29.407000,199.0,184.0,254.0,272.0,True,HARD,20.0,True,Ferrari,0 days 02:03:10.935000,2024-05-26 14:11:16.324,1,1.0,False,,False,True
0 days 02:05:48.027000,LEC,16,0 days 00:01:18.620000,22.0,2.0,,,0 days 00:00:20.591000,0 days 00:00:37.004000,0 days 00:00:21.025000,0 days 02:04:49.998000,0 days 02:05:27.002000,0 days 02:05:48.027000,201.0,184.0,255.0,272.0,False,HARD,21.0,True,Ferrari,0 days 02:04:29.407000,2024-05-26 14:12:34.796,1,1.0,False,,False,True
0 days 02:07:06.485000,LEC,16,0 days 00:01:18.458000,23.0,2.0,,,0 days 00:00:20.638000,0 days 00:00:36.755000,0 days 00:00:21.065000,0 days 02:06:08.665000,0 days 02:06:45.420000,0 days 02:07:06.485000,202.0,184.0,254.0,273.0,True,HARD,22.0,True,Ferrari,0 days 02:05:48.027000,2024-05-26 14:13:53.416,1,1.0,False,,False,True
0 days 02:08:25.210000,LEC,16,0 days 00:01:18.725000,24.0,2.0,,,0 days 00:00:20.436000,0 days 00:00:37.261000,0 days 00:00:21.028000,0 days 02:07:26.921000,0 days 02:08:04.182000,0 days 02:08:25.210000,,182.0,254.0,273.0,False,HARD,23.0,True,Ferrari,0 days 02:07:06.485000,2024-05-26 14:15:11.874,1,1.0,False,,False,True
0 days 02:09:44.183000,LEC,16,0 days 00:01:18.973000,25.0,2.0,,,0 days 00:00:20.408000,0 days 00:00:37.435000,0 days 00:00:21.130000,0 days 02:08:45.618000,0 days 02:09:23.053000,0 days 02:09:44.183000,203.0,181.0,254.0,273.0,False,HARD,24.0,True,Ferrari,0 days 02:08:25.210000,2024-05-26 14:16:30.599,1,1.0,False,,False,True
0 days 02:11:02.628000,LEC,16,0 days 00:01:18.445000,26.0,2.0,,,0 days 00:00:20.305000,0 days 00:00:37.048000,0 days 00:00:21.092000,0 days 02:10:04.488000,0 days 02:10:41.536000,0 days 02:11:02.628000,204.0,185.0,254.0,273.0,True,HARD,25.0,True,Ferrari,0 days 02:09:44.183000,2024-05-26 14:17:49.572,1,1.0,False,,False,True
0 days 02:12:20.979000,LEC,16,0 days 00:01:18.351000,27.0,2.0,,,0 days 00:00:20.507000,0 days 00:00:36.769000,0 days 00:00:21.075000,0 days 02:11:23.135000,0 days 02:11:59.904000,0 days 02:12:20.979000,201.0,182.0,255.0,275.0,True,HARD,26.0,True,Ferrari,0 days 02:11:02.628000,2024-05-26 14:19:08.017,1,1.0,False,,False,True
0 days 02:13:39.689000,LEC,16,0 days 00:01:18.710000,28.0,2.0,,,0 days 00:00:20.535000,0 days 00:00:37.208000,0 days 00:00:20.967000,0 days 02:12:41.514000,0 days 02:13:18.722000,0 days 02:13:39.689000,194.0,185.0,255.0,274.0,False,HARD,27.0,True,Ferrari,0 days 02:12:20.979000,2024-05-26 14:20:26.368,1,1.0,False,,False,True
0 days 02:14:58.742000,LEC,16,0 days 00:01:19.053000,29.0,2.0,,,0 days 00:00:20.429000,0 days 00:00:37.312000,0 days 00:00:21.312000,0 days 02:14:00.118000,0 days 02:14:37.430000,0 days 02:14:58.742000,200.0,176.0,255.0,275.0,False,HARD,28.0,True,Ferrari,0 days 02:13:39.689000,2024-05-26 14:21:45.078,1,1.0,False,,False,True
0 days 02:16:18.677000,LEC,16,0 days 00:01:19.935000,30.0,2.0,,,0 days 00:00:21.091000,0 days 00:00:37.380000,0 days 00:00:21.464000,0 days 02:15:19.833000,0 days 02:15:57.213000,0 days 02:16:18.677000,194.0,180.0,255.0,275.0,False,HARD,29.0,True,Ferrari,0 days 02:14:58.742000,2024-05-26 14:23:04.131,1,1.0,False,,False,True
0 days 02:17:37.070000,LEC,16,0 days 00:01:18.393000,31.0,2.0,,,0 days 00:00:20.706000,0 days 00:00:36.687000,0 days 00:00:21,0 days 02:16:39.383000,0 days 02:17:16.070000,0 days 02:17:37.070000,197.0,185.0,256.0,276.0,False,HARD,30.0,True,Ferrari,0 days 02:16:18.677000,2024-05-26 14:24:24.066,1,1.0,False,,False,True
0 days 02:18:56.195000,LEC,16,0 days 00:01:19.125000,32.0,2.0,,,0 days 00:00:20.483000,0 days 00:00:37.216000,0 days 00:00:21.426000,0 days 02:17:57.553000,0 days 02:18:34.769000,0 days 02:18:56.195000,196.0,178.0,255.0,275.0,False,HARD,31.0,True,Ferrari,0 days 02:17:37.070000,2024-05-26 14:25:42.459,1,1.0,False,,False,True
0 days 02:20:14.689000,LEC,16,0 days 00:01:18.494000,33.0,2.0,,,0 days 00:00:20.510000,0 days 00:00:36.916000,0 days 00:00:21.068000,0 days 02:19:16.705000,0 days 02:19:53.621000,0 days 02:20:14.689000,202.0,185.0,256.0,277.0,False,HARD,32.0,True,Ferrari,0 days 02:18:56.195000,2024-05-26 14:27:01.584,1,1.0,False,,False,True
0 days 02:21:34.008000,LEC,16,0 days 00:01:19.319000,34.0,2.0,,,0 days 00:00:20.412000,0 days 00:00:37.589000,0 days 00:00:21.318000,0 days 02:20:35.101000,0 days 02:21:12.690000,0 days 02:21:34.008000,199.0,181.0,255.0,276.0,False,HARD,33.0,True,Ferrari,0 days 02:20:14.689000,2024-05-26 14:28:20.078,1,1.0,False,,False,True
0 days 02:22:52.538000,LEC,16,0 days 00:01:18.530000,35.0,2.0,,,0 days 00:00:20.503000,0 days 00:00:36.672000,0 days 00:00:21.355000,0 days 02:21:54.511000,0 days 02:22:31.183000,0 days 02:22:52.538000,202.0,180.0,256.0,278.0,False,HARD,34.0,True,Ferrari,0 days 02:21:34.008000,2024-05-26 14:29:39.397,1,1.0,False,,False,True
0 days 02:24:11.227000,LEC,16,0 days 00:01:18.689000,36.0,2.0,,,0 days 00:00:20.697000,0 days 00:00:36.919000,0 days 00:00:21.073000,0 days 02:23:13.235000,0 days 02:23:50.154000,0 days 02:24:11.227000,201.0,184.0,257.0,278.0,False,HARD,35.0,True,Ferrari,0 days 02:22:52.538000,2024-05-26 14:30:57.927,1,1.0,False,,False,True
0 days 02:25:30.152000,LEC,16,0 days 00:01:18.925000,37.0,2.0,,,0 days 00:00:21.082000,0 days 00:00:36.570000,0 days 00:00:21.273000,0 days 02:24:32.309000,0 days 02:25:08.879000,0 days 02:25:30.152000,202.0,180.0,257.0,278.0,False,HARD,36.0,True,Ferrari,0 days 02:24:11.227000,2024-05-26 14:32:16.616,1,1.0,False,,False,True
0 days 02:26:48.680000,LEC,16,0 days 00:01:18.528000,38.0,2.0,,,0 days 00:00:20.612000,0 days 00:00:36.704000,0 days 00:00:21.212000,0 days 02:25:50.764000,0 days 02:26:27.468000,0 days 02:26:48.680000,198.0,184.0,257.0,279.0,False,HARD,37.0,True,Ferrari,0 days 02:25:30.152000,2024-05-26 14:33:35.541,1,1.0,False,,False,True
0 days 02:28:06.861000,LEC,16,0 days 00:01:18.181000,39.0,2.0,,,0 days 00:00:20.815000,0 days 00:00:36.297000,0 days 00:00:21.069000,0 days 02:27:09.495000,0 days 02:27:45.792000,0 days 02:28:06.861000,202.0,183.0,259.0,280.0,True,HARD,38.0,True,Ferrari,0 days 02:26:48.680000,2024-05-26 14:34:54.069,1,1.0,False,,False,True
0 days 02:29:25.594000,LEC,16,0 days 00:01:18.733000,40.0,2.0,,,0 days 00:00:20.538000,0 days 00:00:37.054000,0 days 00:00:21.141000,0 days 02:28:27.399000,0 days 02:29:04.453000,0 days 02:29:25.594000,199.0,183.0,258.0,281.0,False,HARD,39.0,True,Ferrari,0 days 02:28:06.861000,2024-05-26 14:36:12.250,1,1.0,False,,False,True
0 days 02:30:44.288000,LEC,16,0 days 00:01:18.694000,41.0,2.0,,,0 days 00:00:20.486000,0 days 00:00:36.988000,0 days 00:00:21.220000,0 days 02:29:46.080000,0 days 02:30:23.068000,0 days 02:30:44.288000,195.0,185.0,265.0,280.0,False,HARD,40.0,True,Ferrari,0 days 02:29:25.594000,2024-05-26 14:37:30.983,1,1.0,False,,False,True
0 days 02:32:03.565000,LEC,16,0 days 00:01:19.277000,42.0,2.0,,,0 days 00:00:20.683000,0 days 00:00:37.359000,0 days 00:00:21.235000,0 days 02:31:04.971000,0 days 02:31:42.330000,0 days 02:32:03.565000,200.0,184.0,254.0,278.0,False,HARD,41.0,True,Ferrari,0 days 02:30:44.288000,2024-05-26 14:38:49.677,1,1.0,False,,False,True
