LapNumber,LapTime,Compound,Position
1.0,0 days 00:01:29.108000,HARD,6.0
2.0,0 days 00:01:20.549000,HARD,6.0
3.0,0 days 00:01:20.021000,HARD,6.0
4.0,0 days 00:01:19.468000,HARD,6.0
5.0,0 days 00:01:18.837000,HARD,6.0
6.0,0 days 00:01:18.829000,HARD,6.0
7.0,0 days 00:01:18.645000,HARD,6.0
8.0,0 days 00:01:19.165000,HARD,6.0
9.0,0 days 00:01:18.809000,HARD,6.0
10.0,0 days 00:01:18.219000,HARD,6.0
11.0,0 days 00:01:18.162000,HARD,6.0
12.0,0 days 00:01:18.150000,HARD,6.0
13.0,0 days 00:01:18.018000,HARD,6.0
14.0,0 days 00:01:18.394000,HARD,6.0
15.0,0 days 00:01:18.312000,HARD,6.0
16.0,0 days 00:01:18.316000,HARD,6.0
17.0,0 days 00:01:18.234000,HARD,6.0
18.0,0 days 00:01:18.361000,HARD,6.0
19.0,0 days 00:01:18.190000,HARD,6.0
20.0,0 days 00:01:18.365000,HARD,6.0
21.0,0 days 00:01:18.127000,HARD,6.0
22.0,0 days 00:01:17.886000,HARD,6.0
23.0,0 days 00:01:17.922000,HARD,6.0
24.0,0 days 00:01:17.586000,HARD,6.0
25.0,0 days 00:01:17.619000,HARD,6.0
26.0,0 days 00:01:17.879000,HARD,6.0
27.0,0 days 00:01:17.602000,HARD,6.0
28.0,0 days 00:01:17.480000,HARD,6.0
29.0,0 days 00:01:17.065000,HARD,6.0
30.0,0 days 00:01:17.559000,HARD,6.0
31.0,0 days 00:01:17.876000,HARD,5.0
32.0,0 days 00:01:17.282000,HARD,4.0
33.0,0 days 00:01:17.163000,HARD,3.0
34.0,0 days 00:01:17.461000,HARD,3.0
35.0,0 days 00:01:17.467000,HARD,3.0
36.0,0 days 00:01:17.491000,HARD,3.0
37.0,0 days 00:01:17.361000,HARD,3.0
38.0,0 days 00:01:17.483000,HARD,3.0
39.0,0 days 00:01:17.213000,HARD,3.0
40.0,0 days 00:01:17.237000,HARD,3.0
41.0,0 days 00:01:18.328000,HARD,3.0
42.0,0 days 00:01:17.801000,HARD,3.0
43.0,0 days 00:01:18.451000,HARD,3.0
44.0,0 days 00:01:35.442000,HARD,8.0
45.0,0 days 00:01:19.563000,MEDIUM,8.0
46.0,0 days 00:01:15.773000,MEDIUM,8.0
47.0,0 days 00:01:16.358000,MEDIUM,8.0
48.0,0 days 00:01:16.971000,MEDIUM,7.0
49.0,0 days 00:01:16.283000,MEDIUM,7.0
50.0,0 days 00:01:15.956000,MEDIUM,7.0
51.0,0 days 00:01:17.017000,MEDIUM,7.0
52.0,0 days 00:01:23.243000,MEDIUM,7.0
53.0,0 days 00:01:33.259000,MEDIUM,7.0
54.0,0 days 00:01:35.725000,MEDIUM,4.0
55.0,0 days 00:02:09.246000,MEDIUM,6.0
56.0,0 days 00:01:43.008000,INTERMEDIATE,6.0
57.0,0 days 00:01:43.373000,INTERMEDIATE,6.0
58.0,0 days 00:01:43.473000,INTERMEDIATE,6.0
59.0,0 days 00:01:42.305000,INTERMEDIATE,6.0
60.0,0 days 00:01:42.852000,INTERMEDIATE,6.0
61.0,0 days 00:01:42.262000,INTERMEDIATE,6.0
62.0,0 days 00:01:41.144000,INTERMEDIATE,6.0
63.0,0 days 00:01:40.396000,INTERMEDIATE,6.0
64.0,0 days 00:01:39.223000,INTERMEDIATE,6.0
65.0,0 days 00:01:38.481000,INTERMEDIATE,6.0
66.0,0 days 00:01:35.050000,INTERMEDIATE,6.0
67.0,0 days 00:01:34.515000,INTERMEDIATE,6.0
68.0,0 days 00:01:33.903000,INTERMEDIATE,6.0
69.0,0 days 00:01:35.087000,INTERMEDIATE,6.0
70.0,0 days 00:01:32.309000,INTERMEDIATE,6.0
71.0,0 days 00:01:30.198000,INTERMEDIATE,6.0
72.0,0 days 00:01:28.677000,INTERMEDIATE,6.0
73.0,0 days 00:01:29.177000,INTERMEDIATE,6.0
74.0,0 days 00:01:27.848000,INTERMEDIATE,6.0
75.0,0 days 00:01:26.923000,INTERMEDIATE,6.0
76.0,0 days 00:01:26.435000,INTERMEDIATE,6.0
77.0,0 days 00:01:25.965000,INTERMEDIATE,6.0
78.0,0 days 00:01:26.939000,INTERMEDIATE,6.0
