Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
STR,1.0,1.0,2.0,6674,HARD,False,0 days 00:01:39.562000
STR,2.0,1.0,3.0,10011,HARD,False,0 days 00:01:19.989000
STR,3.0,1.0,4.0,13348,HARD,False,0 days 00:01:19.928000
STR,4.0,1.0,5.0,16685,HARD,False,0 days 00:01:19.998000
STR,5.0,1.0,6.0,20022,HARD,False,0 days 00:01:20.438000
STR,6.0,1.0,7.0,23359,HARD,False,0 days 00:01:19.785000
STR,7.0,1.0,8.0,26696,HARD,False,0 days 00:01:19.417000
STR,8.0,1.0,9.0,30033,HARD,False,0 days 00:01:18.733000
STR,9.0,1.0,10.0,33370,HARD,False,0 days 00:01:18.659000
STR,10.0,1.0,11.0,36707,HARD,False,0 days 00:01:19.893000
STR,11.0,1.0,12.0,40044,HARD,False,0 days 00:01:19.758000
STR,12.0,1.0,13.0,43381,HARD,False,0 days 00:01:20.639000
STR,13.0,1.0,14.0,46718,HARD,False,0 days 00:01:20.847000
STR,14.0,1.0,15.0,50055,HARD,False,0 days 00:01:20.295000
STR,15.0,1.0,16.0,53392,HARD,False,0 days 00:01:20.203000
STR,16.0,1.0,17.0,56729,HARD,False,0 days 00:01:20.545000
STR,17.0,1.0,18.0,60066,HARD,False,0 days 00:01:21.170000
STR,18.0,1.0,19.0,63403,HARD,False,0 days 00:01:17.769000
STR,19.0,1.0,20.0,66740,HARD,False,0 days 00:01:17.915000
STR,20.0,1.0,21.0,70077,HARD,False,0 days 00:01:18.061000
STR,21.0,1.0,22.0,73414,HARD,False,0 days 00:01:18.594000
STR,22.0,1.0,23.0,76751,HARD,False,0 days 00:01:18.548000
STR,23.0,1.0,24.0,80088,HARD,False,0 days 00:01:18.927000
STR,24.0,1.0,25.0,83425,HARD,False,0 days 00:01:18.439000
STR,25.0,1.0,26.0,86762,HARD,False,0 days 00:01:19.058000
STR,26.0,1.0,27.0,90099,HARD,False,0 days 00:01:18.926000
STR,27.0,1.0,28.0,93436,HARD,False,0 days 00:01:19.772000
STR,28.0,1.0,29.0,96773,HARD,False,0 days 00:01:19.860000
STR,29.0,1.0,30.0,100110,HARD,False,0 days 00:01:19.831000
STR,30.0,1.0,31.0,103447,HARD,False,0 days 00:01:19.860000
STR,31.0,1.0,32.0,106784,HARD,False,0 days 00:01:21.753000
STR,32.0,1.0,33.0,110121,HARD,False,0 days 00:01:19.387000
STR,33.0,1.0,34.0,113458,HARD,False,0 days 00:01:20.446000
STR,34.0,1.0,35.0,116795,HARD,False,0 days 00:01:18.583000
STR,35.0,1.0,36.0,120132,HARD,False,0 days 00:01:21.072000
STR,36.0,1.0,37.0,123469,HARD,False,0 days 00:01:19.544000
STR,37.0,1.0,38.0,126806,HARD,False,0 days 00:01:18.760000
STR,38.0,1.0,39.0,130143,HARD,False,0 days 00:01:18.424000
STR,39.0,1.0,40.0,133480,HARD,False,0 days 00:01:18.498000
STR,40.0,1.0,41.0,136817,HARD,False,0 days 00:01:18.498000
STR,41.0,1.0,42.0,140154,HARD,False,0 days 00:01:18.574000
STR,42.0,1.0,43.0,143491,HARD,False,0 days 00:01:18.732000
STR,43.0,1.0,44.0,146828,HARD,False,0 days 00:01:18.898000
STR,44.0,1.0,45.0,150165,HARD,False,0 days 00:01:18.533000
STR,45.0,1.0,46.0,153502,HARD,False,0 days 00:01:18.374000
STR,46.0,1.0,47.0,156839,HARD,False,0 days 00:01:18.723000
STR,47.0,1.0,48.0,160176,HARD,False,0 days 00:01:19.033000
STR,48.0,1.0,49.0,163513,HARD,False,0 days 00:01:18.573000
STR,49.0,1.0,50.0,166850,HARD,False,0 days 00:01:18.418000
STR,50.0,1.0,51.0,170187,HARD,False,0 days 00:01:20.218000
STR,51.0,1.0,52.0,173524,HARD,False,0 days 00:01:44.501000
STR,52.0,2.0,1.0,3337,INTERMEDIATE,True,0 days 00:01:32.189000
STR,53.0,2.0,2.0,6674,INTERMEDIATE,True,0 days 00:01:36.321000
STR,54.0,2.0,3.0,10011,INTERMEDIATE,True,
