Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:36:25.133000,VER,1,0 days 00:41:18.944000,1.0,1.0,,0 days 00:56:53.182000,,0 days 00:00:50.381000,,,0 days 00:56:25.744000,,162.0,68.0,,274.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:55:05.680000,2024-05-26 13:03:11.069,1254,10.0,False,,False,False
0 days 01:39:02.400000,VER,1,,2.0,2.0,0 days 01:36:25.661000,,0 days 00:00:24.134000,0 days 00:00:38.218000,0 days 00:01:35.091000,0 days 01:36:49.243000,0 days 01:37:27.294000,0 days 01:39:02.632000,189.0,185.0,78.0,255.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:35:54.733000,2024-05-26 13:44:00.122,14,6.0,False,,False,False
0 days 01:40:28.144000,VER,1,0 days 00:01:25.744000,3.0,2.0,,,0 days 00:00:24.715000,0 days 00:00:38.860000,0 days 00:00:22.169000,0 days 01:39:27.092000,0 days 01:40:05.952000,0 days 01:40:28.121000,169.0,179.0,256.0,266.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:39:02.400000,2024-05-26 13:47:07.789,1,6.0,False,,False,True
0 days 01:41:51.419000,VER,1,0 days 00:01:23.275000,4.0,2.0,,,0 days 00:00:21.947000,0 days 00:00:38.888000,0 days 00:00:22.440000,0 days 01:40:50.068000,0 days 01:41:28.956000,0 days 01:41:51.396000,166.0,173.0,256.0,262.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:40:28.144000,2024-05-26 13:48:33.533,1,6.0,False,,False,True
0 days 01:43:14.819000,VER,1,0 days 00:01:23.400000,5.0,2.0,,,0 days 00:00:22.318000,0 days 00:00:38.953000,0 days 00:00:22.129000,0 days 01:42:13.714000,0 days 01:42:52.667000,0 days 01:43:14.796000,160.0,172.0,256.0,259.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:41:51.419000,2024-05-26 13:49:56.808,1,6.0,False,,False,True
0 days 01:44:38.606000,VER,1,0 days 00:01:23.787000,6.0,2.0,,,0 days 00:00:21.761000,0 days 00:00:39.710000,0 days 00:00:22.316000,0 days 01:43:36.557000,0 days 01:44:16.267000,0 days 01:44:38.583000,166.0,172.0,254.0,258.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:43:14.819000,2024-05-26 13:51:20.208,1,6.0,False,,False,True
0 days 01:45:59.889000,VER,1,0 days 00:01:21.283000,7.0,2.0,,,0 days 00:00:21.383000,0 days 00:00:38.200000,0 days 00:00:21.700000,0 days 01:44:59.966000,0 days 01:45:38.166000,0 days 01:45:59.866000,168.0,172.0,256.0,263.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:44:38.606000,2024-05-26 13:52:43.995,1,6.0,False,,False,True
0 days 01:47:21.546000,VER,1,0 days 00:01:21.657000,8.0,2.0,,,0 days 00:00:21.194000,0 days 00:00:38.504000,0 days 00:00:21.959000,0 days 01:46:21.060000,0 days 01:46:59.564000,0 days 01:47:21.523000,169.0,176.0,254.0,262.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:45:59.889000,2024-05-26 13:54:05.278,1,6.0,False,,False,True
0 days 01:48:43.286000,VER,1,0 days 00:01:21.740000,9.0,2.0,,,0 days 00:00:21.492000,0 days 00:00:38.489000,0 days 00:00:21.759000,0 days 01:47:43.015000,0 days 01:48:21.504000,0 days 01:48:43.263000,173.0,177.0,254.0,263.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:47:21.546000,2024-05-26 13:55:26.935,1,6.0,False,,False,True
0 days 01:50:04.530000,VER,1,0 days 00:01:21.244000,10.0,2.0,,,0 days 00:00:21.172000,0 days 00:00:38.177000,0 days 00:00:21.895000,0 days 01:49:04.435000,0 days 01:49:42.612000,0 days 01:50:04.507000,168.0,179.0,255.0,263.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:48:43.286000,2024-05-26 13:56:48.675,1,6.0,False,,False,True
