LapNumber,LapTime,Compound,Position
1.0,0 days 00:41:18.944000,HARD,10.0
2.0,,MEDIUM,6.0
3.0,0 days 00:01:25.744000,MEDIUM,6.0
4.0,0 days 00:01:23.275000,MEDIUM,6.0
5.0,0 days 00:01:23.400000,MEDIUM,6.0
6.0,0 days 00:01:23.787000,MEDIUM,6.0
7.0,0 days 00:01:21.283000,MEDIUM,6.0
8.0,0 days 00:01:21.657000,MEDIUM,6.0
9.0,0 days 00:01:21.740000,MEDIUM,6.0
10.0,0 days 00:01:21.244000,MEDIUM,6.0
11.0,0 days 00:01:21.492000,MEDIUM,6.0
12.0,0 days 00:01:20.659000,MEDIUM,6.0
13.0,0 days 00:01:19.904000,MEDIUM,6.0
14.0,0 days 00:01:19.723000,MEDIUM,6.0
15.0,0 days 00:01:20.370000,MEDIUM,6.0
16.0,0 days 00:01:20.287000,MEDIUM,6.0
17.0,0 days 00:01:19.898000,MEDIUM,6.0
18.0,0 days 00:01:19.580000,MEDIUM,6.0
19.0,0 days 00:01:20.171000,MEDIUM,6.0
20.0,0 days 00:01:19.886000,MEDIUM,6.0
21.0,0 days 00:01:20.255000,MEDIUM,6.0
22.0,0 days 00:01:19.813000,MEDIUM,6.0
23.0,0 days 00:01:18.979000,MEDIUM,6.0
24.0,0 days 00:01:19.364000,MEDIUM,6.0
25.0,0 days 00:01:19.380000,MEDIUM,6.0
26.0,0 days 00:01:18.818000,MEDIUM,6.0
27.0,0 days 00:01:18.797000,MEDIUM,6.0
28.0,0 days 00:01:18.682000,MEDIUM,6.0
29.0,0 days 00:01:18.795000,MEDIUM,6.0
30.0,0 days 00:01:18.574000,MEDIUM,6.0
31.0,0 days 00:01:18.564000,MEDIUM,6.0
32.0,0 days 00:01:18.983000,MEDIUM,6.0
33.0,0 days 00:01:19.005000,MEDIUM,6.0
34.0,0 days 00:01:19.594000,MEDIUM,6.0
35.0,0 days 00:01:20.207000,MEDIUM,6.0
36.0,0 days 00:01:19.634000,MEDIUM,6.0
37.0,0 days 00:01:19.429000,MEDIUM,6.0
38.0,0 days 00:01:18.844000,MEDIUM,6.0
39.0,0 days 00:01:18.326000,MEDIUM,6.0
40.0,0 days 00:01:18.409000,MEDIUM,6.0
41.0,0 days 00:01:18.083000,MEDIUM,6.0
42.0,0 days 00:01:18.074000,MEDIUM,6.0
43.0,0 days 00:01:18.358000,MEDIUM,6.0
44.0,0 days 00:01:18.405000,MEDIUM,6.0
45.0,0 days 00:01:18.313000,MEDIUM,6.0
46.0,0 days 00:01:18.203000,MEDIUM,6.0
47.0,0 days 00:01:18.537000,MEDIUM,6.0
48.0,0 days 00:01:18.337000,MEDIUM,6.0
49.0,0 days 00:01:18.477000,MEDIUM,6.0
50.0,0 days 00:01:18.880000,MEDIUM,6.0
51.0,0 days 00:01:18.142000,MEDIUM,6.0
52.0,0 days 00:01:33.905000,MEDIUM,6.0
53.0,0 days 00:01:18.724000,HARD,6.0
54.0,0 days 00:01:15.815000,HARD,6.0
55.0,0 days 00:01:15.398000,HARD,6.0
56.0,0 days 00:01:15.466000,HARD,6.0
57.0,0 days 00:01:16.181000,HARD,6.0
58.0,0 days 00:01:14.569000,HARD,6.0
59.0,0 days 00:01:14.748000,HARD,6.0
60.0,0 days 00:01:15.238000,HARD,6.0
61.0,0 days 00:01:15.121000,HARD,6.0
62.0,0 days 00:01:16.561000,HARD,6.0
63.0,0 days 00:01:16.547000,HARD,6.0
64.0,0 days 00:01:16.619000,HARD,6.0
65.0,0 days 00:01:15.468000,HARD,6.0
66.0,0 days 00:01:16.121000,HARD,6.0
67.0,0 days 00:01:16.276000,HARD,6.0
68.0,0 days 00:01:15.954000,HARD,6.0
69.0,0 days 00:01:15.463000,HARD,6.0
70.0,0 days 00:01:15.449000,HARD,6.0
71.0,0 days 00:01:15.659000,HARD,6.0
72.0,0 days 00:01:15.733000,HARD,6.0
73.0,0 days 00:01:15.436000,HARD,6.0
74.0,0 days 00:01:15.380000,HARD,6.0
75.0,0 days 00:01:15.396000,HARD,6.0
76.0,0 days 00:01:15.641000,HARD,6.0
77.0,0 days 00:01:15.543000,HARD,6.0
78.0,0 days 00:01:16.248000,HARD,6.0
