DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
11,PER,1.0,1.0,1.0,4304,SUPERSOFT,True,4304,0 days 00:01:34.212000
11,PER,2.0,1.0,2.0,8608,SUPERSOFT,True,8608,0 days 00:01:24.416000
11,PER,3.0,1.0,3.0,12912,SUPERSOFT,True,12912,0 days 00:01:24.078000
11,PER,4.0,1.0,4.0,17216,SUPERSOFT,True,17216,0 days 00:01:23.975000
11,PER,5.0,1.0,5.0,21520,SUPERSOFT,True,21520,0 days 00:01:40.916000
11,PER,6.0,1.0,6.0,25824,SUPERSOFT,True,25824,0 days 00:01:23.545000
11,PER,7.0,1.0,7.0,30128,SUPERSOFT,True,30128,0 days 00:01:24.256000
11,PER,8.0,1.0,8.0,34432,SUPERSOFT,True,34432,0 days 00:01:24.826000
11,PER,9.0,1.0,9.0,38736,SUPERSOFT,True,38736,0 days 00:01:24.762000
11,PER,10.0,1.0,10.0,43040,SUPERSOFT,True,43040,0 days 00:01:25.542000
11,PER,11.0,1.0,11.0,47344,SUPERSOFT,True,47344,0 days 00:01:27.347000
11,PER,12.0,1.0,12.0,51648,SUPERSOFT,True,51648,0 days 00:01:26.658000
11,PER,13.0,1.0,13.0,55952,SUPERSOFT,True,55952,0 days 00:01:26.389000
11,PER,14.0,1.0,14.0,60256,SUPERSOFT,True,60256,0 days 00:01:23.633000
11,PER,15.0,1.0,15.0,64560,SUPERSOFT,True,64560,0 days 00:01:23.974000
11,PER,16.0,1.0,16.0,68864,SUPERSOFT,True,68864,0 days 00:01:23.583000
11,PER,17.0,1.0,17.0,73168,SUPERSOFT,True,73168,0 days 00:01:23.753000
11,PER,18.0,1.0,18.0,77472,SUPERSOFT,True,77472,0 days 00:01:24.046000
11,PER,19.0,1.0,19.0,81776,SUPERSOFT,True,81776,0 days 00:01:24.465000
11,PER,20.0,1.0,20.0,86080,SUPERSOFT,True,86080,0 days 00:01:24.054000
11,PER,21.0,1.0,21.0,90384,SUPERSOFT,True,90384,0 days 00:01:24.332000
11,PER,22.0,1.0,22.0,94688,SUPERSOFT,True,94688,0 days 00:01:24.701000
11,PER,23.0,1.0,23.0,98992,SUPERSOFT,True,98992,0 days 00:01:24.538000
11,PER,24.0,1.0,24.0,103296,SUPERSOFT,True,103296,0 days 00:01:24.664000
11,PER,25.0,1.0,25.0,107600,SUPERSOFT,True,107600,0 days 00:01:24.903000
11,PER,26.0,1.0,26.0,111904,SUPERSOFT,True,111904,0 days 00:01:24.370000
11,PER,27.0,1.0,27.0,116208,SUPERSOFT,True,116208,0 days 00:01:24.798000
11,PER,28.0,1.0,28.0,120512,SUPERSOFT,True,120512,0 days 00:01:24.284000
11,PER,29.0,1.0,29.0,124816,SUPERSOFT,True,124816,0 days 00:01:23.837000
11,PER,30.0,1.0,30.0,129120,SUPERSOFT,True,129120,0 days 00:01:49.679000
11,PER,31.0,2.0,4.0,17216,ULTRASOFT,False,133424,0 days 00:02:03.872000
11,PER,32.0,2.0,5.0,21520,ULTRASOFT,False,137728,0 days 00:01:24.174000
11,PER,33.0,2.0,6.0,25824,ULTRASOFT,False,142032,0 days 00:01:27.025000
11,PER,34.0,2.0,7.0,30128,ULTRASOFT,False,146336,0 days 00:01:24.442000
11,PER,35.0,2.0,8.0,34432,ULTRASOFT,False,150640,0 days 00:01:24.451000
11,PER,36.0,2.0,9.0,38736,ULTRASOFT,False,154944,0 days 00:01:26.225000
11,PER,37.0,2.0,10.0,43040,ULTRASOFT,False,159248,0 days 00:01:27.517000
11,PER,38.0,2.0,11.0,47344,ULTRASOFT,False,163552,0 days 00:01:42.831000
