DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
11,PER,1.0,,,0,nan,True,0,0 days 00:01:30.842000
11,PER,2.0,1.0,4.0,13348,HYPERSOFT,False,6674,0 days 00:01:20.609000
11,PER,3.0,1.0,5.0,16685,HYPERSOFT,False,10011,0 days 00:01:19.711000
11,PER,4.0,1.0,6.0,20022,HYPERSOFT,False,13348,0 days 00:01:19.563000
11,PER,5.0,1.0,7.0,23359,HYPERSOFT,False,16685,0 days 00:01:19.376000
11,PER,6.0,1.0,8.0,26696,HYPERSOFT,False,20022,0 days 00:01:19.588000
11,PER,7.0,1.0,9.0,30033,HYPERSOFT,False,23359,0 days 00:01:19.654000
11,PER,8.0,1.0,10.0,33370,HYPERSOFT,False,26696,0 days 00:01:19.475000
11,PER,9.0,1.0,11.0,36707,HYPERSOFT,False,30033,0 days 00:01:19.040000
11,PER,10.0,1.0,12.0,40044,HYPERSOFT,False,33370,0 days 00:01:18.930000
11,PER,11.0,1.0,13.0,43381,HYPERSOFT,False,36707,0 days 00:01:19.175000
11,PER,12.0,1.0,14.0,46718,HYPERSOFT,False,40044,0 days 00:01:19.067000
11,PER,13.0,1.0,15.0,50055,HYPERSOFT,False,43381,0 days 00:01:19.495000
11,PER,14.0,1.0,16.0,53392,HYPERSOFT,False,46718,0 days 00:01:19.668000
11,PER,15.0,1.0,17.0,56729,HYPERSOFT,False,50055,0 days 00:01:20.311000
11,PER,16.0,1.0,18.0,60066,HYPERSOFT,False,53392,0 days 00:01:20.884000
11,PER,17.0,1.0,19.0,63403,HYPERSOFT,False,56729,0 days 00:01:18.682000
11,PER,18.0,1.0,20.0,66740,HYPERSOFT,False,60066,0 days 00:01:18.379000
11,PER,19.0,1.0,21.0,70077,HYPERSOFT,False,63403,0 days 00:01:19.143000
11,PER,20.0,1.0,22.0,73414,HYPERSOFT,False,66740,0 days 00:01:19.263000
11,PER,21.0,1.0,23.0,76751,HYPERSOFT,False,70077,0 days 00:01:40.898000
11,PER,22.0,2.0,1.0,3337,SUPERSOFT,True,73414,0 days 00:01:21.571000
11,PER,23.0,2.0,2.0,6674,SUPERSOFT,True,76751,0 days 00:01:18.373000
11,PER,24.0,2.0,3.0,10011,SUPERSOFT,True,80088,0 days 00:01:17.546000
11,PER,25.0,2.0,4.0,13348,SUPERSOFT,True,83425,0 days 00:01:17.869000
11,PER,26.0,2.0,5.0,16685,SUPERSOFT,True,86762,0 days 00:01:18.157000
11,PER,27.0,2.0,6.0,20022,SUPERSOFT,True,90099,0 days 00:01:18.206000
11,PER,28.0,2.0,7.0,23359,SUPERSOFT,True,93436,0 days 00:01:18.708000
11,PER,29.0,2.0,8.0,26696,SUPERSOFT,True,96773,0 days 00:01:18.896000
11,PER,30.0,2.0,9.0,30033,SUPERSOFT,True,100110,0 days 00:01:19.886000
