DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
11,PER,1.0,1.0,1.0,5848,SOFT,True,0 days 00:02:15.556000
11,PER,2.0,1.0,2.0,11696,SOFT,True,
11,PER,3.0,1.0,3.0,17544,SOFT,True,
11,PER,4.0,1.0,4.0,23392,SOFT,True,0 days 00:01:43.520000
11,PER,5.0,1.0,5.0,29240,SOFT,True,0 days 00:01:42.686000
11,PER,6.0,1.0,6.0,35088,SOFT,True,0 days 00:01:41.890000
11,PER,7.0,1.0,7.0,40936,SOFT,True,0 days 00:01:42.411000
11,PER,8.0,1.0,8.0,46784,SOFT,True,0 days 00:01:43.434000
11,PER,9.0,1.0,9.0,52632,SOFT,True,0 days 00:01:41.622000
11,PER,10.0,1.0,10.0,58480,SOFT,True,0 days 00:01:41.418000
11,PER,11.0,1.0,11.0,64328,SOFT,True,0 days 00:01:41.030000
11,PER,12.0,1.0,12.0,70176,SOFT,True,0 days 00:01:41.984000
11,PER,13.0,1.0,13.0,76024,SOFT,True,0 days 00:01:41.384000
11,PER,14.0,1.0,14.0,81872,SOFT,True,0 days 00:01:42.031000
11,PER,15.0,1.0,15.0,87720,SOFT,True,0 days 00:01:41.193000
11,PER,16.0,1.0,16.0,93568,SOFT,True,0 days 00:01:40.957000
11,PER,17.0,1.0,17.0,99416,SOFT,True,0 days 00:01:40.739000
11,PER,18.0,1.0,18.0,105264,SOFT,True,0 days 00:01:40.347000
11,PER,19.0,1.0,19.0,111112,SOFT,True,0 days 00:01:40.415000
11,PER,20.0,1.0,20.0,116960,SOFT,True,0 days 00:01:40.223000
11,PER,21.0,1.0,21.0,122808,SOFT,True,0 days 00:01:40.068000
11,PER,22.0,1.0,22.0,128656,SOFT,True,0 days 00:01:39.922000
11,PER,23.0,1.0,23.0,134504,SOFT,True,0 days 00:01:44.128000
11,PER,24.0,2.0,1.0,5848,MEDIUM,True,0 days 00:02:01.343000
11,PER,25.0,2.0,2.0,11696,MEDIUM,True,0 days 00:01:40.264000
11,PER,26.0,2.0,3.0,17544,MEDIUM,True,0 days 00:01:42.034000
11,PER,27.0,2.0,4.0,23392,MEDIUM,True,0 days 00:01:52.935000
11,PER,28.0,2.0,5.0,29240,MEDIUM,True,0 days 00:02:08.236000
11,PER,29.0,2.0,6.0,35088,MEDIUM,True,0 days 00:02:13.583000
11,PER,30.0,2.0,7.0,40936,MEDIUM,True,0 days 00:02:17.101000
11,PER,31.0,2.0,8.0,46784,MEDIUM,True,0 days 00:01:49.073000
11,PER,32.0,2.0,9.0,52632,MEDIUM,True,
11,PER,33.0,2.0,10.0,58480,MEDIUM,True,0 days 00:01:41.888000
11,PER,34.0,2.0,11.0,64328,MEDIUM,True,0 days 00:01:40.171000
11,PER,35.0,2.0,12.0,70176,MEDIUM,True,0 days 00:01:40.778000
11,PER,36.0,2.0,13.0,76024,MEDIUM,True,0 days 00:01:39.773000
11,PER,37.0,2.0,14.0,81872,MEDIUM,True,0 days 00:01:39.237000
11,PER,38.0,2.0,15.0,87720,MEDIUM,True,0 days 00:01:39.162000
11,PER,39.0,2.0,16.0,93568,MEDIUM,True,0 days 00:01:38.951000
11,PER,40.0,2.0,17.0,99416,MEDIUM,True,0 days 00:01:38.744000
11,PER,41.0,2.0,18.0,105264,MEDIUM,True,0 days 00:01:39.381000
11,PER,42.0,2.0,19.0,111112,MEDIUM,True,0 days 00:01:39.432000
11,PER,43.0,2.0,20.0,116960,MEDIUM,True,0 days 00:01:39.154000
11,PER,44.0,2.0,21.0,122808,MEDIUM,True,0 days 00:01:38.266000
11,PER,45.0,2.0,22.0,128656,MEDIUM,True,0 days 00:01:38.369000
11,PER,46.0,2.0,23.0,134504,MEDIUM,True,0 days 00:01:38.213000
11,PER,47.0,2.0,24.0,140352,MEDIUM,True,0 days 00:01:38.075000
11,PER,48.0,2.0,25.0,146200,MEDIUM,True,0 days 00:01:38.295000
11,PER,49.0,2.0,26.0,152048,MEDIUM,True,0 days 00:01:38.043000
11,PER,50.0,2.0,27.0,157896,MEDIUM,True,0 days 00:01:38.309000
11,PER,51.0,2.0,28.0,163744,MEDIUM,True,0 days 00:01:38.247000
11,PER,52.0,2.0,29.0,169592,MEDIUM,True,0 days 00:01:38.332000
11,PER,53.0,2.0,30.0,175440,MEDIUM,True,0 days 00:01:38.482000
