Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
14,1.0,,,0,nan,True,0 days 00:01:28.656000
14,2.0,1.0,6.0,20022,HYPERSOFT,False,0 days 00:01:19.987000
14,3.0,1.0,7.0,23359,HYPERSOFT,False,0 days 00:01:19.790000
14,4.0,1.0,8.0,26696,HYPERSOFT,False,0 days 00:01:19.456000
14,5.0,1.0,9.0,30033,HYPERSOFT,False,0 days 00:01:19.135000
14,6.0,1.0,10.0,33370,HYPERSOFT,False,0 days 00:01:19.162000
14,7.0,1.0,11.0,36707,HYPERSOFT,False,0 days 00:01:18.974000
14,8.0,1.0,12.0,40044,HYPERSOFT,False,0 days 00:01:19.401000
14,9.0,1.0,13.0,43381,HYPERSOFT,False,0 days 00:01:18.773000
14,10.0,1.0,14.0,46718,HYPERSOFT,False,0 days 00:01:18.687000
14,11.0,1.0,15.0,50055,HYPERSOFT,False,0 days 00:01:18.701000
14,12.0,1.0,16.0,53392,HYPERSOFT,False,0 days 00:01:18.837000
14,13.0,1.0,17.0,56729,HYPERSOFT,False,0 days 00:01:18.989000
14,14.0,1.0,18.0,60066,HYPERSOFT,False,0 days 00:01:19.302000
14,15.0,1.0,19.0,63403,HYPERSOFT,False,0 days 00:01:18.991000
14,16.0,1.0,20.0,66740,HYPERSOFT,False,0 days 00:01:19.087000
14,17.0,1.0,21.0,70077,HYPERSOFT,False,0 days 00:01:19.427000
14,18.0,1.0,22.0,73414,HYPERSOFT,False,0 days 00:01:19.320000
14,19.0,1.0,23.0,76751,HYPERSOFT,False,0 days 00:01:36.370000
14,20.0,2.0,1.0,3337,SUPERSOFT,True,0 days 00:01:22.318000
14,21.0,2.0,2.0,6674,SUPERSOFT,True,0 days 00:01:19.578000
14,22.0,2.0,3.0,10011,SUPERSOFT,True,0 days 00:01:17.484000
14,23.0,2.0,4.0,13348,SUPERSOFT,True,0 days 00:01:17.018000
14,24.0,2.0,5.0,16685,SUPERSOFT,True,0 days 00:01:19.443000
14,25.0,2.0,6.0,20022,SUPERSOFT,True,0 days 00:01:19.296000
14,26.0,2.0,7.0,23359,SUPERSOFT,True,0 days 00:01:19.853000
14,27.0,2.0,8.0,26696,SUPERSOFT,True,0 days 00:01:19.601000
14,28.0,2.0,9.0,30033,SUPERSOFT,True,0 days 00:01:19.658000
14,29.0,2.0,10.0,33370,SUPERSOFT,True,0 days 00:01:19.022000
14,30.0,2.0,11.0,36707,SUPERSOFT,True,0 days 00:01:18.819000
14,31.0,2.0,12.0,40044,SUPERSOFT,True,0 days 00:01:18.663000
14,32.0,2.0,13.0,43381,SUPERSOFT,True,0 days 00:01:18.916000
14,33.0,2.0,14.0,46718,SUPERSOFT,True,0 days 00:01:18.653000
14,34.0,2.0,15.0,50055,SUPERSOFT,True,0 days 00:01:18.317000
14,35.0,2.0,16.0,53392,SUPERSOFT,True,0 days 00:01:18.095000
14,36.0,2.0,17.0,56729,SUPERSOFT,True,0 days 00:01:18.690000
14,37.0,2.0,18.0,60066,SUPERSOFT,True,0 days 00:01:18.551000
14,38.0,2.0,19.0,63403,SUPERSOFT,True,0 days 00:01:19.844000
14,39.0,2.0,20.0,66740,SUPERSOFT,True,0 days 00:01:18.883000
14,40.0,2.0,21.0,70077,SUPERSOFT,True,0 days 00:01:19.554000
14,41.0,2.0,22.0,73414,SUPERSOFT,True,0 days 00:01:19.346000
14,42.0,2.0,23.0,76751,SUPERSOFT,True,0 days 00:01:18.186000
14,43.0,2.0,24.0,80088,SUPERSOFT,True,0 days 00:01:18.473000
14,44.0,2.0,25.0,83425,SUPERSOFT,True,0 days 00:01:18.185000
14,45.0,2.0,26.0,86762,SUPERSOFT,True,0 days 00:01:18.897000
14,46.0,2.0,27.0,90099,SUPERSOFT,True,0 days 00:01:17.898000
14,47.0,2.0,28.0,93436,SUPERSOFT,True,0 days 00:01:18.357000
14,48.0,2.0,29.0,96773,SUPERSOFT,True,0 days 00:01:18.915000
14,49.0,2.0,30.0,100110,SUPERSOFT,True,0 days 00:01:18.986000
14,50.0,2.0,31.0,103447,SUPERSOFT,True,0 days 00:01:21.492000
14,51.0,2.0,32.0,106784,SUPERSOFT,True,0 days 00:01:21.376000
14,52.0,2.0,33.0,110121,SUPERSOFT,True,0 days 00:01:22.363000
14,53.0,2.0,34.0,113458,SUPERSOFT,True,
