DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
20,MAG,1.0,1.0,1.0,4381,MEDIUM,True,4381,0 days 00:01:37.219000
20,MAG,2.0,1.0,2.0,8762,MEDIUM,True,8762,0 days 00:01:26.850000
20,MAG,3.0,1.0,3.0,13143,MEDIUM,True,13143,0 days 00:01:25.877000
20,MAG,4.0,1.0,4.0,17524,MEDIUM,True,17524,0 days 00:01:24.766000
20,MAG,5.0,1.0,5.0,21905,MEDIUM,True,21905,0 days 00:01:24.748000
20,MAG,6.0,1.0,6.0,26286,MEDIUM,True,26286,0 days 00:01:25.060000
20,MAG,7.0,1.0,7.0,30667,MEDIUM,True,30667,0 days 00:01:25.318000
20,MAG,8.0,1.0,8.0,35048,MEDIUM,True,35048,0 days 00:01:24.951000
20,MAG,9.0,1.0,9.0,39429,MEDIUM,True,39429,0 days 00:01:25.098000
20,MAG,10.0,1.0,10.0,43810,MEDIUM,True,43810,0 days 00:01:24.648000
20,MAG,11.0,1.0,11.0,48191,MEDIUM,True,48191,0 days 00:01:24.726000
20,MAG,12.0,1.0,12.0,52572,MEDIUM,True,52572,0 days 00:01:24.151000
20,MAG,13.0,1.0,13.0,56953,MEDIUM,True,56953,0 days 00:01:24.209000
20,MAG,14.0,1.0,14.0,61334,MEDIUM,True,61334,0 days 00:01:24.317000
20,MAG,15.0,1.0,15.0,65715,MEDIUM,True,65715,0 days 00:01:23.900000
20,MAG,16.0,1.0,16.0,70096,MEDIUM,True,70096,0 days 00:01:24.009000
20,MAG,17.0,1.0,17.0,74477,MEDIUM,True,74477,0 days 00:01:24.091000
20,MAG,18.0,1.0,18.0,78858,MEDIUM,True,78858,0 days 00:01:24.489000
20,MAG,19.0,1.0,19.0,83239,MEDIUM,True,83239,0 days 00:01:24.409000
20,MAG,20.0,1.0,20.0,87620,MEDIUM,True,87620,0 days 00:01:24.460000
20,MAG,21.0,1.0,21.0,92001,MEDIUM,True,92001,0 days 00:01:23.860000
20,MAG,22.0,1.0,22.0,96382,MEDIUM,True,96382,0 days 00:01:23.416000
20,MAG,23.0,1.0,23.0,100763,MEDIUM,True,100763,0 days 00:01:23.306000
20,MAG,24.0,1.0,24.0,105144,MEDIUM,True,105144,0 days 00:01:23.093000
20,MAG,25.0,1.0,25.0,109525,MEDIUM,True,109525,0 days 00:01:23.395000
20,MAG,26.0,1.0,26.0,113906,MEDIUM,True,113906,0 days 00:01:23.270000
20,MAG,27.0,1.0,27.0,118287,MEDIUM,True,118287,0 days 00:01:23.340000
20,MAG,28.0,1.0,28.0,122668,MEDIUM,True,122668,0 days 00:01:23.218000
20,MAG,29.0,1.0,29.0,127049,MEDIUM,True,127049,0 days 00:01:24.069000
