Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
23,1.0,1.0,4.0,22052,SOFT,False,0 days 00:01:49.520000
23,2.0,2.0,1.0,5513,MEDIUM,True,0 days 00:02:10.508000
23,3.0,2.0,2.0,11026,MEDIUM,True,0 days 00:01:40.155000
23,4.0,2.0,3.0,16539,MEDIUM,True,0 days 00:01:40.377000
23,5.0,2.0,4.0,22052,MEDIUM,True,0 days 00:01:40.398000
23,6.0,2.0,5.0,27565,MEDIUM,True,0 days 00:01:41.410000
23,7.0,2.0,6.0,33078,MEDIUM,True,0 days 00:01:41.781000
23,8.0,2.0,7.0,38591,MEDIUM,True,0 days 00:01:43.037000
23,9.0,2.0,8.0,44104,MEDIUM,True,0 days 00:01:41.830000
23,10.0,2.0,9.0,49617,MEDIUM,True,0 days 00:01:42.007000
23,11.0,2.0,10.0,55130,MEDIUM,True,0 days 00:01:44.069000
23,12.0,2.0,11.0,60643,MEDIUM,True,0 days 00:01:42.601000
23,13.0,2.0,12.0,66156,MEDIUM,True,0 days 00:01:43.552000
23,14.0,2.0,13.0,71669,MEDIUM,True,0 days 00:01:43.271000
23,15.0,2.0,14.0,77182,MEDIUM,True,0 days 00:01:41.765000
23,16.0,2.0,15.0,82695,MEDIUM,True,0 days 00:01:42.230000
23,17.0,2.0,16.0,88208,MEDIUM,True,0 days 00:01:42.384000
23,18.0,2.0,17.0,93721,MEDIUM,True,0 days 00:01:42.371000
23,19.0,2.0,18.0,99234,MEDIUM,True,0 days 00:01:42.802000
23,20.0,2.0,19.0,104747,MEDIUM,True,0 days 00:01:43.470000
23,21.0,3.0,1.0,5513,MEDIUM,True,0 days 00:02:00.052000
23,22.0,3.0,2.0,11026,MEDIUM,True,0 days 00:01:40.437000
23,23.0,3.0,3.0,16539,MEDIUM,True,0 days 00:01:39.593000
23,24.0,3.0,4.0,22052,MEDIUM,True,0 days 00:01:40.225000
23,25.0,3.0,5.0,27565,MEDIUM,True,0 days 00:01:39.204000
23,26.0,3.0,6.0,33078,MEDIUM,True,0 days 00:01:39.720000
23,27.0,3.0,7.0,38591,MEDIUM,True,0 days 00:01:41.114000
23,28.0,3.0,8.0,44104,MEDIUM,True,0 days 00:01:40.200000
23,29.0,3.0,9.0,49617,MEDIUM,True,0 days 00:01:39.790000
23,30.0,3.0,10.0,55130,MEDIUM,True,0 days 00:01:40.470000
23,31.0,3.0,11.0,60643,MEDIUM,True,0 days 00:01:40.303000
23,32.0,3.0,12.0,66156,MEDIUM,True,0 days 00:01:39.752000
23,33.0,3.0,13.0,71669,MEDIUM,True,0 days 00:01:40.139000
23,34.0,3.0,14.0,77182,MEDIUM,True,0 days 00:01:40.598000
23,35.0,3.0,15.0,82695,MEDIUM,True,0 days 00:01:40.407000
23,36.0,3.0,16.0,88208,MEDIUM,True,0 days 00:01:41.209000
23,37.0,3.0,17.0,93721,MEDIUM,True,0 days 00:01:40.103000
23,38.0,3.0,18.0,99234,MEDIUM,True,0 days 00:01:40.503000
23,39.0,3.0,19.0,104747,MEDIUM,True,0 days 00:01:40.614000
23,40.0,3.0,20.0,110260,MEDIUM,True,0 days 00:01:40.639000
23,41.0,4.0,4.0,22052,SOFT,False,0 days 00:01:58.858000
23,42.0,4.0,5.0,27565,SOFT,False,0 days 00:01:38.029000
23,43.0,4.0,6.0,33078,SOFT,False,0 days 00:01:38.912000
23,44.0,4.0,7.0,38591,SOFT,False,0 days 00:01:38.634000
23,45.0,4.0,8.0,44104,SOFT,False,0 days 00:01:39.306000
23,46.0,4.0,9.0,49617,SOFT,False,0 days 00:01:38.574000
23,47.0,4.0,10.0,55130,SOFT,False,0 days 00:01:38.939000
23,48.0,4.0,11.0,60643,SOFT,False,0 days 00:01:38.481000
23,49.0,4.0,12.0,66156,SOFT,False,0 days 00:01:39.957000
23,50.0,4.0,13.0,71669,SOFT,False,0 days 00:01:39.932000
23,51.0,4.0,14.0,77182,SOFT,False,0 days 00:01:39.935000
23,52.0,4.0,15.0,82695,SOFT,False,0 days 00:01:40.340000
23,53.0,4.0,16.0,88208,SOFT,False,0 days 00:01:40.543000
23,54.0,4.0,17.0,93721,SOFT,False,0 days 00:01:39.445000
23,55.0,4.0,18.0,99234,SOFT,False,0 days 00:01:38.955000
23,56.0,4.0,19.0,104747,SOFT,False,0 days 00:01:40.241000
