Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
27,1.0,1.0,4.0,0,SOFT,False,0 days 00:01:52.942000
27,2.0,1.0,5.0,0,SOFT,False,0 days 00:01:45.616000
27,3.0,1.0,6.0,0,SOFT,False,0 days 00:01:45.595000
27,4.0,1.0,7.0,0,SOFT,False,0 days 00:01:45.544000
27,5.0,1.0,8.0,0,SOFT,False,0 days 00:01:45.338000
27,6.0,1.0,9.0,0,SOFT,False,0 days 00:01:45.793000
27,7.0,1.0,10.0,0,SOFT,False,0 days 00:01:45.319000
27,8.0,1.0,11.0,0,SOFT,False,0 days 00:01:45.663000
27,9.0,1.0,12.0,0,SOFT,False,0 days 00:01:45.492000
27,10.0,1.0,13.0,0,SOFT,False,0 days 00:01:45.371000
27,11.0,1.0,14.0,0,SOFT,False,0 days 00:01:45.278000
27,12.0,1.0,15.0,0,SOFT,False,0 days 00:01:44.753000
27,13.0,1.0,16.0,0,SOFT,False,0 days 00:01:44.202000
27,14.0,1.0,17.0,0,SOFT,False,0 days 00:01:44.614000
27,15.0,1.0,18.0,0,SOFT,False,0 days 00:01:44.655000
27,16.0,1.0,19.0,0,SOFT,False,0 days 00:01:44.474000
27,17.0,1.0,20.0,0,SOFT,False,0 days 00:01:45.441000
27,18.0,1.0,21.0,0,SOFT,False,0 days 00:01:47.732000
27,19.0,2.0,1.0,0,MEDIUM,True,0 days 00:02:04.370000
27,20.0,2.0,2.0,0,MEDIUM,True,0 days 00:01:45.263000
27,21.0,2.0,3.0,0,MEDIUM,True,0 days 00:01:44.718000
27,22.0,2.0,4.0,0,MEDIUM,True,0 days 00:01:45.005000
27,23.0,2.0,5.0,0,MEDIUM,True,0 days 00:01:44.484000
27,24.0,2.0,6.0,0,MEDIUM,True,0 days 00:01:44.243000
27,25.0,2.0,7.0,0,MEDIUM,True,0 days 00:01:44.603000
27,26.0,2.0,8.0,0,MEDIUM,True,0 days 00:01:44.800000
27,27.0,2.0,9.0,0,MEDIUM,True,0 days 00:01:44.380000
27,28.0,2.0,10.0,0,MEDIUM,True,0 days 00:01:44.400000
27,29.0,2.0,11.0,0,MEDIUM,True,0 days 00:01:44.317000
27,30.0,2.0,12.0,0,MEDIUM,True,0 days 00:01:44.324000
27,31.0,2.0,13.0,0,MEDIUM,True,0 days 00:01:44.358000
27,32.0,2.0,14.0,0,MEDIUM,True,0 days 00:01:44.527000
27,33.0,2.0,15.0,0,MEDIUM,True,0 days 00:01:43.961000
27,34.0,2.0,16.0,0,MEDIUM,True,0 days 00:01:44.281000
27,35.0,2.0,17.0,0,MEDIUM,True,0 days 00:01:43.993000
27,36.0,2.0,18.0,0,MEDIUM,True,0 days 00:01:44.225000
27,37.0,2.0,19.0,0,MEDIUM,True,0 days 00:01:43.990000
27,38.0,2.0,20.0,0,MEDIUM,True,0 days 00:01:43.743000
27,39.0,2.0,21.0,0,MEDIUM,True,0 days 00:01:43.807000
27,40.0,2.0,22.0,0,MEDIUM,True,0 days 00:01:43.894000
27,41.0,2.0,23.0,0,MEDIUM,True,0 days 00:01:43.483000
27,42.0,2.0,24.0,0,MEDIUM,True,0 days 00:01:43.683000
27,43.0,2.0,25.0,0,MEDIUM,True,0 days 00:01:45.203000
27,44.0,2.0,26.0,0,MEDIUM,True,0 days 00:01:43.655000
27,45.0,2.0,27.0,0,MEDIUM,True,0 days 00:01:44.893000
27,46.0,2.0,28.0,0,MEDIUM,True,0 days 00:01:45.415000
27,47.0,2.0,29.0,0,MEDIUM,True,0 days 00:01:43.631000
27,48.0,2.0,30.0,0,MEDIUM,True,0 days 00:01:45.323000
27,49.0,2.0,31.0,0,MEDIUM,True,0 days 00:01:43.439000
27,50.0,2.0,32.0,0,MEDIUM,True,0 days 00:01:43.778000
27,51.0,2.0,33.0,0,MEDIUM,True,0 days 00:01:43.412000
27,52.0,2.0,34.0,0,MEDIUM,True,0 days 00:01:43.274000
27,53.0,2.0,35.0,0,MEDIUM,True,0 days 00:01:43.409000
27,54.0,2.0,36.0,0,MEDIUM,True,0 days 00:01:46.988000
