DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
27,HUL,1.0,,,0,nan,True,0,0 days 00:01:42.566000
27,HUL,2.0,1.0,4.0,21648,SUPERSOFT,False,10824,0 days 00:01:47.648000
27,HUL,3.0,1.0,5.0,27060,SUPERSOFT,False,16236,0 days 00:02:08.657000
27,HUL,4.0,1.0,6.0,32472,SUPERSOFT,False,21648,0 days 00:01:55.439000
27,HUL,5.0,1.0,7.0,37884,SUPERSOFT,False,27060,0 days 00:01:38.243000
27,HUL,6.0,1.0,8.0,43296,SUPERSOFT,False,32472,0 days 00:01:37.673000
27,HUL,7.0,1.0,9.0,48708,SUPERSOFT,False,37884,0 days 00:01:37.722000
27,HUL,8.0,1.0,10.0,54120,SUPERSOFT,False,43296,0 days 00:01:37.599000
27,HUL,9.0,1.0,11.0,59532,SUPERSOFT,False,48708,0 days 00:01:37.730000
27,HUL,10.0,1.0,12.0,64944,SUPERSOFT,False,54120,0 days 00:01:37.628000
27,HUL,11.0,1.0,13.0,70356,SUPERSOFT,False,59532,0 days 00:01:37.531000
27,HUL,12.0,1.0,14.0,75768,SUPERSOFT,False,64944,0 days 00:01:37.476000
27,HUL,13.0,1.0,15.0,81180,SUPERSOFT,False,70356,0 days 00:01:37.388000
27,HUL,14.0,1.0,16.0,86592,SUPERSOFT,False,75768,0 days 00:01:37.317000
27,HUL,15.0,1.0,17.0,92004,SUPERSOFT,False,81180,0 days 00:01:40.010000
27,HUL,16.0,2.0,1.0,5412,SOFT,True,86592,0 days 00:01:56.761000
27,HUL,17.0,2.0,2.0,10824,SOFT,True,92004,0 days 00:01:35.586000
27,HUL,18.0,2.0,3.0,16236,SOFT,True,97416,0 days 00:01:36.097000
27,HUL,19.0,2.0,4.0,21648,SOFT,True,102828,0 days 00:01:36.282000
27,HUL,20.0,2.0,5.0,27060,SOFT,True,108240,0 days 00:01:36.753000
27,HUL,21.0,2.0,6.0,32472,SOFT,True,113652,0 days 00:01:36.507000
27,HUL,22.0,2.0,7.0,37884,SOFT,True,119064,0 days 00:01:37.170000
27,HUL,23.0,2.0,8.0,43296,SOFT,True,124476,0 days 00:01:38.564000
27,HUL,24.0,2.0,9.0,48708,SOFT,True,129888,0 days 00:01:35.761000
27,HUL,25.0,2.0,10.0,54120,SOFT,True,135300,0 days 00:01:36.025000
27,HUL,26.0,2.0,11.0,59532,SOFT,True,140712,0 days 00:01:36.361000
27,HUL,27.0,2.0,12.0,64944,SOFT,True,146124,0 days 00:01:36.639000
27,HUL,28.0,2.0,13.0,70356,SOFT,True,151536,0 days 00:01:36.147000
27,HUL,29.0,2.0,14.0,75768,SOFT,True,156948,0 days 00:01:36.380000
27,HUL,30.0,2.0,15.0,81180,SOFT,True,162360,0 days 00:01:36.407000
27,HUL,31.0,2.0,16.0,86592,SOFT,True,167772,0 days 00:01:36.385000
27,HUL,32.0,2.0,17.0,92004,SOFT,True,173184,0 days 00:01:36.667000
27,HUL,33.0,2.0,18.0,97416,SOFT,True,178596,0 days 00:01:36.967000
27,HUL,34.0,2.0,19.0,102828,SOFT,True,184008,0 days 00:01:36.877000
27,HUL,35.0,2.0,20.0,108240,SOFT,True,189420,0 days 00:01:36.952000
27,HUL,36.0,2.0,21.0,113652,SOFT,True,194832,0 days 00:01:36.906000
27,HUL,37.0,2.0,22.0,119064,SOFT,True,200244,0 days 00:01:36.873000
27,HUL,38.0,2.0,23.0,124476,SOFT,True,205656,0 days 00:01:36.691000
27,HUL,39.0,2.0,24.0,129888,SOFT,True,211068,0 days 00:01:39.445000
27,HUL,40.0,3.0,4.0,21648,SUPERSOFT,False,216480,0 days 00:01:54.638000
27,HUL,41.0,3.0,5.0,27060,SUPERSOFT,False,221892,0 days 00:01:35.508000
27,HUL,42.0,3.0,6.0,32472,SUPERSOFT,False,227304,0 days 00:01:35.438000
27,HUL,43.0,3.0,7.0,37884,SUPERSOFT,False,232716,0 days 00:01:35.078000
27,HUL,44.0,3.0,8.0,43296,SUPERSOFT,False,238128,0 days 00:01:35.208000
27,HUL,45.0,3.0,9.0,48708,SUPERSOFT,False,243540,0 days 00:01:35.111000
27,HUL,46.0,3.0,10.0,54120,SUPERSOFT,False,248952,0 days 00:01:35.120000
27,HUL,47.0,3.0,11.0,59532,SUPERSOFT,False,254364,0 days 00:01:34.940000
27,HUL,48.0,3.0,12.0,64944,SUPERSOFT,False,259776,0 days 00:01:34.808000
27,HUL,49.0,3.0,13.0,70356,SUPERSOFT,False,265188,0 days 00:01:34.985000
27,HUL,50.0,3.0,14.0,75768,SUPERSOFT,False,270600,0 days 00:01:34.667000
27,HUL,51.0,3.0,15.0,81180,SUPERSOFT,False,276012,0 days 00:01:34.827000
27,HUL,52.0,3.0,16.0,86592,SUPERSOFT,False,281424,0 days 00:01:34.862000
27,HUL,53.0,3.0,17.0,92004,SUPERSOFT,False,286836,0 days 00:01:34.915000
27,HUL,54.0,3.0,18.0,97416,SUPERSOFT,False,292248,0 days 00:01:34.957000
27,HUL,55.0,3.0,19.0,102828,SUPERSOFT,False,297660,0 days 00:01:34.726000
27,HUL,56.0,3.0,20.0,108240,SUPERSOFT,False,303072,0 days 00:01:38.195000
27,HUL,57.0,3.0,21.0,113652,SUPERSOFT,False,308484,0 days 00:01:51.151000
