DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
27,HUL,1.0,,,0,nan,True,0,0 days 00:01:41.799000
27,HUL,2.0,1.0,1.0,5891,MEDIUM,True,11782,0 days 00:01:35.432000
27,HUL,3.0,1.0,2.0,11782,MEDIUM,True,17673,0 days 00:01:34.933000
27,HUL,4.0,1.0,3.0,17673,MEDIUM,True,23564,0 days 00:01:35.088000
27,HUL,5.0,1.0,4.0,23564,MEDIUM,True,29455,0 days 00:01:35.303000
27,HUL,6.0,1.0,5.0,29455,MEDIUM,True,35346,0 days 00:01:35.608000
27,HUL,7.0,1.0,6.0,35346,MEDIUM,True,41237,0 days 00:01:35.829000
27,HUL,8.0,1.0,7.0,41237,MEDIUM,True,47128,0 days 00:01:35.417000
27,HUL,9.0,1.0,8.0,47128,MEDIUM,True,53019,0 days 00:01:35.492000
27,HUL,10.0,1.0,9.0,53019,MEDIUM,True,58910,0 days 00:01:36.624000
27,HUL,11.0,1.0,10.0,58910,MEDIUM,True,64801,0 days 00:01:35.421000
27,HUL,12.0,1.0,11.0,64801,MEDIUM,True,70692,0 days 00:01:35.244000
27,HUL,13.0,1.0,12.0,70692,MEDIUM,True,76583,0 days 00:01:35.846000
27,HUL,14.0,1.0,13.0,76583,MEDIUM,True,82474,0 days 00:01:35.615000
27,HUL,15.0,1.0,14.0,82474,MEDIUM,True,88365,0 days 00:01:35.467000
27,HUL,16.0,1.0,15.0,88365,MEDIUM,True,94256,0 days 00:01:35.030000
27,HUL,17.0,1.0,16.0,94256,MEDIUM,True,100147,0 days 00:01:36.283000
27,HUL,18.0,1.0,17.0,100147,MEDIUM,True,106038,0 days 00:01:35.300000
27,HUL,19.0,1.0,18.0,106038,MEDIUM,True,111929,0 days 00:01:35.043000
27,HUL,20.0,1.0,19.0,111929,MEDIUM,True,117820,0 days 00:01:34.272000
27,HUL,21.0,2.0,1.0,5891,HARD,True,123711,0 days 00:01:55.604000
27,HUL,22.0,2.0,2.0,11782,HARD,True,129602,0 days 00:01:35.281000
27,HUL,23.0,2.0,3.0,17673,HARD,True,135493,0 days 00:01:35.443000
27,HUL,24.0,2.0,4.0,23564,HARD,True,141384,0 days 00:01:35.629000
27,HUL,25.0,2.0,5.0,29455,HARD,True,147275,0 days 00:01:35.641000
27,HUL,26.0,2.0,6.0,35346,HARD,True,153166,0 days 00:01:35.217000
27,HUL,27.0,2.0,7.0,41237,HARD,True,159057,0 days 00:01:35.633000
27,HUL,28.0,2.0,8.0,47128,HARD,True,164948,0 days 00:01:35.335000
27,HUL,29.0,2.0,9.0,53019,HARD,True,170839,0 days 00:01:34.997000
27,HUL,30.0,2.0,10.0,58910,HARD,True,176730,0 days 00:01:34.824000
27,HUL,31.0,2.0,11.0,64801,HARD,True,182621,0 days 00:01:35.055000
27,HUL,32.0,2.0,12.0,70692,HARD,True,188512,0 days 00:01:48.493000
27,HUL,33.0,2.0,13.0,76583,HARD,True,194403,0 days 00:02:07.821000
27,HUL,34.0,2.0,14.0,82474,HARD,True,200294,0 days 00:01:42.055000
27,HUL,35.0,2.0,15.0,88365,HARD,True,206185,0 days 00:01:55.063000
27,HUL,36.0,2.0,16.0,94256,HARD,True,212076,0 days 00:02:21.314000
27,HUL,37.0,2.0,17.0,100147,HARD,True,217967,0 days 00:02:16.642000
27,HUL,38.0,2.0,18.0,106038,HARD,True,223858,0 days 00:01:40.012000
27,HUL,39.0,2.0,19.0,111929,HARD,True,229749,0 days 00:02:24.185000
27,HUL,40.0,2.0,20.0,117820,HARD,True,235640,0 days 00:02:24.483000
27,HUL,41.0,2.0,21.0,123711,HARD,True,241531,0 days 00:02:20.951000
27,HUL,42.0,2.0,22.0,129602,HARD,True,247422,0 days 00:01:34.429000
27,HUL,43.0,2.0,23.0,135493,HARD,True,253313,0 days 00:01:34.175000
27,HUL,44.0,2.0,24.0,141384,HARD,True,259204,0 days 00:01:34.191000
27,HUL,45.0,2.0,25.0,147275,HARD,True,265095,0 days 00:01:33.903000
27,HUL,46.0,2.0,26.0,153166,HARD,True,270986,0 days 00:01:33.963000
27,HUL,47.0,2.0,27.0,159057,HARD,True,276877,0 days 00:01:33.777000
27,HUL,48.0,2.0,28.0,164948,HARD,True,282768,0 days 00:01:33.405000
27,HUL,49.0,2.0,29.0,170839,HARD,True,288659,0 days 00:01:33.870000
27,HUL,50.0,2.0,30.0,176730,HARD,True,294550,0 days 00:01:33.902000
27,HUL,51.0,2.0,31.0,182621,HARD,True,300441,0 days 00:01:33.881000
27,HUL,52.0,2.0,32.0,188512,HARD,True,306332,0 days 00:01:33.784000
