DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
27,HUL,1.0,,,0,nan,True,0,0 days 00:01:45.727000
27,HUL,2.0,1.0,4.0,21804,ULTRASOFT,False,10902,0 days 00:01:40.964000
27,HUL,3.0,1.0,5.0,27255,ULTRASOFT,False,16353,0 days 00:01:40.611000
27,HUL,4.0,1.0,6.0,32706,ULTRASOFT,False,21804,0 days 00:01:40.487000
27,HUL,5.0,1.0,7.0,38157,ULTRASOFT,False,27255,0 days 00:01:40.716000
27,HUL,6.0,1.0,8.0,43608,ULTRASOFT,False,32706,0 days 00:01:40.388000
27,HUL,7.0,1.0,9.0,49059,ULTRASOFT,False,38157,0 days 00:01:40.476000
27,HUL,8.0,1.0,10.0,54510,ULTRASOFT,False,43608,0 days 00:01:40.547000
27,HUL,9.0,1.0,11.0,59961,ULTRASOFT,False,49059,0 days 00:01:40.545000
27,HUL,10.0,1.0,12.0,65412,ULTRASOFT,False,54510,0 days 00:01:40.179000
27,HUL,11.0,1.0,13.0,70863,ULTRASOFT,False,59961,0 days 00:01:40.754000
27,HUL,12.0,1.0,14.0,76314,ULTRASOFT,False,65412,0 days 00:01:40.448000
27,HUL,13.0,1.0,15.0,81765,ULTRASOFT,False,70863,0 days 00:01:44.632000
27,HUL,14.0,1.0,16.0,87216,ULTRASOFT,False,76314,0 days 00:01:59.283000
27,HUL,15.0,1.0,17.0,92667,ULTRASOFT,False,81765,0 days 00:01:39.689000
27,HUL,16.0,1.0,18.0,98118,ULTRASOFT,False,87216,0 days 00:01:39.859000
27,HUL,17.0,1.0,19.0,103569,ULTRASOFT,False,92667,0 days 00:01:39.763000
27,HUL,18.0,1.0,20.0,109020,ULTRASOFT,False,98118,0 days 00:01:39.622000
27,HUL,19.0,1.0,21.0,114471,ULTRASOFT,False,103569,0 days 00:01:39.593000
27,HUL,20.0,1.0,22.0,119922,ULTRASOFT,False,109020,0 days 00:01:40.357000
27,HUL,21.0,1.0,23.0,125373,ULTRASOFT,False,114471,0 days 00:01:40.177000
27,HUL,22.0,1.0,24.0,130824,ULTRASOFT,False,119922,0 days 00:01:39.560000
27,HUL,23.0,1.0,25.0,136275,ULTRASOFT,False,125373,0 days 00:01:39.584000
27,HUL,24.0,1.0,26.0,141726,ULTRASOFT,False,130824,0 days 00:01:39.009000
27,HUL,25.0,1.0,27.0,147177,ULTRASOFT,False,136275,0 days 00:01:39.060000
27,HUL,26.0,1.0,28.0,152628,ULTRASOFT,False,141726,0 days 00:01:38.722000
27,HUL,27.0,1.0,29.0,158079,ULTRASOFT,False,147177,0 days 00:01:39.094000
27,HUL,28.0,1.0,30.0,163530,ULTRASOFT,False,152628,0 days 00:01:39.424000
27,HUL,29.0,1.0,31.0,168981,ULTRASOFT,False,158079,0 days 00:01:39.549000
27,HUL,30.0,1.0,32.0,174432,ULTRASOFT,False,163530,0 days 00:01:39.573000
27,HUL,31.0,1.0,33.0,179883,ULTRASOFT,False,168981,0 days 00:02:02.077000
27,HUL,32.0,1.0,34.0,185334,ULTRASOFT,False,174432,
27,HUL,33.0,1.0,35.0,190785,ULTRASOFT,False,179883,0 days 00:01:53.398000
27,HUL,34.0,1.0,36.0,196236,ULTRASOFT,False,185334,0 days 00:02:23.044000
27,HUL,35.0,1.0,37.0,201687,ULTRASOFT,False,190785,0 days 00:02:24.987000
27,HUL,36.0,1.0,38.0,207138,ULTRASOFT,False,196236,0 days 00:01:38.525000
27,HUL,37.0,1.0,39.0,212589,ULTRASOFT,False,201687,0 days 00:01:38.648000
27,HUL,38.0,1.0,40.0,218040,ULTRASOFT,False,207138,0 days 00:01:38.591000
27,HUL,39.0,1.0,41.0,223491,ULTRASOFT,False,212589,0 days 00:01:38.358000
27,HUL,40.0,1.0,42.0,228942,ULTRASOFT,False,218040,0 days 00:01:38.022000
27,HUL,41.0,1.0,43.0,234393,ULTRASOFT,False,223491,0 days 00:01:37.819000
27,HUL,42.0,1.0,44.0,239844,ULTRASOFT,False,228942,0 days 00:01:38.479000
27,HUL,43.0,1.0,45.0,245295,ULTRASOFT,False,234393,0 days 00:01:38.427000
27,HUL,44.0,1.0,46.0,250746,ULTRASOFT,False,239844,0 days 00:01:37.972000
27,HUL,45.0,1.0,47.0,256197,ULTRASOFT,False,245295,0 days 00:01:38.465000
27,HUL,46.0,1.0,48.0,261648,ULTRASOFT,False,250746,0 days 00:01:37.729000
27,HUL,47.0,2.0,1.0,5451,MEDIUM,True,256197,0 days 00:01:37.432000
27,HUL,48.0,3.0,1.0,5451,SOFT,True,261648,0 days 00:01:37.518000
27,HUL,49.0,3.0,2.0,10902,SOFT,True,267099,0 days 00:01:37.652000
27,HUL,50.0,3.0,3.0,16353,SOFT,True,272550,0 days 00:01:37.793000
27,HUL,51.0,3.0,4.0,21804,SOFT,True,278001,0 days 00:01:37.394000
27,HUL,52.0,3.0,5.0,27255,SOFT,True,283452,0 days 00:01:37.401000
27,HUL,53.0,3.0,6.0,32706,SOFT,True,288903,0 days 00:01:37.198000
27,HUL,54.0,3.0,7.0,38157,SOFT,True,294354,0 days 00:01:36.977000
27,HUL,55.0,3.0,8.0,43608,SOFT,True,299805,0 days 00:01:36.950000
27,HUL,56.0,3.0,9.0,49059,SOFT,True,305256,0 days 00:01:36.881000
