DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
27,HUL,1.0,1.0,4.0,23172,SOFT,False,5793,0 days 00:01:29.232000
27,HUL,2.0,1.0,5.0,28965,SOFT,False,11586,0 days 00:01:26.920000
27,HUL,3.0,1.0,6.0,34758,SOFT,False,17379,0 days 00:01:26.026000
27,HUL,4.0,1.0,7.0,40551,SOFT,False,23172,0 days 00:01:26.031000
27,HUL,5.0,1.0,8.0,46344,SOFT,False,28965,0 days 00:01:26.743000
27,HUL,6.0,1.0,9.0,52137,SOFT,False,34758,0 days 00:01:26.331000
27,HUL,7.0,1.0,10.0,57930,SOFT,False,40551,0 days 00:01:26.090000
27,HUL,8.0,1.0,11.0,63723,SOFT,False,46344,0 days 00:01:26.133000
27,HUL,9.0,1.0,12.0,69516,SOFT,False,52137,0 days 00:01:26.024000
27,HUL,10.0,1.0,13.0,75309,SOFT,False,57930,0 days 00:01:25.934000
27,HUL,11.0,1.0,14.0,81102,SOFT,False,63723,0 days 00:01:25.681000
27,HUL,12.0,1.0,15.0,86895,SOFT,False,69516,0 days 00:01:25.713000
27,HUL,13.0,1.0,16.0,92688,SOFT,False,75309,0 days 00:01:25.721000
27,HUL,14.0,1.0,17.0,98481,SOFT,False,81102,0 days 00:01:25.806000
27,HUL,15.0,1.0,18.0,104274,SOFT,False,86895,0 days 00:01:25.671000
27,HUL,16.0,1.0,19.0,110067,SOFT,False,92688,0 days 00:01:25.539000
27,HUL,17.0,1.0,20.0,115860,SOFT,False,98481,0 days 00:01:25.565000
27,HUL,18.0,1.0,21.0,121653,SOFT,False,104274,0 days 00:01:25.790000
27,HUL,19.0,1.0,22.0,127446,SOFT,False,110067,0 days 00:01:25.585000
27,HUL,20.0,1.0,23.0,133239,SOFT,False,115860,0 days 00:01:25.563000
27,HUL,21.0,1.0,24.0,139032,SOFT,False,121653,0 days 00:01:25.797000
27,HUL,22.0,1.0,25.0,144825,SOFT,False,127446,0 days 00:01:25.930000
27,HUL,23.0,1.0,26.0,150618,SOFT,False,133239,0 days 00:01:27.736000
27,HUL,24.0,1.0,27.0,156411,SOFT,False,139032,0 days 00:01:25.965000
27,HUL,25.0,1.0,28.0,162204,SOFT,False,144825,0 days 00:01:25.862000
27,HUL,26.0,1.0,29.0,167997,SOFT,False,150618,0 days 00:01:25.758000
27,HUL,27.0,1.0,30.0,173790,SOFT,False,156411,0 days 00:01:25.726000
27,HUL,28.0,1.0,31.0,179583,SOFT,False,162204,0 days 00:01:27.756000
27,HUL,29.0,1.0,32.0,185376,SOFT,False,167997,0 days 00:01:43.757000
27,HUL,30.0,2.0,1.0,5793,MEDIUM,True,173790,0 days 00:02:00.021000
27,HUL,31.0,2.0,2.0,11586,MEDIUM,True,179583,0 days 00:01:33.766000
27,HUL,32.0,2.0,3.0,17379,MEDIUM,True,185376,0 days 00:01:25.180000
27,HUL,33.0,2.0,4.0,23172,MEDIUM,True,191169,0 days 00:01:25.322000
27,HUL,34.0,2.0,5.0,28965,MEDIUM,True,196962,0 days 00:01:25.185000
27,HUL,35.0,2.0,6.0,34758,MEDIUM,True,202755,0 days 00:01:24.757000
27,HUL,36.0,2.0,7.0,40551,MEDIUM,True,208548,0 days 00:01:24.768000
27,HUL,37.0,2.0,8.0,46344,MEDIUM,True,214341,0 days 00:01:24.891000
27,HUL,38.0,2.0,9.0,52137,MEDIUM,True,220134,0 days 00:01:24.730000
27,HUL,39.0,2.0,10.0,57930,MEDIUM,True,225927,0 days 00:01:24.291000
27,HUL,40.0,2.0,11.0,63723,MEDIUM,True,231720,0 days 00:01:24.361000
27,HUL,41.0,2.0,12.0,69516,MEDIUM,True,237513,0 days 00:01:24.351000
27,HUL,42.0,2.0,13.0,75309,MEDIUM,True,243306,0 days 00:01:24.093000
27,HUL,43.0,2.0,14.0,81102,MEDIUM,True,249099,0 days 00:01:23.813000
27,HUL,44.0,2.0,15.0,86895,MEDIUM,True,254892,0 days 00:01:23.878000
27,HUL,45.0,2.0,16.0,92688,MEDIUM,True,260685,0 days 00:01:23.943000
27,HUL,46.0,2.0,17.0,98481,MEDIUM,True,266478,0 days 00:01:24.018000
27,HUL,47.0,2.0,18.0,104274,MEDIUM,True,272271,0 days 00:01:24.007000
27,HUL,48.0,2.0,19.0,110067,MEDIUM,True,278064,0 days 00:01:24.132000
27,HUL,49.0,2.0,20.0,115860,MEDIUM,True,283857,0 days 00:01:24.061000
27,HUL,50.0,2.0,21.0,121653,MEDIUM,True,289650,0 days 00:01:23.835000
27,HUL,51.0,2.0,22.0,127446,MEDIUM,True,295443,0 days 00:01:23.742000
27,HUL,52.0,2.0,23.0,133239,MEDIUM,True,301236,0 days 00:01:23.659000
27,HUL,53.0,2.0,24.0,139032,MEDIUM,True,307029,0 days 00:01:23.641000
