Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
27,1.0,1.0,4.0,19760,SOFT,False,0 days 00:02:04.660000
27,2.0,2.0,1.0,4940,HARD,True,0 days 00:02:08.475000
27,3.0,2.0,2.0,9880,HARD,True,0 days 00:01:47.992000
27,4.0,2.0,3.0,14820,HARD,True,0 days 00:01:47.539000
27,5.0,2.0,4.0,19760,HARD,True,0 days 00:01:48.645000
27,6.0,2.0,5.0,24700,HARD,True,0 days 00:01:48.564000
27,7.0,2.0,6.0,29640,HARD,True,0 days 00:01:49.516000
27,8.0,2.0,7.0,34580,HARD,True,0 days 00:01:48.495000
27,9.0,2.0,8.0,39520,HARD,True,0 days 00:01:48.037000
27,10.0,2.0,9.0,44460,HARD,True,0 days 00:01:48.215000
27,11.0,2.0,10.0,49400,HARD,True,0 days 00:01:49.767000
27,12.0,2.0,11.0,54340,HARD,True,0 days 00:01:50.933000
27,13.0,2.0,12.0,59280,HARD,True,0 days 00:01:49.888000
27,14.0,2.0,13.0,64220,HARD,True,0 days 00:01:49.500000
27,15.0,2.0,14.0,69160,HARD,True,0 days 00:01:49.536000
27,16.0,2.0,15.0,74100,HARD,True,0 days 00:01:49.409000
27,17.0,2.0,16.0,79040,HARD,True,0 days 00:01:49.572000
27,18.0,2.0,17.0,83980,HARD,True,0 days 00:01:51.310000
27,19.0,2.0,18.0,88920,HARD,True,0 days 00:01:48.190000
27,20.0,2.0,19.0,93860,HARD,True,0 days 00:01:49.360000
27,21.0,2.0,20.0,98800,HARD,True,0 days 00:01:48.201000
27,22.0,2.0,21.0,103740,HARD,True,0 days 00:01:47.328000
27,23.0,2.0,22.0,108680,HARD,True,0 days 00:01:50.671000
27,24.0,2.0,23.0,113620,HARD,True,0 days 00:01:47.648000
27,25.0,2.0,24.0,118560,HARD,True,0 days 00:01:47.695000
27,26.0,2.0,25.0,123500,HARD,True,0 days 00:01:47.738000
27,27.0,2.0,26.0,128440,HARD,True,0 days 00:01:48.413000
27,28.0,2.0,27.0,133380,HARD,True,0 days 00:01:48.069000
27,29.0,2.0,28.0,138320,HARD,True,0 days 00:01:48.175000
27,30.0,2.0,29.0,143260,HARD,True,0 days 00:01:48.233000
27,31.0,2.0,30.0,148200,HARD,True,0 days 00:01:48.770000
27,32.0,2.0,31.0,153140,HARD,True,0 days 00:01:48.849000
27,33.0,2.0,32.0,158080,HARD,True,0 days 00:01:48.891000
27,34.0,2.0,33.0,163020,HARD,True,0 days 00:01:50.773000
27,35.0,2.0,34.0,167960,HARD,True,0 days 00:01:49.218000
27,36.0,2.0,35.0,172900,HARD,True,0 days 00:02:15.770000
27,37.0,3.0,1.0,4940,MEDIUM,True,
27,38.0,3.0,2.0,9880,MEDIUM,True,0 days 00:02:19.644000
27,39.0,3.0,3.0,14820,MEDIUM,True,
27,40.0,3.0,4.0,19760,MEDIUM,True,
27,41.0,3.0,5.0,24700,MEDIUM,True,0 days 00:01:51.282000
27,42.0,3.0,6.0,29640,MEDIUM,True,0 days 00:01:49.149000
27,43.0,3.0,7.0,34580,MEDIUM,True,0 days 00:01:48.912000
27,44.0,3.0,8.0,39520,MEDIUM,True,0 days 00:02:13.048000
27,45.0,3.0,9.0,44460,MEDIUM,True,
27,46.0,3.0,10.0,49400,MEDIUM,True,
27,47.0,3.0,11.0,54340,MEDIUM,True,
27,48.0,3.0,12.0,59280,MEDIUM,True,0 days 00:01:49.525000
27,49.0,3.0,13.0,64220,MEDIUM,True,0 days 00:01:46.993000
27,50.0,3.0,14.0,69160,MEDIUM,True,0 days 00:02:12.120000
27,51.0,3.0,15.0,74100,MEDIUM,True,
27,52.0,3.0,16.0,79040,MEDIUM,True,0 days 00:01:47.440000
27,53.0,3.0,17.0,83980,MEDIUM,True,0 days 00:01:47.220000
27,54.0,3.0,18.0,88920,MEDIUM,True,0 days 00:01:46.464000
27,55.0,3.0,19.0,93860,MEDIUM,True,0 days 00:01:46.010000
27,56.0,3.0,20.0,98800,MEDIUM,True,0 days 00:01:46.407000
27,57.0,3.0,21.0,103740,MEDIUM,True,0 days 00:01:45.883000
27,58.0,3.0,22.0,108680,MEDIUM,True,0 days 00:01:46.058000
27,59.0,3.0,23.0,113620,MEDIUM,True,0 days 00:01:45.765000
27,60.0,3.0,24.0,118560,MEDIUM,True,0 days 00:01:45.934000
27,61.0,3.0,25.0,123500,MEDIUM,True,0 days 00:01:46.423000
