DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
28,HAR,1.0,,,0,nan,True,0,0 days 00:02:35.398000
28,HAR,2.0,1.0,1.0,5842,ULTRASOFT,True,11684,
28,HAR,3.0,1.0,2.0,11684,ULTRASOFT,True,17526,0 days 00:02:29.064000
28,HAR,4.0,1.0,3.0,17526,ULTRASOFT,True,23368,
28,HAR,5.0,1.0,4.0,23368,ULTRASOFT,True,29210,0 days 00:02:11.020000
28,HAR,6.0,1.0,5.0,29210,ULTRASOFT,True,35052,0 days 00:01:41.340000
28,HAR,7.0,1.0,6.0,35052,ULTRASOFT,True,40894,0 days 00:01:42.119000
28,HAR,8.0,1.0,7.0,40894,ULTRASOFT,True,46736,0 days 00:01:43.108000
28,HAR,9.0,1.0,8.0,46736,ULTRASOFT,True,52578,0 days 00:01:40.693000
28,HAR,10.0,1.0,9.0,52578,ULTRASOFT,True,58420,0 days 00:01:40.330000
28,HAR,11.0,1.0,10.0,58420,ULTRASOFT,True,64262,0 days 00:01:40.245000
28,HAR,12.0,1.0,11.0,64262,ULTRASOFT,True,70104,0 days 00:01:39.772000
28,HAR,13.0,1.0,12.0,70104,ULTRASOFT,True,75946,0 days 00:01:39.505000
28,HAR,14.0,1.0,13.0,75946,ULTRASOFT,True,81788,0 days 00:01:39.644000
28,HAR,15.0,1.0,14.0,81788,ULTRASOFT,True,87630,0 days 00:01:39.623000
28,HAR,16.0,1.0,15.0,87630,ULTRASOFT,True,93472,0 days 00:01:39.650000
28,HAR,17.0,1.0,16.0,93472,ULTRASOFT,True,99314,0 days 00:01:39.306000
28,HAR,18.0,1.0,17.0,99314,ULTRASOFT,True,105156,0 days 00:01:39.406000
28,HAR,19.0,1.0,18.0,105156,ULTRASOFT,True,110998,0 days 00:01:39.207000
28,HAR,20.0,1.0,19.0,110998,ULTRASOFT,True,116840,0 days 00:01:39.065000
28,HAR,21.0,1.0,20.0,116840,ULTRASOFT,True,122682,0 days 00:01:38.874000
28,HAR,22.0,1.0,21.0,122682,ULTRASOFT,True,128524,0 days 00:01:38.873000
28,HAR,23.0,1.0,22.0,128524,ULTRASOFT,True,134366,0 days 00:01:39.100000
28,HAR,24.0,1.0,23.0,134366,ULTRASOFT,True,140208,0 days 00:01:38.772000
28,HAR,25.0,1.0,24.0,140208,ULTRASOFT,True,146050,0 days 00:01:38.564000
28,HAR,26.0,1.0,25.0,146050,ULTRASOFT,True,151892,0 days 00:01:38.674000
28,HAR,27.0,1.0,26.0,151892,ULTRASOFT,True,157734,0 days 00:01:38.594000
28,HAR,28.0,1.0,27.0,157734,ULTRASOFT,True,163576,0 days 00:01:38.597000
28,HAR,29.0,1.0,28.0,163576,ULTRASOFT,True,169418,0 days 00:01:39.558000
28,HAR,30.0,1.0,29.0,169418,ULTRASOFT,True,175260,0 days 00:01:39.784000
28,HAR,31.0,1.0,30.0,175260,ULTRASOFT,True,181102,0 days 00:01:38.881000
28,HAR,32.0,1.0,31.0,181102,ULTRASOFT,True,186944,0 days 00:01:38.353000
28,HAR,33.0,1.0,32.0,186944,ULTRASOFT,True,192786,0 days 00:01:38.443000
28,HAR,34.0,1.0,33.0,192786,ULTRASOFT,True,198628,0 days 00:01:38.207000
28,HAR,35.0,1.0,34.0,198628,ULTRASOFT,True,204470,0 days 00:01:38.279000
28,HAR,36.0,1.0,35.0,204470,ULTRASOFT,True,210312,0 days 00:01:38.130000
28,HAR,37.0,1.0,36.0,210312,ULTRASOFT,True,216154,0 days 00:01:38.162000
28,HAR,38.0,1.0,37.0,216154,ULTRASOFT,True,221996,0 days 00:02:00.273000
28,HAR,39.0,2.0,1.0,5842,SUPERSOFT,True,227838,0 days 00:01:41.835000
28,HAR,40.0,2.0,2.0,11684,SUPERSOFT,True,233680,0 days 00:01:36.839000
28,HAR,41.0,2.0,3.0,17526,SUPERSOFT,True,239522,0 days 00:01:36.904000
28,HAR,42.0,2.0,4.0,23368,SUPERSOFT,True,245364,0 days 00:01:39.811000
28,HAR,43.0,2.0,5.0,29210,SUPERSOFT,True,251206,0 days 00:01:39.449000
28,HAR,44.0,2.0,6.0,35052,SUPERSOFT,True,257048,0 days 00:01:37.618000
28,HAR,45.0,2.0,7.0,40894,SUPERSOFT,True,262890,0 days 00:01:39.903000
28,HAR,46.0,2.0,8.0,46736,SUPERSOFT,True,268732,0 days 00:01:40.322000
28,HAR,47.0,2.0,9.0,52578,SUPERSOFT,True,274574,0 days 00:01:39.936000
28,HAR,48.0,2.0,10.0,58420,SUPERSOFT,True,280416,0 days 00:01:38.758000
28,HAR,49.0,2.0,11.0,64262,SUPERSOFT,True,286258,0 days 00:01:37.324000
28,HAR,50.0,2.0,12.0,70104,SUPERSOFT,True,292100,0 days 00:01:52.959000
28,HAR,51.0,2.0,13.0,75946,SUPERSOFT,True,297942,0 days 00:02:03.018000
28,HAR,52.0,2.0,14.0,81788,SUPERSOFT,True,303784,0 days 00:01:36.928000
