DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
2,VAN,1.0,,,0,nan,True,0,0 days 00:01:41.951000
2,VAN,2.0,1.0,1.0,5278,ULTRASOFT,True,10556,0 days 00:01:32.173000
2,VAN,3.0,1.0,2.0,10556,ULTRASOFT,True,15834,0 days 00:01:31.560000
2,VAN,4.0,1.0,3.0,15834,ULTRASOFT,True,21112,0 days 00:01:30.857000
2,VAN,5.0,1.0,4.0,21112,ULTRASOFT,True,26390,0 days 00:01:31.471000
2,VAN,6.0,1.0,5.0,26390,ULTRASOFT,True,31668,0 days 00:01:31.963000
2,VAN,7.0,1.0,6.0,31668,ULTRASOFT,True,36946,0 days 00:01:31.602000
2,VAN,8.0,1.0,7.0,36946,ULTRASOFT,True,42224,0 days 00:01:31.048000
2,VAN,9.0,1.0,8.0,42224,ULTRASOFT,True,47502,0 days 00:01:30.948000
2,VAN,10.0,1.0,9.0,47502,ULTRASOFT,True,52780,0 days 00:01:30.591000
2,VAN,11.0,1.0,10.0,52780,ULTRASOFT,True,58058,0 days 00:01:30.644000
2,VAN,12.0,1.0,11.0,58058,ULTRASOFT,True,63336,0 days 00:01:30.807000
2,VAN,13.0,1.0,12.0,63336,ULTRASOFT,True,68614,0 days 00:01:30.506000
2,VAN,14.0,1.0,13.0,68614,ULTRASOFT,True,73892,0 days 00:01:30.308000
2,VAN,15.0,1.0,14.0,73892,ULTRASOFT,True,79170,0 days 00:01:30.557000
2,VAN,16.0,1.0,15.0,79170,ULTRASOFT,True,84448,0 days 00:01:30.063000
2,VAN,17.0,1.0,16.0,84448,ULTRASOFT,True,89726,0 days 00:01:30.462000
2,VAN,18.0,1.0,17.0,89726,ULTRASOFT,True,95004,0 days 00:01:30.176000
2,VAN,19.0,1.0,18.0,95004,ULTRASOFT,True,100282,0 days 00:01:29.922000
2,VAN,20.0,1.0,19.0,100282,ULTRASOFT,True,105560,0 days 00:01:29.890000
2,VAN,21.0,1.0,20.0,105560,ULTRASOFT,True,110838,0 days 00:01:30.439000
2,VAN,22.0,1.0,21.0,110838,ULTRASOFT,True,116116,0 days 00:01:31.943000
2,VAN,23.0,1.0,22.0,116116,ULTRASOFT,True,121394,0 days 00:01:29.811000
2,VAN,24.0,1.0,23.0,121394,ULTRASOFT,True,126672,0 days 00:01:30.471000
2,VAN,25.0,1.0,24.0,126672,ULTRASOFT,True,131950,0 days 00:01:48.016000
2,VAN,26.0,2.0,1.0,5278,SUPERSOFT,True,137228,0 days 00:02:07.933000
2,VAN,27.0,2.0,2.0,10556,SUPERSOFT,True,142506,0 days 00:02:05.572000
2,VAN,28.0,2.0,3.0,15834,SUPERSOFT,True,147784,0 days 00:02:03.341000
2,VAN,29.0,2.0,4.0,21112,SUPERSOFT,True,153062,0 days 00:01:43.851000
2,VAN,30.0,2.0,5.0,26390,SUPERSOFT,True,158340,0 days 00:01:56.005000
2,VAN,31.0,2.0,6.0,31668,SUPERSOFT,True,163618,0 days 00:02:10.125000
2,VAN,32.0,2.0,7.0,36946,SUPERSOFT,True,168896,0 days 00:01:31.149000
2,VAN,33.0,2.0,8.0,42224,SUPERSOFT,True,174174,0 days 00:01:29.575000
2,VAN,34.0,2.0,9.0,47502,SUPERSOFT,True,179452,0 days 00:01:29.462000
2,VAN,35.0,2.0,10.0,52780,SUPERSOFT,True,184730,0 days 00:01:30.065000
2,VAN,36.0,2.0,11.0,58058,SUPERSOFT,True,190008,0 days 00:01:28.532000
2,VAN,37.0,2.0,12.0,63336,SUPERSOFT,True,195286,0 days 00:01:28.848000
2,VAN,38.0,2.0,13.0,68614,SUPERSOFT,True,200564,0 days 00:01:28.474000
2,VAN,39.0,2.0,14.0,73892,SUPERSOFT,True,205842,0 days 00:01:28.257000
2,VAN,40.0,2.0,15.0,79170,SUPERSOFT,True,211120,0 days 00:01:28.355000
2,VAN,41.0,2.0,16.0,84448,SUPERSOFT,True,216398,0 days 00:01:27.989000
2,VAN,42.0,2.0,17.0,89726,SUPERSOFT,True,221676,0 days 00:01:27.838000
2,VAN,43.0,2.0,18.0,95004,SUPERSOFT,True,226954,0 days 00:01:28.114000
