DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
31,OCO,1.0,1.0,4.0,21124,HYPERSOFT,False,0 days 00:02:30.399000
31,OCO,2.0,1.0,5.0,26405,HYPERSOFT,False,
31,OCO,3.0,1.0,6.0,31686,HYPERSOFT,False,
31,OCO,4.0,1.0,7.0,36967,HYPERSOFT,False,
31,OCO,5.0,1.0,8.0,42248,HYPERSOFT,False,0 days 00:01:47.301000
31,OCO,6.0,1.0,9.0,47529,HYPERSOFT,False,0 days 00:01:48.763000
31,OCO,7.0,1.0,10.0,52810,HYPERSOFT,False,0 days 00:02:13.500000
31,OCO,8.0,1.0,11.0,58091,HYPERSOFT,False,0 days 00:02:12.194000
31,OCO,9.0,1.0,12.0,63372,HYPERSOFT,False,0 days 00:01:45.919000
31,OCO,10.0,1.0,13.0,68653,HYPERSOFT,False,0 days 00:01:46.374000
31,OCO,11.0,1.0,14.0,73934,HYPERSOFT,False,0 days 00:01:46.545000
31,OCO,12.0,1.0,15.0,79215,HYPERSOFT,False,0 days 00:01:47.090000
31,OCO,13.0,1.0,16.0,84496,HYPERSOFT,False,0 days 00:01:47.439000
31,OCO,14.0,1.0,17.0,89777,HYPERSOFT,False,0 days 00:01:47.459000
31,OCO,15.0,1.0,18.0,95058,HYPERSOFT,False,0 days 00:01:47.543000
31,OCO,16.0,1.0,19.0,100339,HYPERSOFT,False,0 days 00:01:49.844000
31,OCO,17.0,1.0,20.0,105620,HYPERSOFT,False,0 days 00:01:48.494000
31,OCO,18.0,1.0,21.0,110901,HYPERSOFT,False,0 days 00:01:48.526000
31,OCO,19.0,2.0,1.0,5281,SUPERSOFT,True,0 days 00:02:04.792000
31,OCO,20.0,2.0,2.0,10562,SUPERSOFT,True,0 days 00:01:45.419000
31,OCO,21.0,2.0,3.0,15843,SUPERSOFT,True,0 days 00:01:46.608000
31,OCO,22.0,2.0,4.0,21124,SUPERSOFT,True,0 days 00:01:46.619000
31,OCO,23.0,2.0,5.0,26405,SUPERSOFT,True,0 days 00:01:46.899000
31,OCO,24.0,2.0,6.0,31686,SUPERSOFT,True,0 days 00:01:46.564000
31,OCO,25.0,2.0,7.0,36967,SUPERSOFT,True,0 days 00:01:46.449000
31,OCO,26.0,2.0,8.0,42248,SUPERSOFT,True,0 days 00:01:47.023000
31,OCO,27.0,2.0,9.0,47529,SUPERSOFT,True,0 days 00:01:47.986000
31,OCO,28.0,2.0,10.0,52810,SUPERSOFT,True,0 days 00:01:46.557000
31,OCO,29.0,2.0,11.0,58091,SUPERSOFT,True,0 days 00:01:46.181000
31,OCO,30.0,2.0,12.0,63372,SUPERSOFT,True,0 days 00:01:46.937000
31,OCO,31.0,2.0,13.0,68653,SUPERSOFT,True,0 days 00:01:46.743000
31,OCO,32.0,2.0,14.0,73934,SUPERSOFT,True,0 days 00:01:44.910000
31,OCO,33.0,2.0,15.0,79215,SUPERSOFT,True,0 days 00:01:44.232000
31,OCO,34.0,2.0,16.0,84496,SUPERSOFT,True,0 days 00:01:44.195000
31,OCO,35.0,2.0,17.0,89777,SUPERSOFT,True,0 days 00:01:44.254000
31,OCO,36.0,2.0,18.0,95058,SUPERSOFT,True,0 days 00:01:44.710000
31,OCO,37.0,2.0,19.0,100339,SUPERSOFT,True,0 days 00:01:45.512000
31,OCO,38.0,2.0,20.0,105620,SUPERSOFT,True,0 days 00:01:44.120000
31,OCO,39.0,2.0,21.0,110901,SUPERSOFT,True,0 days 00:01:44.279000
31,OCO,40.0,2.0,22.0,116182,SUPERSOFT,True,0 days 00:01:43.937000
31,OCO,41.0,2.0,23.0,121463,SUPERSOFT,True,0 days 00:01:43.591000
31,OCO,42.0,2.0,24.0,126744,SUPERSOFT,True,0 days 00:01:43.692000
31,OCO,43.0,2.0,25.0,132025,SUPERSOFT,True,0 days 00:01:43.901000
31,OCO,44.0,2.0,26.0,137306,SUPERSOFT,True,0 days 00:01:44.407000
31,OCO,45.0,2.0,27.0,142587,SUPERSOFT,True,
